"","p","d","q","Insample MAPE","Outsample MAPE","AIC"
"list",0,0,0,10.8604432696935,5.68643676973677,402.061784944401
"list1",0,1,0,8.93389313478381,6.02440064154752,381.808365298436
"list2",0,0,1,8.87215126100785,6.25519746455682,395.532424953424
"list3",0,1,1,8.81053199971655,9.89784427908003,381.864058838996
"list4",0,0,2,9.01654767050253,5.28614365297938,396.841446012115
"list5",0,1,2,8.67622811429588,11.284021553695,383.470540319734
"list6",1,0,0,8.77655076460658,5.48359356843339,393.649589160447
"list7",1,1,0,8.73328693799356,10.1567438751197,381.840875446966
"list8",1,0,1,8.76488595559889,5.46482915982281,395.62965850872
"list9",1,1,1,8.76986446308256,10.2207448468729,383.78280720508
"list10",1,0,2,8.53853647412773,5.54143107094401,397.269613751835
"list11",1,1,2,8.64810791497601,10.0214279401028,384.367364232544
"list12",2,0,0,8.75711775187841,5.44751217047229,395.620656831777
"list13",2,1,0,8.80999816500455,10.255998048658,383.698877629329
"list14",2,0,1,8.28412052947775,5.47728404617073,396.385542567228
"list15",2,1,1,8.39164162425977,5.39467473087071,383.745184478722
"list16",2,0,2,5.30743980383071,8.40967606891689,384.51627738039
"list17",2,1,2,7.94396258315805,11.3214314463624,384.54829087956
