Date,Chinese PMI,USDI_lag1,Crude Oil,Event
01-01-2009,45.3,82.15,43.75,0
01-02-2009,49,86.46,42.94,0
01-03-2009,52.4,88.15,46.58,0
01-04-2009,53.5,85.9,50.3,0
01-05-2009,53.1,84.78,57.2,0
01-06-2009,53.2,79.43,68.494,0
01-07-2009,53.3,80.43,64.763,0
01-08-2009,54,78.45,72.587,0
01-09-2009,54.3,78.22,67.403,0
01-10-2009,55.2,76.86,72.85,0
01-11-2009,55.2,76.48,76.6,0
01-12-2009,56.6,74.94,74.2,0
01-01-2010,55.8,78.22,76.285,0
01-02-2010,52,79.65,73.578,0
01-03-2010,55.1,80.44,78.903,0
01-04-2010,55.7,81.29,84.83,0
01-05-2010,53.9,81.99,75.19,0
01-06-2010,52.1,86.67,74.83,0
01-07-2010,51.2,86.28,75.533,0
01-08-2010,51.7,81.66,76.854,0
01-09-2010,53.8,83.25,77.878,0
01-10-2010,54.7,78.94,82.742,0
01-11-2010,55.2,77.46,85.93,0
01-12-2010,53.9,81.27,91.29,0
01-01-2011,52.9,79.29,96.7,0
01-02-2011,52.2,77.87,103.64,0
01-03-2011,53.4,76.92,114.44,0
01-04-2011,52.9,76.07,123.69,1
01-05-2011,52,73.11,114.84,1
01-06-2011,50.9,74.7,114.16,1
01-07-2011,50.7,74.64,117.11,1
01-08-2011,50.9,74.04,110.122,0
01-09-2011,51.2,74.17,113.51,0
01-10-2011,50.4,79.08,110.215,0
01-11-2011,49,76.31,110.768,0
01-12-2011,50.3,78.49,108.243,0
01-01-2012,50.5,80.52,110.95,0
01-02-2012,51,79.42,119.89,0
01-03-2012,53.1,78.79,125.54,0
01-04-2012,53.3,79.14,119.73,0
01-05-2012,50.4,78.85,110.51,0
01-06-2012,50.2,83.13,95.06,0
01-07-2012,50.1,81.75,102.76,0
01-08-2012,49.2,82.71,113.34,0
01-09-2012,49.8,81.22,113.38,0
01-10-2012,50.2,80.03,111.82,0
01-11-2012,50.6,79.99,109.25,0
01-12-2012,50.6,80.16,109.85,0
01-01-2013,50.4,79.87,113.02,0
01-02-2013,50.1,79.23,116.58,0
01-03-2013,50.9,82,109.04,0
01-04-2013,50.6,83.18,102.13,0
01-05-2013,50.8,81.81,103.2,0
01-06-2013,50.1,83.4,102.96,0
01-07-2013,50.3,83.38,107.92,0
01-08-2013,51,81.54,111.29,0
01-09-2013,51.1,82.14,111.26,0
01-10-2013,51.4,80.32,109.26,0
01-11-2013,51.4,80.26,107.9,0
01-12-2013,51,80.66,110.51,0
01-01-2014,50.5,80.19,107.28,0
01-02-2014,50.2,81.4,108.65,0
01-03-2014,50.3,79.72,107.78,0
01-04-2014,50.4,80.25,108,0
01-05-2014,50.8,79.53,108.94,0
01-06-2014,51,80.4,111.58,0
01-07-2014,51.7,79.81,108.431,1
01-08-2014,51.1,81.52,103.612,1
01-09-2014,51.1,82.78,98.713,1
01-10-2014,50.8,86.05,88.454,1
01-11-2014,50.3,87.02,80.022,1
01-12-2014,50.1,88.41,63.732,0
01-01-2015,49.8,90.65,49.899,0
01-02-2015,49.9,95,59.266,0
01-03-2015,50.1,95.32,57.079,0
01-04-2015,50.1,98.66,61.41,0
01-05-2015,50.2,94.71,65.84,0
01-06-2015,50.2,96.99,64,0
01-07-2015,50,95.66,56.84,0
01-08-2015,49.7,97.44,48.27,0
01-09-2015,49.8,95.85,48.9,0
01-10-2015,49.8,96.48,49.55,0
01-11-2015,49.6,97.02,46.29,0
01-12-2015,49.7,100.21,38.99,0
01-01-2016,49.4,98.75,32.37,0
01-02-2016,49,99.65,33.82,0
01-03-2016,50.2,98.22,39.81,0
01-04-2016,50.1,94.58,43.33,0
01-05-2016,50.1,93.05,47.55,0
01-06-2016,50,95.88,49.78,0
01-07-2016,49.9,96.2,46.49,0
01-08-2016,50.4,95.49,46.76,0
01-09-2016,50.4,96.01,47.2,0
01-10-2016,51.2,95.39,51.3,0
01-11-2016,51.7,98.42,46.95,0
01-12-2016,51.4,101.54,54.81,0
01-01-2017,51.3,102.29,55.56,0
01-02-2017,51.6,99.48,55.98,0
01-03-2017,51.8,101.13,52.59,0
01-04-2017,51.2,100.22,53.68,0
01-05-2017,51.2,98.9,51.38,0
01-06-2017,51.7,96.85,47.62,0
01-07-2017,51.4,95.42,49.04,0
01-08-2017,51.7,92.72,51.82,0
01-09-2017,52.4,92.63,55.28,0
01-10-2017,51.6,92.88,57.45,0
01-11-2017,51.8,94.43,62.67,0
01-12-2017,51.6,93,63.91,0
01-01-2018,51.3,91.83,68.91,0
01-02-2018,50.3,88.95,65.73,0
01-03-2018,51.5,90.55,66.55,0
01-04-2018,51.4,89.81,71.83,1
01-05-2018,51.9,91.63,77.07,1
01-06-2018,51.5,93.96,75.83,1
01-07-2018,51.2,94.35,75.18,0
01-08-2018,51.3,94.28,73.73,0
01-09-2018,50.8,95.08,79.03,0
01-10-2018,50.2,94.74,80.46,0
01-11-2018,50,96.9,66.36,0
01-12-2018,49.4,97.2,59.02,0
01-01-2019,49.5,95.74,60.24,0
01-02-2019,49.2,95.3,64.32,0
01-03-2019,50.5,96.04,66.75,0
01-04-2019,50.1,96.85,71.28,0
01-05-2019,49.4,97.2,70.02,0
01-06-2019,49.4,97.67,62.79,0
01-07-2019,49.7,95.67,64.36,0
01-08-2019,49.5,98.26,59.72,0
01-09-2019,49.8,98.86,62.06,0
01-10-2019,49.3,99.02,59.54,0
01-11-2019,50.2,97.15,62.58,0
