Date,Price
1-Jan-11,17.76
1-Feb-11,18.03
1-Mar-11,17.32
1-Apr-11,16.73
1-May-11,17.3
1-Jun-11,16.6
1-Jul-11,16
1-Aug-11,16.3
1-Sep-11,16
1-Oct-11,14.5
1-Nov-11,14.5
1-Dec-11,14
1-Jan-12,15.07
1-Feb-12,14.43
1-Mar-12,14.13
1-Apr-12,13.99
1-May-12,13.97
1-Jun-12,13.01
1-Jul-12,12.91
1-Aug-12,13.1
1-Sep-12,13.16
1-Oct-12,12.15
1-Nov-12,12.19
1-Dec-12,12.22
1-Jan-13,11.64
1-Feb-13,11.49
1-Mar-13,11.49
1-Apr-13,11.8
1-May-13,12.64
1-Jun-13,13.66
1-Jul-13,13.34
1-Aug-13,13.26
1-Sep-13,14.09
1-Oct-13,13.72
1-Nov-13,12.71
1-Dec-13,12.29
1-Jan-14,13.05
1-Feb-14,14.5
1-Mar-14,14.91
1-Apr-14,14.57
1-May-14,14.02
1-Jun-14,14.06
1-Jul-14,14.85
1-Aug-14,15.35
1-Sep-14,15.04
1-Oct-14,14.41
1-Nov-14,14.02
1-Dec-14,14.22
1-Jan-15,14.4
1-Feb-15,14.23
1-Mar-15,13.27
1-Apr-15,13.27
1-May-15,13.97
1-Jun-15,14.05
1-Jul-15,14.12
1-Aug-15,13.63
1-Sep-15,12.85
1-Oct-15,12.82
1-Nov-15,11.65
1-Dec-15,10.37
1-Jan-16,10.77
1-Feb-16,10.88
1-Mar-16,10.82
1-Apr-16,10.96
1-May-16,11.05
1-Jun-16,10.97
1-Jul-16,11.5
1-Aug-16,12.56
1-Sep-16,12.82
1-Oct-16,13.13
1-Nov-16,13.73
1-Dec-16,14.41
1-Jan-17,14.88859805
1-Feb-17,15.32002326
1-Mar-17,15.27881677
1-Apr-17,15.39399233
1-May-17,15.68215122
1-Jun-17,15.72546262
1-Jul-17,15.83886948
1-Aug-17,15.83753371
1-Sep-17,15.49772648
1-Oct-17,15.12569192
1-Nov-17,14.59782673
1-Dec-17,14.10006187
1-Jan-18,14.88859805
1-Feb-18,15.32002326
1-Mar-18,15.27881677
1-Apr-18,15.39399233
1-May-18,15.68215122
1-Jun-18,15.72546262
1-Jul-18,15.83886948
1-Aug-18,15.83753371
1-Sep-18,15.49772648
1-Oct-18,15.12569192
1-Nov-18,14.59782673
1-Dec-18,14.10006187
1-Jan-19,14.88859805
1-Feb-19,15.32002326
1-Mar-19,14.64
1-Apr-19,16.63
1-May-19,17.33
1-Jun-19,15.48
1-Jul-19,13.47
1-Aug-19,15.95
1-Sep-19,18.14
1-Oct-19,18.19
1-Nov-19,17.4
