index,Metal,Title,Headline,Ref Link,Location,Date,Time,Date-Time
0,Aluminium,LIVE FUTURES REPORT 17/01, SHFE base metals prices mixed amid trade uncertainty; Ni drops 2.1%,https://metalbulletin.com/Article/3914412/Aluminium/LIVE-FUTURES-REPORT-1701-SHFE-base-metals-prices-mixed-amid-trade-uncertainty-Ni-drops-21.html,Shanghai,2020-01-17,05:13,2020-01-17 05:13:00
1,Aluminium,IN CASE YOU MISSED IT, 5 key stories from January 16,https://metalbulletin.com/Article/3914401/Aluminium/IN-CASE-YOU-MISSED-IT-5-key-stories-from-January-16.html,New York,2020-01-17,00:05,2020-01-17 00:05:00
2,Aluminium,"US, EU, Japan tackle subsidies; aluminium trade groups upbeat","US, EU, Japan tackle subsidies; aluminium trade groups upbeat",https://metalbulletin.com/Article/3914405/Aluminium/US-EU-Japan-tackle-subsidies-aluminium-trade-groups-upbeat.html,New York,2020-01-16,23:07,2020-01-16 23:07:00
3,Aluminium,LIVE FUTURES REPORT 16/01, LME nickel price tumbles 3.5%; tin gathers momentum,https://metalbulletin.com/Article/3914378/Aluminium/LIVE-FUTURES-REPORT-1601-LME-nickel-price-tumbles-35-tin-gathers-momentum.html,London,2020-01-16,18:32,2020-01-16 18:32:00
4,Aluminium,LIVE FUTURES REPORT 16/01," LME lead breaches $2,000/t in 2% price surge; zinc back above $2,400/t",https://metalbulletin.com/Article/3914217/Aluminium/LIVE-FUTURES-REPORT-1601-LME-lead-breaches-2000t-in-2-price-surge-zinc-back-above-2400t.html,London,2020-01-16,10:32,2020-01-16 10:32:00
5,Aluminium,AT A GLANCE," South32 Hillside, Mozal H1 2020 aluminium output strong despite load shedding ",https://metalbulletin.com/Article/3914215/Aluminium/AT-A-GLANCE-South32-Hillside-Mozal-H1-2020-aluminium-output-strong-despite-load-shedding.html,London,2020-01-16,10:25,2020-01-16 10:25:00
6,Aluminium,LIVE FUTURES REPORT 16/01," SHFE base metal prices broadly strengthen after US, China sign trade deal; copper little changed",https://metalbulletin.com/Article/3914202/Aluminium/LIVE-FUTURES-REPORT-1601-SHFE-base-metal-prices-broadly-strengthen-after-US-China-sign-trade-deal.html,Shanghai,2020-01-16,05:47,2020-01-16 05:47:00
7,Aluminium,"Carbon-free aluminium premium will emerge later, Alcoa says","Carbon-free aluminium premium will emerge later, Alcoa says",https://metalbulletin.com/Article/3914204/Aluminium/Carbon-free-aluminium-premium-will-emerge-later-Alcoa-says.html,New York,2020-01-16,04:45,2020-01-16 04:45:00
8,Aluminium,IN CASE YOU MISSED IT, 5 key stories from January 15,https://metalbulletin.com/Article/3914197/Aluminium/IN-CASE-YOU-MISSED-IT-5-key-stories-from-January-15.html,New York,2020-01-16,00:05,2020-01-16 00:05:00
9,Aluminium,LIVE FUTURES REPORT 15/01," Strong buying sees LME lead price soar 2.5%; nickel back above $14,000",https://metalbulletin.com/Article/3914172/Aluminium/LIVE-FUTURES-REPORT-1501-Strong-buying-sees-LME-lead-price-soar-25-nickel-back-above-14000.html,London,2020-01-15,18:00,2020-01-15 18:00:00
10,Aluminium,HOTTER ON METALS, Shining a light on warehouse cancellations ,https://metalbulletin.com/Article/3914169/Aluminium/HOTTER-ON-METALS-Shining-a-light-on-warehouse-cancellations.html,New York,2020-01-15,17:31,2020-01-15 17:31:00
11,Aluminium,BASE METALS WARRANT REPORT 15/01,BASE METALS WARRANT REPORT 15/01,https://metalbulletin.com/Article/3914133/Aluminium/BASE-METALS-WARRANT-REPORT-1501.html,London,2020-01-15,17:14,2020-01-15 17:14:00
12,Aluminium,INTERVIEW, Rusal marketing head says lower China aluminium production will maintain market deficit in Asia,https://metalbulletin.com/Article/3913649/Aluminium/INTERVIEW-Rusal-marketing-head-says-lower-China-aluminium-production-will-maintain-market-deficit-in.html,Singapore,2020-01-15,12:18,2020-01-15 12:18:00
13,Aluminium,LIVE FUTURES REPORT 15/01, LME lead price climbs 1% in continued uptick; Al unmoved despite 52kt fresh cancelation,https://metalbulletin.com/Article/3913978/Aluminium/LIVE-FUTURES-REPORT-1501-LME-lead-price-climbs-1-in-continued-uptick-Al-unmoved-despite-52kt-fresh.html,London,2020-01-15,10:14,2020-01-15 10:14:00
14,Aluminium,"Jingxi Tiangui’s phase-one alumina project starts production, sources say","Jingxi Tiangui’s phase-one alumina project starts production, sources say",https://metalbulletin.com/Article/3913050/Aluminium/Jingxi-Tianguis-phase-one-alumina-project-starts-production-sources-say.html,Shanghai,2020-01-15,06:20,2020-01-15 06:20:00
15,Aluminium,LIVE FUTURES REPORT 15/01, Most SHFE base metals prices edge higher on trade optimism,https://metalbulletin.com/Article/3913969/Aluminium/LIVE-FUTURES-REPORT-1501-Most-SHFE-base-metals-prices-edge-higher-on-trade-optimism.html,Shanghai,2020-01-15,04:42,2020-01-15 04:42:00
16,Aluminium,IN CASE YOU MISSED IT, 5 key stories from January 14,https://metalbulletin.com/Article/3913956/Aluminium/IN-CASE-YOU-MISSED-IT-5-key-stories-from-January-14.html,New York,2020-01-15,00:05,2020-01-15 00:05:00
17,Aluminium,Novelis acquisition of Aleris delayed,Novelis acquisition of Aleris delayed,https://metalbulletin.com/Article/3913938/Aluminium/Novelis-acquisition-of-Aleris-delayed.html,New York,2020-01-14,19:19,2020-01-14 19:19:00
18,Aluminium,LIVE FUTURES REPORT 14/01, LME copper price hits 9-mth high; lead up 2%,https://metalbulletin.com/Article/3913929/Aluminium/LIVE-FUTURES-REPORT-1401-LME-copper-price-hits-9-mth-high-lead-up-2.html,London,2020-01-14,18:20,2020-01-14 18:20:00
19,Aluminium,LIVE FUTURES REPORT 14/01, LME nickel price sinks 3% on selling pressure; copper holds gains ,https://metalbulletin.com/Article/3913792/Aluminium/LIVE-FUTURES-REPORT-1401-LME-nickel-price-sinks-3-on-selling-pressure-copper-holds-gains.html,London,2020-01-14,10:18,2020-01-14 10:18:00
20,Aluminium,LIVE FUTURES REPORT 14/01,Nickel leads SHFE base metals downward; copper up by 0.5%,https://metalbulletin.com/Article/3913771/Aluminium/LIVE-FUTURES-REPORT-1401-Nickel-leads-SHFE-base-metals-downward-copper-up-by-05.html,Shanghai,2020-01-14,05:20,2020-01-14 05:20:00
21,Aluminium,LIVE FUTURES REPORT 13/01,"LME copper nears $6,300/t in 1.3% uptick; outflows fail to bolster Al",https://metalbulletin.com/Article/3913741/Aluminium/LIVE-FUTURES-REPORT-1301-LME-copper-nears-6300t-in-13-uptick-outflows-fail-to-bolster-Al.html,London,2020-01-13,17:45,2020-01-13 17:45:00
22,Aluminium,LIVE FUTURES REPORT 13/01,LME nickel price pushes higher amid fresh cancelation; Al weak despite outflows,https://metalbulletin.com/Article/3913581/Aluminium/LIVE-FUTURES-REPORT-1301-LME-nickel-price-pushes-higher-amid-fresh-cancelation-Al-weak-despite.html,London,2020-01-13,10:31,2020-01-13 10:31:00
23,Aluminium,NEWSBREAK,"China to rename certain copper, aluminium scrap products in July",https://metalbulletin.com/Article/3913580/Aluminium/NEWSBREAK-China-to-rename-certain-copper-aluminium-scrap-products-in-July.html,London,2020-01-13,09:46,2020-01-13 09:46:00
24,Aluminium,LIVE FUTURES REPORT 13/01,"SHFE base metals prices subdued; Al slumps 1.2%, Ni rises 1%",https://metalbulletin.com/Article/3913565/Aluminium/LIVE-FUTURES-REPORT-1301-SHFE-base-metals-prices-subdued-Al-slumps-12-Ni-rises-1.html,Singapore,2020-01-13,05:41,2020-01-13 05:41:00
25,Aluminium,IN CASE YOU MISSED IT,5 key stories from January 10,https://metalbulletin.com/Article/3913546/Aluminium/IN-CASE-YOU-MISSED-IT-5-key-stories-from-January-10.html,New York,2020-01-13,00:05,2020-01-13 00:05:00
26,Aluminium,LIVE FUTURES REPORT 10/01,"LME base metals consolidate higher on low turnover; Al stays above $1,800",https://metalbulletin.com/Article/3913528/Aluminium/LIVE-FUTURES-REPORT-1001-LME-base-metals-consolidate-higher-on-low-turnover-Al-stays-above-1800.html,London,2020-01-10,18:35,2020-10-01 18:35:00
27,Aluminium,PEOPLE MOVES,Gerald copper trader Markus Hazell joins Hartree Partners,https://metalbulletin.com/Article/3913524/Aluminium/PEOPLE-MOVES-Gerald-copper-trader-Markus-Hazell-joins-Hartree-Partners.html,London,2020-01-10,17:40,2020-10-01 17:40:00
28,Aluminium,LME aluminium cancellations extend queue time at Port Klang warehouses,LME aluminium cancellations extend queue time at Port Klang warehouses,https://metalbulletin.com/Article/3913191/Aluminium/LME-aluminium-cancellations-extend-queue-time-at-Port-Klang-warehouses.html,London,2020-01-10,16:13,2020-10-01 16:13:00
