Date,Nickel 3M Seller Price(USD/tonne),Coal price (USD/tn),Crude Oil(USD),USD_to_IDR,Lme_Nickel_stock(tonne),eur_to_USD,US_dollar_index,trend_rate,Positive economic event,Political event,Google trend,Negative economic event
1/1/2008,27997.73,200,92.7236,9246.5,47122,1.4866,75.285,0,0,0,0,1
2/1/2008,27626.07,330,95.82,9065,46948,1.5181,73.75,0,0,0,0,1
3/1/2008,31208.68,350,104.3,9215,46861,1.5774,72.165,0,0,0,0,1
4/1/2008,28748.64,380,109.62,9222,46768,1.5617,72.72,0,0,0,0,1
5/1/2008,25722.75,385,120.7,9315,46678,1.5554,72.95,0,0,0,0,1
6/1/2008,22456,385,133.39,9220,46585,1.5756,72.8,0,0,0,0,1
7/1/2008,20347.39,400,133.88,9095,45297,1.5601,73.42,0,0,0,0,1
8/1/2008,18997.25,385,114.15,9150,45667,1.4674,77.5,0,0,0,0,1
9/1/2008,17981.59,375,99.56,9415,51423,1.4104,79.36,0,0,0,0,1
10/1/2008,12359.13,340,73.5,10900,56059,1.2733,86.345,0,0,0,0,1
11/1/2008,10909.5,250,52.89,12025,59937,1.2697,86.705,0,0,0,0,1
12/1/2008,9842.86,150,40.23652174,10900,70401,1.398,82.15,0,0,0,0,1
1/1/2009,11407.62,140,43.75,11380,79921,1.2783,86.46,0,1,0,0,0
2/1/2009,10481.25,150,42.94,11980,90205,1.2669,88.15,0,1,0,0,0
3/1/2009,9791.36,120,46.58,11555,101489,1.3251,85.895,0,1,0,0,0
4/1/2009,11254,120,50.3,10585,107306,1.3227,84.775,0,1,0,0,0
5/1/2009,12716.05,115,57.2,10290,111071,1.4154,79.43,0,1,0,0,0
6/1/2009,15041.59,115,68.494,10207.5,108705,1.4036,80.425,0,1,0,0,0
7/1/2009,16055,140,64.763,9925,108312,1.425,78.45,0,1,0,0,0
8/1/2009,19661.5,165,72.587,10080,108336,1.433,78.22,0,1,0,0,0
9/1/2009,17517.73,170,67.403,9645,117889,1.4636,76.86,0,1,0,0,0
10/1/2009,18620.23,170,72.85,9550,122764,1.4718,76.475,0,1,0,0,0
11/1/2009,17071.67,165,76.6,9455,132131,1.5009,74.935,0,1,0,0,0
12/1/2009,17168.1,170,74.2,9425,147016,1.4318,78.22,0,1,0,0,0
1/1/2010,18500,205,76.285,9350,161085,1.3863,79.65,0,1,0,0,0
2/1/2010,19052,220,73.578,9337,164561,1.3626,80.44,0,1,0,0,0
3/1/2010,22516.09,220,78.903,9090,158895,1.3512,81.291,0,1,0,0,0
4/1/2010,26083.75,250,84.83,9012.5,150869,1.3298,81.991,0,1,0,0,0
5/1/2010,22089.21,235,75.19,9175,141546,1.2306,86.67,0,0,0,0,0
6/1/2010,19464.09,230,74.83,9060,131471,1.2236,86.281,0,0,0,0,0
7/1/2010,19588.41,215,75.533,8940,119344,1.3048,81.655,0,0,0,0,0
8/1/2010,21497.62,190,76.854,9035,117252,1.2687,83.254,0,0,0,0,0
9/1/2010,22665,210,77.878,8925,120065,1.3633,78.938,0,0,0,0,0
10/1/2010,23863.57,220,82.742,8937.5,124749,1.395,77.457,0,0,0,0,0
11/1/2010,22990,220,85.93,9034,130027,1.298,81.271,0,0,0,0,0
12/1/2010,24173.81,225,91.29,9010,132817,1.3379,79.288,0,0,0,0,0
1/1/2011,25662.5,350,96.7,9048,136106,1.3686,77.865,0,0,0,0,0
2/1/2011,28272.75,325,103.64,8821.5,131219,1.3802,76.921,0,0,1,0,0
3/1/2011,26833.91,330,114.44,8707.5,126766,1.4166,76.072,0,0,0,0,0
4/1/2011,26348.89,325,123.69,8564,120660,1.4802,73.107,0,0,0,0,0
5/1/2011,24223.5,310,114.84,8535.5,114989,1.4396,74.696,0,0,0,0,0
6/1/2011,22389.32,305,114.16,8576.5,111889,1.4506,74.635,0,0,0,0,0
7/1/2011,23770.71,305,117.11,8500,103529,1.4396,74.036,0,0,0,0,0
8/1/2011,22100,300,110.122,8533,103399,1.4379,74.173,0,0,0,0,0
9/1/2011,20430.23,275,113.51,8790,98999,1.3386,79.075,0,0,0,0,0
10/1/2011,18925.95,260,110.215,8852.5,90913,1.3858,76.306,0,0,0,0,0
11/1/2011,17902.05,235,110.768,9110,85717,1.3443,78.491,0,0,0,0,0
12/1/2011,18170.25,228,108.243,9067.5,89879,1.2948,80.522,0,0,0,0,0
1/1/2012,19856.9,219,110.95,8990,92281,1.3078,79.417,0,0,0,0,0
2/1/2012,20559.29,215,119.89,9020,96123,1.3326,78.794,0,0,0,0,0
3/1/2012,18791.14,210,125.54,9144,98048,1.3344,79.138,18,0,0,18,18
4/1/2012,17968.42,217,119.73,9190.5,73807,1.324,78.848,6,0,0,24,24
5/1/2012,17086.36,221,110.51,9400,105595,1.2358,83.129,-4,0,0,20,20
6/1/2012,16610.26,224,95.06,9392.5,104171,1.266,81.753,-20,0,0,0,0
7/1/2012,16209.32,214,102.76,9445,108062,1.2304,82.71,0,0,0,0,0
8/1/2012,15731.82,173,113.34,9535,116096,1.2577,81.216,14,0,0,14,14
9/1/2012,17282.5,140,113.38,9570,121049,1.2858,80.025,0,0,0,14,14
10/1/2012,17305.43,149,111.82,9605,126435,1.296,79.987,-2,0,0,12,12
11/1/2012,16367.73,163,109.25,9593.5,132797,1.2986,80.163,-12,0,0,0,0
12/1/2012,17483.42,157,109.85,9637.5,138225,1.3196,79.871,0,0,0,0,0
1/1/2013,17532.73,163,113.02,9697.5,146539,1.3579,79.226,11,0,0,11,11
2/1/2013,17806.5,173,116.58,9663.5,153634,1.3056,82.003,8,0,0,19,19
3/1/2013,16805.75,159,109.04,9717.5,161880,1.282,83.175,-8,0,0,11,11
4/1/2013,15701.9,151,102.13,9722.5,170443,1.3167,81.807,-11,0,0,0,0
5/1/2013,15031.19,145,103.2,9795,178922,1.2999,83.401,0,0,0,0,0
6/1/2013,14350,136,102.96,9925,184010,1.301,83.376,12,0,0,12,12
7/1/2013,13786.09,131,107.92,10277.5,195920,1.3302,81.539,-12,0,0,0,0
8/1/2013,14366.19,145,111.29,10920,207127,1.3222,82.142,0,0,0,0,0
9/1/2013,13857.14,152,111.26,11580,218472,1.3526,80.323,0,0,0,0,0
10/1/2013,14140.22,147,109.26,11272.5,230594,1.3584,80.263,15,0,0,15,15
11/1/2013,13802.14,142,107.9,11962.5,244581,1.3591,80.657,-5,0,0,10,10
