Date,ex_flags_dip,ex_flag_peak,Al_Lag1,Coal_Lag2
1-Jan-09,0,0,1536.07,250
1-Feb-09,0,0,1448.74,150
1-Mar-09,0,0,1367.93,140
1-Apr-09,0,0,1373.02,150
1-May-09,1,0,1458.65,120
1-Jun-09,0,0,1497.39,120
1-Jul-09,0,0,1605.23,115
1-Aug-09,0,0,1695.07,115
1-Sep-09,0,0,1965.48,140
1-Oct-09,0,0,1867.34,165
1-Nov-09,0,0,1914.8,170
1-Dec-09,0,1,1981.95,170
1-Jan-10,0,0,2213.5,165
1-Feb-10,0,0,2266.65,170
1-Mar-10,0,0,2079.95,205
1-Apr-10,0,0,2236.96,220
1-May-10,1,0,2346.25,220
1-Jun-10,0,0,2069.71,250
1-Jul-10,0,0,1960.95,235
1-Aug-10,0,0,2007,230
1-Sep-10,0,0,2121.62,215
1-Oct-10,0,0,2193.84,190
1-Nov-10,0,0,2378.17,210
1-Dec-10,0,1,2359.25,220
1-Jan-11,0,0,2367.02,220
1-Feb-11,0,0,2455.43,225
1-Mar-11,0,0,2531.8,350
1-Apr-11,0,0,2585.26,325
1-May-11,1,0,2685.5,330
1-Jun-11,0,0,2595.8,325
1-Jul-11,0,0,2583.75,310
1-Aug-11,0,0,2542.55,305
1-Sep-11,0,0,2426.36,305
1-Oct-11,0,0,2332.86,300
1-Nov-11,0,0,2201.17,275
1-Dec-11,0,1,2093.96,260
1-Jan-12,0,0,2032.35,235
1-Feb-12,0,0,2175.12,228
1-Mar-12,0,0,2245.93,219
1-Apr-12,0,0,2225.07,215
1-May-12,1,0,2087.05,210
1-Jun-12,0,0,2041.3,217
1-Jul-12,0,0,1924.26,221
1-Aug-12,0,0,1907.82,224
1-Sep-12,0,0,1872.48,214
1-Oct-12,0,0,2067.83,173
1-Nov-12,0,0,2002.96,140
1-Dec-12,0,1,1955.88,149
1-Jan-13,0,0,2096.73,163
1-Feb-13,0,0,2073.15,157
1-Mar-13,0,0,2089.09,163
1-Apr-13,0,0,1959.9,173
1-May-13,1,0,1886.25,159
1-Jun-13,0,0,1861.7,151
1-Jul-13,0,0,1831.5,145
1-Aug-13,0,0,1812,136
1-Sep-13,0,0,1863,131
1-Oct-13,0,0,1808,145
1-Nov-13,0,0,1859,152
1-Dec-13,0,1,1795,147
1-Jan-14,0,0,1784,142
1-Feb-14,0,0,1771.11,135
1-Mar-14,0,0,1737.15,132
1-Apr-14,0,0,1747.65,124
1-May-14,1,0,1847.02,107
1-Jun-14,0,0,1790.98,112
1-Jul-14,0,0,1868.83,114
1-Aug-14,0,0,1967.28,113
1-Sep-14,0,0,2038.1,113
1-Oct-14,0,0,2023.48,111
1-Nov-14,0,0,1956.39,111
1-Dec-14,0,1,2041.35,111
1-Jan-15,0,0,1929.62,112
1-Feb-15,0,0,1822,113
1-Mar-15,0,0,1837.4,110
1-Apr-15,0,0,1781.41,104
1-May-15,1,0,1807.98,103
1-Jun-15,0,0,1838.39,95
1-Jul-15,0,0,1723.66,86
1-Aug-15,0,0,1679.35,89
1-Sep-15,0,0,1570.15,89
1-Oct-15,0,0,1604.91,85
1-Nov-15,0,0,1546.91,83
1-Dec-15,0,1,1481.45,82
1-Jan-16,0,0,1495.74,77
1-Feb-16,0,0,1480.1,76
1-Mar-16,0,0,1527.93,78
1-Apr-16,0,0,1537.17,76
1-May-16,1,0,1574.74,83
1-Jun-16,0,0,1569.32,94
1-Jul-16,0,0,1600.91,92
1-Aug-16,0,0,1640.98,90
1-Sep-16,0,0,1653.39,94
1-Oct-16,0,0,1604.14,108
1-Nov-16,0,0,1669.33,182
1-Dec-16,0,1,1734.02,210
1-Jan-17,0,0,1722.55,310
1-Feb-17,0,0,1786.38,259
1-Mar-17,0,0,1865.85,185
1-Apr-17,0,0,1911,162
1-May-17,1,0,1941.31,162
1-Jun-17,0,0,1917.07,227
1-Jul-17,0,0,1892.16,175
1-Aug-17,0,0,1921.36,144
1-Sep-17,0,0,2035.43,157
1-Oct-17,0,0,2125.69,191
1-Nov-17,0,0,2148.5,202
1-Dec-17,0,1,2117.02,179
1-Jan-18,0,0,2087.34,186
1-Feb-18,0,0,2221.67,227
1-Mar-18,0,0,2173.82,235
1-Apr-18,0,0,2094.9,227
1-May-18,1,0,2245.73,213
1-Jun-18,0,0,2288.64,189
1-Jul-18,0,0,2237.24,182
1-Aug-18,0,0,2076.32,203
1-Sep-18,0,0,2070.59,183
1-Oct-18,0,0,2055.2,183
1-Nov-18,0,0,2044.93,207
1-Dec-18,0,1,1950.02,217
1-Jan-19,0,0,1928.63,223
1-Feb-19,0,0,1861.55,226
1-Mar-19,0,0,1885.05,202
1-Apr-19,0,0,1895.33,206
1-May-19,1,0,1868.28,213
1-Jun-19,0,0,1805.55,204
1-Jul-19,0,0,1782.02,208
1-Aug-19,0,0,1816.33,198
1-Sep-19,0,0,1771.12,184.2
1-Oct-19,0,0,1776.76,157
1-Nov-19,0,0,1727.57,146
1-Dec-19,0,1,1760.764406,145.2
1-Jan-20,0,0,1756.063859,144.4
1-Feb-20,0,0,1751.250544,143.6
1-Mar-20,0,0,1746.503252,142.8
1-Apr-20,0,0,1741.804387,142
1-May-20,1,0,1737.151195,141.2
1-Jun-20,0,0,1732.540028,140.4
1-Jul-20,0,0,1727.967504,139.6
1-Aug-20,0,0,1723.430411,138.8
1-Sep-20,0,0,1718.925703,138
1-Oct-20,0,0,1714.450495,137.2
1-Nov-20,0,0,1710.002047,136.4
1-Dec-20,0,1,1705.577764,135.6
1-Jan-21,0,0,1701.175187,134.8
1-Feb-21,0,0,1696.791981,134
1-Mar-21,0,0,1692.425933,133.2
1-Apr-21,0,0,1688.074948,132.4
1-May-21,1,0,1683.737035,131.6
1-Jun-21,0,0,1679.41031,130.8
1-Jul-21,0,0,1675.092984,130
1-Aug-21,0,0,1670.783363,129.2
1-Sep-21,0,0,1666.479841,128.4
1-Oct-21,0,0,1662.180891,127.6
1-Nov-21,0,0,1657.885071,126.8
1-Dec-21,0,1,1886.271835,216.307692
