Date,Steel,Coal,Nickel,CrudeOil
1-Jan-09,580,140,11407.62,43.75
1-Feb-09,580,150,10481.25,42.94
1-Mar-09,550,120,9791.36,46.58
1-Apr-09,500,120,11254,50.3
1-May-09,480,115,12716.05,57.2
1-Jun-09,480,115,15041.59,68.494
1-Jul-09,480,140,16055,64.763
1-Aug-09,480,165,19661.5,72.587
1-Sep-09,540,170,17517.73,67.403
1-Oct-09,540,170,18620.23,72.85
1-Nov-09,520,165,17071.67,76.6
1-Dec-09,500,170,17168.1,74.2
1-Jan-10,520,205,18500,76.285
1-Feb-10,540,220,19052,73.578
1-Mar-10,590,220,22516.09,78.903
1-Apr-10,660,250,26083.75,84.83
1-May-10,720,235,22089.21,75.19
1-Jun-10,720,230,19464.09,74.83
1-Jul-10,710,215,19588.41,75.533
1-Aug-10,710,190,21497.62,76.854
1-Sep-10,690,210,22665,77.878
1-Oct-10,650,220,23863.57,82.742
1-Nov-10,640,220,22990,85.93
1-Dec-10,630,225,24173.81,91.29
1-Jan-11,680,350,25662.5,96.7
1-Feb-11,760,325,28272.75,103.64
1-Mar-11,760,330,26833.91,114.44
1-Apr-11,760,325,26348.89,123.69
1-May-11,750,310,24223.5,114.84
1-Jun-11,710,305,22389.32,114.16
1-Jul-11,670,305,23770.71,117.11
1-Aug-11,670,300,22100,110.122
1-Sep-11,660,275,20430.23,113.51
1-Oct-11,650,260,18925.95,110.215
1-Nov-11,640,235,17902.05,110.768
1-Dec-11,630,228,18170.25,108.243
1-Jan-12,630,219,19856.9,110.95
1-Feb-12,680,215,20559.29,119.89
1-Mar-12,690,210,18791.14,125.54
1-Apr-12,690,217,17968.42,119.73
1-May-12,670,221,17086.36,110.51
1-Jun-12,640,224,16610.26,95.06
1-Jul-12,630,214,16209.32,102.76
1-Aug-12,630,173,15731.82,113.34
1-Sep-12,630,140,17282.5,113.38
1-Oct-12,615,149,17305.43,111.82
1-Nov-12,600,163,16367.73,109.25
1-Dec-12,610,157,17483.42,109.85
1-Jan-13,620,163,17532.73,113.02
1-Feb-13,620,173,17806.5,116.58
1-Mar-13,620,159,16805.75,109.04
1-Apr-13,610,151,15701.9,102.13
1-May-13,590,145,15031.19,103.2
1-Jun-13,580,136,14350,102.96
1-Jul-13,570,131,13786.09,107.92
1-Aug-13,570,145,14366.19,111.29
1-Sep-13,580,152,13857.14,111.26
1-Oct-13,580,147,14140.22,109.26
1-Nov-13,570,142,13802.14,107.9
1-Dec-13,570,135,13980.25,110.51
1-Jan-14,570,132,14141.36,107.28
1-Feb-14,570,124,14242.75,108.65
1-Mar-14,580,107,15701.19,107.78
1-Apr-14,570,112,17422.25,108
1-May-14,570,114,19449,108.94
1-Jun-14,560,113,18658.57,111.58
1-Jul-14,550,113,19143.26,108.431
1-Aug-14,550,111,18670,103.612
1-Sep-14,550,111,18171.82,98.713
1-Oct-14,550,111,15855.87,88.454
1-Nov-14,540,112,15778.5,80.022
1-Dec-14,530,113,15993.57,63.732
1-Jan-15,530,110,14837.38,49.899
1-Feb-15,530,104,14593.25,59.266
1-Mar-15,530,103,13805.91,57.079
1-Apr-15,530,95,12836.25,61.41
1-May-15,530,86,13560.79,65.84
1-Jun-15,525,89,12817.05,64
1-Jul-15,525,89,11439.78,56.84
1-Aug-15,525,85,10392,48.27
1-Sep-15,515,83,9944.77,48.9
1-Oct-15,515,82,10387.73,49.55
1-Nov-15,495,77,9274.05,46.29
1-Dec-15,485,76,8738.33,38.99
1-Jan-16,470,78,8528,32.37
1-Feb-16,470,76,8347.38,33.82
1-Mar-16,480,83,8750.95,39.81
1-Apr-16,490,94,8890.71,43.33
1-May-16,550,92,8737.5,47.55
1-Jun-16,550,90,8961.59,49.78
1-Jul-16,550,94,10295.48,46.49
1-Aug-16,550,108,10407.05,46.76
1-Sep-16,560,182,10243.86,47.2
1-Oct-16,590,210,10315.71,51.3
1-Nov-16,600,310,11190.68,46.95
1-Dec-16,680,259,11080.5,54.81
1-Jan-17,700,185,10039.76,55.56
1-Feb-17,720,162,10674.25,55.98
1-Mar-17,730,162,10282.61,52.59
1-Apr-17,730,227,9725.83,53.68
1-May-17,710,175,9194.52,51.38
1-Jun-17,710,144,8988.18,47.62
1-Jul-17,690,157,9529.52,49.04
1-Aug-17,690,191,10907.73,51.82
1-Sep-17,710,202,11313.33,55.28
1-Oct-17,710,179,11382.27,57.45
1-Nov-17,700,186,12050.23,62.67
1-Dec-17,700,227,11463.95,63.91
1-Jan-18,720,235,12917.5,68.91
1-Feb-18,730,227,13613.25,65.73
1-Mar-18,740,213,13444.05,66.55
1-Apr-18,740,189,13970.75,71.83
1-May-18,740,182,14409.76,77.07
1-Jun-18,725,203,15166.67,75.83
1-Jul-18,725,183,13868.86,75.18
1-Aug-18,725,183,13525.23,73.73
1-Sep-18,730,207,12623.75,79.03
1-Oct-18,720,217,12414.78,80.46
1-Nov-18,700,223,11330.23,66.36
1-Dec-18,685,226,10923.68,59.02
1-Jan-19,675,202,11472.62,60.24
1-Feb-19,650,206,12734,64.32
1-Mar-19,650,213,13151.43,66.75
1-Apr-19,650,204,12910.5,71.28
1-May-19,640,208,12026.9,70.02
1-Jun-19,635,198,12034.25,62.79
1-Jul-19,635,184.2,13521.96,64.36
1-Aug-19,625,157,15667.38,59.72
1-Sep-19,625,146,17562.86,62.06
1-Oct-19,605,145.4,17025.65,59.54
1-Nov-19,590,135,15214.05,62.58
1-Dec-19,590,136,13857.25,65.17
