Date,Steel,Al,Nickel
1-Jan-09,580,1448.74,11407.62
1-Feb-09,580,1367.93,10481.25
1-Mar-09,550,1373.02,9791.36
1-Apr-09,500,1458.65,11254
1-May-09,480,1497.39,12716.05
1-Jun-09,480,1605.23,15041.59
1-Jul-09,480,1695.07,16055
1-Aug-09,480,1965.48,19661.5
1-Sep-09,540,1867.34,17517.73
1-Oct-09,540,1914.8,18620.23
1-Nov-09,520,1981.95,17071.67
1-Dec-09,500,2213.5,17168.1
1-Jan-10,520,2266.65,18500
1-Feb-10,540,2079.95,19052
1-Mar-10,590,2236.96,22516.09
1-Apr-10,660,2346.25,26083.75
1-May-10,720,2069.71,22089.21
1-Jun-10,720,1960.95,19464.09
1-Jul-10,710,2007,19588.41
1-Aug-10,710,2121.62,21497.62
1-Sep-10,690,2193.84,22665
1-Oct-10,650,2378.17,23863.57
1-Nov-10,640,2359.25,22990
1-Dec-10,630,2367.02,24173.81
1-Jan-11,680,2455.43,25662.5
1-Feb-11,760,2531.8,28272.75
1-Mar-11,760,2585.26,26833.91
1-Apr-11,760,2685.5,26348.89
1-May-11,750,2595.8,24223.5
1-Jun-11,710,2583.75,22389.32
1-Jul-11,670,2542.55,23770.71
1-Aug-11,670,2426.36,22100
1-Sep-11,660,2332.86,20430.23
1-Oct-11,650,2201.17,18925.95
1-Nov-11,640,2093.96,17902.05
1-Dec-11,630,2032.35,18170.25
1-Jan-12,630,2175.12,19856.9
1-Feb-12,680,2245.93,20559.29
1-Mar-12,690,2225.07,18791.14
1-Apr-12,690,2087.05,17968.42
1-May-12,670,2041.3,17086.36
1-Jun-12,640,1924.26,16610.26
1-Jul-12,630,1907.82,16209.32
1-Aug-12,630,1872.48,15731.82
1-Sep-12,630,2067.83,17282.5
1-Oct-12,615,2002.96,17305.43
1-Nov-12,600,1955.88,16367.73
1-Dec-12,610,2096.73,17483.42
1-Jan-13,620,2073.15,17532.73
1-Feb-13,620,2089.09,17806.5
1-Mar-13,620,1959.9,16805.75
1-Apr-13,610,1886.25,15701.9
1-May-13,590,1861.7,15031.19
1-Jun-13,580,1831.5,14350
1-Jul-13,570,1812,13786.09
1-Aug-13,570,1863,14366.19
1-Sep-13,580,1808,13857.14
1-Oct-13,580,1859,14140.22
1-Nov-13,570,1795,13802.14
1-Dec-13,570,1784,13980.25
1-Jan-14,570,1771.11,14141.36
1-Feb-14,570,1737.15,14242.75
1-Mar-14,580,1747.65,15701.19
1-Apr-14,570,1847.02,17422.25
1-May-14,570,1790.98,19449
1-Jun-14,560,1868.83,18658.57
1-Jul-14,550,1967.28,19143.26
1-Aug-14,550,2038.1,18670
1-Sep-14,550,2023.48,18171.82
1-Oct-14,550,1956.39,15855.87
1-Nov-14,540,2041.35,15778.5
1-Dec-14,530,1929.62,15993.57
1-Jan-15,530,1822,14837.38
1-Feb-15,530,1837.4,14593.25
1-Mar-15,530,1781.41,13805.91
1-Apr-15,530,1807.98,12836.25
1-May-15,530,1838.39,13560.79
1-Jun-15,525,1723.66,12817.05
1-Jul-15,525,1679.35,11439.78
1-Aug-15,525,1570.15,10392
1-Sep-15,515,1604.91,9944.77
1-Oct-15,515,1546.91,10387.73
1-Nov-15,495,1481.45,9274.05
1-Dec-15,485,1495.74,8738.33
1-Jan-16,470,1480.1,8528
1-Feb-16,470,1527.93,8347.38
1-Mar-16,480,1537.17,8750.95
1-Apr-16,490,1574.74,8890.71
1-May-16,550,1569.32,8737.5
1-Jun-16,550,1600.91,8961.59
1-Jul-16,550,1640.98,10295.48
1-Aug-16,550,1653.39,10407.05
1-Sep-16,560,1604.14,10243.86
1-Oct-16,590,1669.33,10315.71
1-Nov-16,600,1734.02,11190.68
1-Dec-16,680,1722.55,11080.5
1-Jan-17,700,1786.38,10039.76
1-Feb-17,720,1865.85,10674.25
1-Mar-17,730,1911,10282.61
1-Apr-17,730,1941.31,9725.83
1-May-17,710,1917.07,9194.52
1-Jun-17,710,1892.16,8988.18
1-Jul-17,690,1921.36,9529.52
1-Aug-17,690,2035.43,10907.73
1-Sep-17,710,2125.69,11313.33
1-Oct-17,710,2148.5,11382.27
1-Nov-17,700,2117.02,12050.23
1-Dec-17,700,2087.34,11463.95
1-Jan-18,720,2221.67,12917.5
1-Feb-18,730,2173.82,13613.25
1-Mar-18,740,2094.9,13444.05
1-Apr-18,740,2245.73,13970.75
1-May-18,740,2288.64,14409.76
1-Jun-18,725,2237.24,15166.67
1-Jul-18,725,2076.32,13868.86
1-Aug-18,725,2070.59,13525.23
1-Sep-18,730,2055.2,12623.75
1-Oct-18,720,2044.93,12414.78
1-Nov-18,700,1950.02,11330.23
1-Dec-18,685,1928.63,10923.68
1-Jan-19,675,1861.55,11472.62
1-Feb-19,650,1885.05,12734
1-Mar-19,650,1895.33,13151.43
1-Apr-19,650,1868.28,12910.5
1-May-19,640,1805.55,12026.9
1-Jun-19,635,1782.02,12034.25
1-Jul-19,635,1816.33,13521.96
1-Aug-19,625,1771.12,15667.38
1-Sep-19,625,1776.76,17562.86
1-Oct-19,605,1727.57,17025.65
1-Nov-19,590,1766.36,15214.05
1-Dec-19,590,1780.8,13857.25
