Date,Price
1-Jan-09,0
1-Feb-09,0
1-Mar-09,0
1-Apr-09,0
1-May-09,0
1-Jun-09,0
1-Jul-09,0
1-Aug-09,0
1-Sep-09,0
1-Oct-09,0
1-Nov-09,0
1-Dec-09,0
1-Jan-10,0
1-Feb-10,0
1-Mar-10,0
1-Apr-10,0
1-May-10,0
1-Jun-10,0
1-Jul-10,0
1-Aug-10,0
1-Sep-10,0
1-Oct-10,0
1-Nov-10,0
1-Dec-10,0
1-Jan-11,0
1-Feb-11,0
1-Mar-11,0
1-Apr-11,0
1-May-11,0
1-Jun-11,0
1-Jul-11,0
1-Aug-11,0
1-Sep-11,0
1-Oct-11,0
1-Nov-11,0
1-Dec-11,0
1-Jan-12,0
1-Feb-12,0
1-Mar-12,0
1-Apr-12,0
1-May-12,0
1-Jun-12,0
1-Jul-12,0
1-Aug-12,0
1-Sep-12,0
1-Oct-12,0
1-Nov-12,0
1-Dec-12,0
1-Jan-13,0
1-Feb-13,0
1-Mar-13,0
1-Apr-13,0
1-May-13,0
1-Jun-13,0
1-Jul-13,0
1-Aug-13,0
1-Sep-13,0
1-Oct-13,0
1-Nov-13,0
1-Dec-13,0
1-Jan-14,0
1-Feb-14,0
1-Mar-14,0
1-Apr-14,0
1-May-14,0
1-Jun-14,0
1-Jul-14,0
1-Aug-14,0
1-Sep-14,0
1-Oct-14,0
1-Nov-14,0
1-Dec-14,0
1-Jan-15,0
1-Feb-15,0
1-Mar-15,0
1-Apr-15,0
1-May-15,0
1-Jun-15,0
1-Jul-15,0
1-Aug-15,0
1-Sep-15,0
1-Oct-15,0
1-Nov-15,0
1-Dec-15,0
1-Jan-16,0
1-Feb-16,0
1-Mar-16,0
1-Apr-16,0
1-May-16,0
1-Jun-16,0
1-Jul-16,0
1-Aug-16,0
1-Sep-16,0
1-Oct-16,0
1-Nov-16,0
1-Dec-16,0
1-Jan-17,0
1-Feb-17,0
1-Mar-17,0
1-Apr-17,0
1-May-17,0
1-Jun-17,0
1-Jul-17,0
1-Aug-17,0
1-Sep-17,0
1-Oct-17,0
1-Nov-17,0
1-Dec-17,0
1-Jan-18,0
1-Feb-18,0
1-Mar-18,0
1-Apr-18,0
1-May-18,0
1-Jun-18,0
1-Jul-18,0
1-Aug-18,0
1-Sep-18,0
1-Oct-18,0
1-Nov-18,0
1-Dec-18,0
1-Jan-19,0
1-Feb-19,0
1-Mar-19,0
1-Apr-19,0
1-May-19,0
1-Jun-19,0
1-Jul-19,0
1-Aug-19,0
1-Sep-19,0
1-Oct-19,0
1-Nov-19,0
1-Dec-19,0
1-Jan-20,0
1-Feb-20,0
1-Mar-20,0
1-Apr-20,0
1-May-20,0
1-Jun-20,0
1-Jul-20,0
1-Aug-20,0
1-Sep-20,0
1-Oct-20,0
1-Nov-20,0
1-Dec-20,0
1-Jan-21,0
1-Feb-21,0
1-Mar-21,0
1-Apr-21,0
1-May-21,0
1-Jun-21,0
1-Jul-21,0
1-Aug-21,0
1-Sep-21,0
1-Oct-21,0
1-Nov-21,0
1-Dec-21,0
