Date,Price
1-Jan-09,580
1-Feb-09,580
1-Mar-09,550
1-Apr-09,500
1-May-09,480
1-Jun-09,480
1-Jul-09,480
1-Aug-09,480
1-Sep-09,540
1-Oct-09,540
1-Nov-09,520
1-Dec-09,500
1-Jan-10,520
1-Feb-10,540
1-Mar-10,590
1-Apr-10,660
1-May-10,720
1-Jun-10,720
1-Jul-10,710
1-Aug-10,710
1-Sep-10,690
1-Oct-10,650
1-Nov-10,640
1-Dec-10,630
1-Jan-11,680
1-Feb-11,760
1-Mar-11,760
1-Apr-11,760
1-May-11,750
1-Jun-11,710
1-Jul-11,670
1-Aug-11,670
1-Sep-11,660
1-Oct-11,650
1-Nov-11,640
1-Dec-11,630
1-Jan-12,630
1-Feb-12,680
1-Mar-12,690
1-Apr-12,690
1-May-12,670
1-Jun-12,640
1-Jul-12,630
1-Aug-12,630
1-Sep-12,630
1-Oct-12,615
1-Nov-12,600
1-Dec-12,610
1-Jan-13,620
1-Feb-13,620
1-Mar-13,620
1-Apr-13,610
1-May-13,590
1-Jun-13,580
1-Jul-13,570
1-Aug-13,570
1-Sep-13,580
1-Oct-13,580
1-Nov-13,570
1-Dec-13,570
1-Jan-14,570
1-Feb-14,570
1-Mar-14,580
1-Apr-14,570
1-May-14,570
1-Jun-14,560
1-Jul-14,550
1-Aug-14,550
1-Sep-14,550
1-Oct-14,550
1-Nov-14,540
1-Dec-14,530
1-Jan-15,530
1-Feb-15,530
1-Mar-15,530
1-Apr-15,530
1-May-15,530
1-Jun-15,525
1-Jul-15,525
1-Aug-15,525
1-Sep-15,515
1-Oct-15,515
1-Nov-15,495
1-Dec-15,485
1-Jan-16,470
1-Feb-16,470
1-Mar-16,480
1-Apr-16,490
1-May-16,550
1-Jun-16,550
1-Jul-16,550
1-Aug-16,550
1-Sep-16,560
1-Oct-16,590
1-Nov-16,600
1-Dec-16,680
1-Jan-17,700
1-Feb-17,720
1-Mar-17,730
1-Apr-17,730
1-May-17,710
1-Jun-17,710
1-Jul-17,690
1-Aug-17,690
1-Sep-17,710
1-Oct-17,710
1-Nov-17,700
1-Dec-17,700
1-Jan-18,720
1-Feb-18,730
1-Mar-18,740
1-Apr-18,740
1-May-18,740
1-Jun-18,725
1-Jul-18,725
1-Aug-18,725
1-Sep-18,730
1-Oct-18,720
1-Nov-18,700
1-Dec-18,685
1-Jan-19,675
1-Feb-19,650
1-Mar-19,650
1-Apr-19,650
1-May-19,640
1-Jun-19,635
1-Jul-19,635
1-Aug-19,625
1-Sep-19,625
1-Oct-19,605
1-Nov-19,590
1-Dec-19,590
