Date,Price
01-07-2011,38000
01-08-2011,38000
01-09-2011,38000
01-10-2011,38000
01-11-2011,38000
01-12-2011,38000
01-01-2012,39000
01-02-2012,39000
01-03-2012,39000
01-04-2012,40000
01-05-2012,41500
01-06-2012,43000
01-07-2012,43000
01-08-2012,43000
01-09-2012,43000
01-10-2012,43000
01-11-2012,43000
01-12-2012,43000
01-01-2013,43000
01-02-2013,43500
01-03-2013,43500
01-04-2013,43500
01-05-2013,43000
01-06-2013,43000
01-07-2013,42500
01-08-2013,42000
01-09-2013,41500
01-10-2013,41000
01-11-2013,40000
01-12-2013,40000
01-01-2014,41000
01-02-2014,41000
01-03-2014,41000
01-04-2014,40000
01-05-2014,40000
01-06-2014,39000
01-07-2014,39500
01-08-2014,39500
01-09-2014,41000
01-10-2014,41000
01-11-2014,41500
01-12-2014,43000
01-01-2015,44700
01-02-2015,44700
01-03-2015,46500
01-04-2015,49000
01-05-2015,49000
01-06-2015,50500
01-07-2015,51000
01-08-2015,51500
01-09-2015,52000
01-10-2015,66000
01-11-2015,82000
01-12-2015,129000
01-01-2016,153000
01-02-2016,168500
01-03-2016,171500
01-04-2016,170000
01-05-2016,168000
01-06-2016,160000
01-07-2016,151000
01-08-2016,129000
01-09-2016,127000
01-10-2016,123500
01-11-2016,124500
01-12-2016,126000
01-01-2017,126000
01-02-2017,128000
01-03-2017,132000
01-04-2017,134000
01-05-2017,141000
01-06-2017,145500
01-07-2017,148500
01-08-2017,156000
01-09-2017,163000
01-10-2017,171000
01-11-2017,171000
01-12-2017,166000
01-01-2018,154500
01-02-2018,154500
01-03-2018,154500
01-04-2018,143500
01-05-2018,133000
01-06-2018,123000
01-07-2018,103000
01-08-2018,84000
01-09-2018,80500
01-10-2018,78000
01-11-2018,80000
01-12-2018,79500
01-01-2019,77500
01-02-2019,78500
01-03-2019,76500
01-04-2019,76500
01-05-2019,77000
01-06-2019,73500
01-07-2019,67000
01-08-2019,61500
01-09-2019,59000
01-10-2019,58500
01-11-2019,54000
