Year,Date,Volume_Total_Market(khl),Total_GRP,Consumer Confidence Index,Soju_CPI,Beer_CPI,Real Disposable Income,Unemployment Rate age 15-64,Extreme Max Temperature,Aug_Flag,Dec_Flag,oct_flag,filite,filite_index
2011,1/1/11,1357.008768,696.6,101.6032,92.527,93.792,3121050,3.7,-3.6,0,0,0,0,0
2011,1/2/11,1160.629589,599.3,101.0049,92.246,93.699,3121050,3.7,6.2,0,0,0,0,0
2011,1/3/11,1385.623872,975.7,100.3153,92.246,93.699,3121050,3.8,10.7,0,0,0,0,0
2011,1/4/11,1403.253159,1214.5,100.0946,92.152,93.699,3012633,3.6,13.5,0,0,0,0,0
2011,1/5/11,1579.002037,1283,100.1494,91.964,93.699,3012633,3.4,24.4,0,0,0,0,0
2011,1/6/11,1783.465632,1499.1,100.0974,92.152,93.699,3012633,3.4,26.6,0,0,0,0,0
2011,1/7/11,1805.025292,1854.6,99.93037,91.87,93.792,3151283,3.4,28.7,0,0,0,0,0
2011,1/8/11,1715.571691,1561,99.66685,91.87,93.886,3151283,3.3,28.9,1,0,0,0,0
2011,1/9/11,1721.288632,556.6,99.59137,91.964,93.98,3151283,3.4,27,0,0,0,0,0
2011,1/10/11,1392.625268,154,99.73767,91.964,93.98,3180060,3.3,17.3,0,0,1,0,0
2011,1/11/11,1569.134959,535.5,99.85516,91.964,94.074,3180060,3.4,19.9,0,0,0,0,0
2011,1/12/11,1359.793605,910.8,99.69829,92.152,94.074,3180060,3.3,5.8,0,1,0,0,0
2012,1/1/12,1316.645388,33.4,99.6534,92.095,94.083,3333249,3.4,5.4,0,0,0,0,0
2012,1/2/12,1153.768248,14.9,99.89712,92.095,93.989,3333249,3.3,5.8,0,0,0,0,0
2012,1/3/12,1357.671815,0.2,100.2234,91.795,93.717,3333249,3.3,11.6,0,0,0,0,0
2012,1/4/12,1406.44271,1142.5,100.5079,91.785,93.699,3218804,3.4,22.9,0,0,0,0,0
2012,1/5/12,1729.43291,1369.8,100.4722,91.851,93.624,3218804,3.3,23.3,0,0,0,0,0
2012,1/6/12,1883.198506,1452.4,100.1076,91.879,93.717,3218804,3.3,27.8,0,0,0,0,0
2012,1/7/12,2166.687083,1782.8,99.78289,91.757,93.652,3350043,3.2,29.2,0,0,0,0,0
2012,1/8/12,1953.471036,1987.2,99.59319,91.851,95.762,3350043,3.2,31.8,1,0,0,0,0
2012,1/9/12,1708.907416,1896.7,99.48436,92.105,98.951,3350043,3.3,25.2,0,0,0,0,0
2012,1/10/12,1443.657715,1390.1,99.49734,91.626,99.214,3360611,3.2,19.9,0,0,1,0,0
2012,1/11/12,1419.665057,709.9,99.55026,91.644,99.092,3360611,3.3,12,0,0,0,0,0
2012,1/12/12,1350.947088,911,99.64326,91.673,99.176,3360611,3.2,4.6,0,1,0,0,0
2013,1/1/13,1259.830946,435.6,99.84182,97.891,99.12,3390524,3.3,7.4,0,0,0,0,0
2013,1/2/13,1249.188049,180.9,100.0024,98.38,98.688,3390524,3.3,7.3,0,0,0,0,0
2013,1/3/13,1454.719988,729.4,100.1545,99.047,99.007,3390524,3.2,13.2,0,0,0,0,0
2013,1/4/13,1421.012536,1271.3,100.2133,99.112,98.848,3287136,3.1,16,0,0,0,0,0
2013,1/5/13,1676.582465,1686.3,100.3359,99.244,98.632,3287136,3.2,24.7,0,0,0,0,0
2013,1/6/13,1829.415234,1879.3,100.4265,99.14,98.81,3287136,3.2,27.7,0,0,0,0,0
2013,1/7/13,2077.230858,2289.6,100.4313,99.122,98.895,3452244,3.3,27.1,0,0,0,0,0
2013,1/8/13,2038.094069,2256.8,100.3937,99.234,99.045,3452244,3.3,29.3,1,0,0,0,0
2013,1/9/13,1782.3805,1870.6,100.3944,99.244,98.942,3452244,3.2,24.7,0,0,0,0,0
2013,1/10/13,1636.769908,1099.2,100.6437,99.263,98.979,3403778,3.3,22.8,0,0,1,0,0
2013,1/11/13,1434.482386,396.5,100.9001,99.225,99.27,3403778,3.2,14.8,0,0,0,0,0
2013,1/12/13,1518.075954,158.2,101.0738,99.14,99.223,3403778,3.4,6.7,0,1,0,0,0
2014,1/1/14,1463.431039,309.2,101.2248,99.094,99.242,3563069,3.4,4.2,0,0,0,0,0
2014,1/2/14,1156.983334,414.2,101.2619,99.197,99.307,3563069,3.6,8.4,0,0,0,0,0
2014,1/3/14,1389.480803,423,101.2275,99.028,99.214,3563069,3.5,16.6,0,0,0,0,0
2014,1/4/14,1583.119503,846,101.0971,99,99.186,3380553,3.7,19,0,0,0,0,1.228473664
2014,1/5/14,1814.498531,1232.6,100.9048,99.159,99.054,3380553,3.7,26.2,0,0,0,6,16.32635889
2014,1/6/14,1923.364554,2374.5,100.8548,98.746,99.167,3380553,3.7,25.3,0,0,0,14,38.21450609
2014,1/7/14,2098.726694,2401.6,100.8244,98.802,99.129,3549993,3.6,28.9,0,0,0,21,57.50546923
2014,1/8/14,1841.226559,2283.8,100.8678,98.784,99.645,3549993,3.6,31.4,1,0,0,23,65.59151848
2014,1/9/14,1795.528007,1446.8,100.829,99,99.617,3549993,3.6,25.3,0,0,0,24,66.63768441
2014,1/10/14,1666.070098,787.5,100.6067,98.868,99.683,3502757,3.8,21.2,0,0,1,23,65.07544736
2014,1/11/14,1362.84902,719.5,100.3386,99.507,99.608,3502757,3.7,17.3,0,0,0,22,61.22454704
2014,1/12/14,1517.567394,2114.4,100.1695,99.263,99.598,3502757,3.8,2.9,0,1,0,23,65.02496214
2015,1/1/15,1449.129105,2600.402209,100.1145079,101.3013169,99.58859165,3643924.623,3.773168529,3.495869394,0,0,0,24,66.36282044
2015,1/2/15,1363.51207,2346.953177,100.0861256,101.3790914,99.4500159,3643924.623,3.773168529,6.698734612,0,0,0,22,62.41655915
2015,1/3/15,1450.724638,1582.343371,100.071477,101.4285887,99.43844185,3643924.623,3.773168529,13.15954518,0,0,0,23,65.41201548
2015,1/4/15,1571.987483,1321.901737,100.0639166,101.4118373,99.38711967,3482174.431,3.773168529,17.99205784,0,0,0,26,72.64823021
2015,1/5/15,1764.90628,1233.190025,100.0600146,101.4541107,99.28129863,3482174.431,3.773168529,24.48177365,0,0,0,29,82.26566444
2015,1/6/15,1810.627459,1202.973013,100.0580006,101.3788357,99.37723039,3482174.431,3.773168529,26.91168888,0,0,0,29,82.41151063
