year,Month,Quarter,Beer price,Beer production,Output of Beer,Output of Liquor,Output of Soft Drinks,Output of Wine,Nominal Cider/Perry Price,Nominal RTD/High Strength Pre-Mixes Price,Nominal Wine Price,Nominal Spirits Price,Cider/Perry Volume,RTD/High Strength Pre-Mixes Volume,Wine Volume,Spirits Volume,Unemployment rate,Unemployment Female %,Unemployment Male %,Employment rate,Employment Male %,Employment Female %,Employment PMI,Employment to population ratio 15+ (ILOpct)/(NBSpct),Manufacturing Production Index,Manufacturing Import Index,Manufacturing Employment Index,Non-Manufacturing Business Index,Non-Manufacturing Employment Index,Money Supply,Currency in Circulation,Retail Price Index,Happiness Index,Customs and import tax,Taxes on goods and services,"Total Excise (Beer, Tobacco, etc.)",Wine Equalistaion Tax,Export taxes,Global events,Festivals,Holiday flags,No. of festive days in the month,No.of working days,Number of Tourists 1wk<,Number of Tourists 1-2 wks,Number of Tourists 2wks-1mth,Number of Tourists 1-2mths,Number of Tourists 2-3mths,Number of Tourists 3-6mths,Number of Tourists 6-12mths,"Season (Summer, spring, autumn, winter) flags",Temperature,Precipitation,Foggy Days,Hail Days,Rainy Days,Thunderstorm Days,Event Count,Natural calamities,Barley production,Hops production,Milled Rice production,Wheat production,Paddy production,Flavor,Consumer confidence,"Attitudinal measures e.g. health, social etc.",Total Advertising Spend,"System Shocks - RTD tax, CDS, GST, Sydney LockOut Laws etc.",Elections,PMI,Weighted Temp
2009,01-01-2009,Q1,4.352415,1611.309904,,,,,5.793332,,,,,,,,,0.051133485,0.054884914,0.616494178,0.683683525,0.551162566,,0.655231015,,,,,,92.19014,49134.55286,,,534.945,2495.583417,2428.511,0,,1,1,1,2,20,42700,121100,140800,53100,15600,15300,20200,2,,,,,,,,,,,,,,,,,,0,0,36.46,29.94005386
2009,02-01-2009,Q1,4.416685,1343.166985,,,,,5.792229,,,,,,,,,0.061665157,0.058003734,0.620706441,0.685377829,0.557814064,,0.655729739,,,,,,93.41913,48921.56884,,,430.977,3326.348083,1656.011,0,,0,0,0,0,20,62300,112600,109700,40700,12200,12900,12200,2,,,,,,,,,,,,,,,,,,0,0,30.86,28.46674481
2009,03-01-2009,Q1,4.424959,1563.248524,,,,,5.745072,,,,,,,,,0.0610908,0.059867808,0.619312309,0.683017979,0.557350376,,0.655955253,,,,,,93.26146,49103.80189,,,485.396,5249.34,2160.087,0,,1,0,0,1,21,74200,129600,119900,58300,15600,18300,13400,3,,,,,,,,,,,,,,,,,,0,0,33.38,26.52708519
2009,04-01-2009,Q2,4.433523,1542.646804,,,,,5.773002,,,,,,,,,0.05437741,0.056866667,0.619417569,0.68336148,0.557220126,,0.65577358,,,,,,93.09167,48700.20473,,,487.287,5168.994,2055.329,0,,0,1,1,3,19,66800,158900,162300,63000,18300,18300,15400,3,,,,,,,,,,,,,,,,,,0,0,31.19,23.25628481
2009,05-01-2009,Q2,4.468292,1393.522857,,,,,5.722111,,,,,,,,,0.053662728,0.062138567,0.618177149,0.679641195,0.558388406,,0.655188379,,,,,,94.08617,47853.14681,,,483.084,4297.96,1938.653,0,,0,0,0,0,21,67900,133500,138200,87400,27100,32200,13300,3,,,,,,,,,,,,,,,,,,0,0,36.67,20.24158222
2009,06-01-2009,Q2,4.421563,1505.522483,,,,,5.987177,,,,,,,,,0.053527228,0.060466114,0.61637183,0.678045449,0.556375578,,0.654344418,,,,,,94.94324,48087.40164,,,498.854,-485.299,2104.521,0,,0,0,0,1,21,66300,149000,158100,110000,33600,28400,11400,4,,,,,,,,,,,,,,,,,,0,0,39.16,17.49599994
2009,07-01-2009,Q3,4.412022,1192.494217,,,,,5.862796,,,,,,,,,0.049284983,0.055605405,0.617536035,0.681300731,0.555505853,,0.653490542,,,,,,95.59007,48185.44444,,,514.831,4758.908,1875.577,0,,0,0,0,0,23,68200,176600,165900,88800,28600,23800,12700,4,,,,,,,,,,,,,,,,,,0,0,44.22,17.22560301
2009,08-01-2009,Q3,4.601689,1333.554577,,,,,6.097603,,,,,,,,,0.053637004,0.056191143,0.610745955,0.674831671,0.54840372,,0.652879672,,,,,,95.88114,48442.10965,,,474.802,3471.675,2192.848,0,,0,0,0,0,21,74500,158500,147300,86700,24500,22700,11700,4,,,,,,,,,,,,,,,,,,0,0,48.88,19.91757061
2009,09-01-2009,Q3,4.515814,1511.87638,,,,,6.165037,,,,,,,,,0.054932691,0.057137057,0.619717915,0.683690181,0.557486389,,0.652591545,,,,,,95.93774,48641.2299,,,505.896,2168.592,1807.297,0,,0,0,0,0,22,77800,195200,208800,97800,20900,18500,9200,1,,,,,,,,,,,,,,,,,,0,0,52.21,21.53293933
2009,10-01-2009,Q4,4.546315,1552.030974,,,,,6.296204,,,,,,,,,0.051837005,0.054990594,0.616832192,0.681075397,0.554345618,,0.652536607,,,,,,95.86902,48968.42007,,,536.616,4860.214,1876.111,224.632,,0,0,0,1,21,84000,201100,162600,54700,17100,18000,9500,1,,,,,,,,,,,,,,,,,,0,0,48.34,22.47797331
