,Unemp_rate_urban,Pop15to64,CPI_f,F_visitors,pop_density_gi,ny,nd,cgp,sbf,Feb,Mar,Nov,min_avg_temp_f,(Intercept),May,Jun,Jul,Aug,Sep,smf
Anhui,88.23708991,11683.96584,-9.200242918,-65.63116233,-31.82434323,391.5759509,-260.6699182,336.7665315,140.9017653,316.2900367,682.1967748,-200.9753439,30.95193839,-4951.486347,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Beijing,-47.28152638,3069.956606,-15.84420515,-11.46822434,5.132525907,332.7359901,-258.3578848,167.2112025,38.68075156,8.910887519,134.8487098,-160.2119134,20.41761584,-1096.375941,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Chongqing,-42.30223806,4141.671104,1.055517671,-10.43701819,8.957147138,9.179969534,58.84031503,109.0300334,-53.2656877,112.6205688,95.58486674,-7.376799616,4.448210583,-3585.977368,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Fujian,190.7156871,-1567.773864,12.76610162,120.1213521,17.48739584,467.9551038,112.6608306,125.002331,-239.1922458,24.70637696,152.3883876,-69.02333498,31.66651243,-3685.72634,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Gansu,-88.72811325,3911.651835,0.902882687,-50.58123751,5.401458844,245.778012,66.17135842,255.4720204,-17.49664008,74.6015699,141.6098941,-17.00411842,-2.455324548,-2853.768603,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Guangdong,-275.1195712,-11045.4558,35.46535972,146.1328668,83.43464423,-51.16323176,66.18205156,-217.5075976,-90.913631,-432.2965111,-64.61170374,-121.318638,44.75575884,-5356.076943,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Guangxi,-442.9986953,5787.732956,12.36835263,60.9870021,-4.884878686,350.4978494,169.8686554,143.6467834,31.23291364,144.6605953,166.0898128,-28.87478915,7.054834527,-2972.7649,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Guizhou,-230.2658005,5128.111047,-2.601527772,4.570697221,4.265661442,39.90818846,183.8624597,132.0221817,26.48552013,-7.982902322,79.20851868,79.11968248,-6.039553992,-2219.990599,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Hainan,81.36785731,3092.283762,3.001531238,-21.20545362,-9.688020451,132.0809141,223.9273576,225.1340439,-93.99464244,131.8504179,174.4194583,171.1394378,-8.867371185,-1188.536338,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
Hebei,-462.2382567,-128.7610748,44.73232751,-131.364206,-29.82207168,18.88720283,-107.7846759,149.7146579,66.27574511,-43.70103212,64.11896275,-107.9130316,6.932310429,1014.814391,314.0945302,432.2703577,462.4349611,401.8341675,214.7143261,-135.8494315
