"","alpha","beta","gamma","OutSample_Error","InSample_Error","Mean_MAPE"
"1",0,0,0,0,0,0
"2",0.05,0.05,0.05,0.050599862091184,0.0521685339311076,0.0517203419768437
"3",0.05,0.05,0.15,0.0498469592252485,0.052112506563566,0.0514652073240467
"4",0.05,0.05,0.25,0.0490939250088897,0.0520564859431052,0.0512100399619008
"5",0.05,0.05,0.35,0.0483407590381918,0.052000472093117,0.0509548397917098
"6",0.05,0.05,0.45,0.0475874609075254,0.0519444650371015,0.0506996067143654
"7",0.05,0.05,0.55,0.0468340302095368,0.0518884647986674,0.0504443406303444
"8",0.05,0.05,0.65,0.0460804665351402,0.0518324714015333,0.0501890414397067
"9",0.05,0.05,0.75,0.0453267694735071,0.0517764848695278,0.0499337090420933
"10",0.05,0.05,0.85,0.0445729386120573,0.0517205052265901,0.0496783433367236
"11",0.05,0.05,0.95,0.0438189735364488,0.0516645324967711,0.0494229442223933
"12",0.05,0.15,0.05,0.0462034040470018,0.0512095501123502,0.0497792226651078
"13",0.05,0.15,0.15,0.0455663665300537,0.0511571544212836,0.0495597864523608
"14",0.05,0.15,0.25,0.0449292178563081,0.0511047667615973,0.049340324217229
"15",0.05,0.15,0.35,0.0442919576906976,0.0510523871610829,0.0491208358838299
"16",0.05,0.15,0.45,0.0436545856967525,0.0510000156476602,0.0489013213759723
"17",0.05,0.15,0.55,0.0430171015365941,0.0509476522493784,0.0486817806171543
"18",0.05,0.15,0.65,0.0423795048709275,0.0508952969944165,0.0484622135305625
"19",0.05,0.15,0.75,0.0417417953590324,0.050842949911084,0.0482426200390692
"20",0.05,0.15,0.85,0.0411039726587569,0.0507906110278218,0.0480230000652318
"21",0.05,0.15,0.95,0.0404660364265092,0.050738280373203,0.0478033535312905
"22",0.05,0.25,0.05,0.0427516550125175,0.0503674228100678,0.0481914891536248
"23",0.05,0.25,0.15,0.0422238295778615,0.0503185599561875,0.0480057798480944
