Month,Beer_Volume,GDP_per_capita_currentYuan,GDP_new_2,Pop15plus,Pop15_64,Pop_15_44,Pop_45_plus,Pop_65_plus,age_rate_15_65,age_rate_new,age_rate_new_ov,Pop_60_plus,temp_ucm,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,new_cpi_bp,PMI,beer_price
01-01-2001,9.173569623,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.027533413,1,0,0,0,0,0,0,0,0,0,0,1.929436749,4.02356438,1.734785217
02-01-2001,9.359539157,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.090885327,0,1,0,0,0,0,0,0,0,0,0,1.929436749,4.069026754,1.734785217
03-01-2001,9.7259686,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.201873215,0,0,1,0,0,0,0,0,0,0,0,1.929436749,4.146304301,1.734785217
04-01-2001,9.928157219,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.325244729,0,0,0,1,0,0,0,0,0,0,0,1.929436749,4.163559631,1.734785217
05-01-2001,10.15891108,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.417723355,0,0,0,0,1,0,0,0,0,0,0,1.929436749,4.11414719,1.734785217
06-01-2001,10.21438261,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.479754905,0,0,0,0,0,1,0,0,0,0,0,1.929436749,4.072439727,1.734785217
07-01-2001,10.27776769,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.515440275,0,0,0,0,0,0,1,0,0,0,0,1.929436749,4.123903364,1.734785217
08-01-2001,10.1674174,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.503679211,0,0,0,0,0,0,0,1,0,0,0,1.929436749,4.12552018,1.734785217
09-01-2001,9.959458104,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.45032308,0,0,0,0,0,0,0,0,1,0,0,1.929436749,4.11414719,1.734785217
10-01-2001,9.628593046,4.462462998,9.073010116,13.78304522,13.68861652,13.37116376,12.69714342,11.37629212,1.994871636,2.312324394,2.406753092,11.76078504,4.372947999,0,0,0,0,0,0,0,0,0,1,0,1.929436749,4.085976313,1.734785217
