Month,Year,Quarter,Beer production(kHL),Beer price($/litre),Output of Beer(),Output of Liquor(),Output of Soft Drinks(),Output of Wine(),Nominal Cider/Perry Price($/litre),Nominal RTD/High Strength Pre-Mixes Price(),Nominal Wine Price($/litre),Nominal Spirits Price($/litre),Cider/Perry Volume(kL),RTD/High Strength Pre-Mixes Volume(),Wine Volume(kL),Spirits Volume(kL),Unemployment rate(%),Unemployment Female %(%),Unemployment Male %(%),Employment rate(%),Employment Male %(%),Employment Female %(%),Employment PMI(),Employment to population ratio 15+ (ILOpct)/(NBSpct)(%),Manufacturing Production Index(),Manufacturing Import Index(),Manufacturing Employment Index(),Non-Manufacturing Business Index(),Non-Manufacturing Employment Index(),Money Supply(Index),Currency in Circulation(AUD $m),Retail Price Index(),Happiness Index(),Customs and import tax($m AUD),Taxes on goods and services($m AUD),"Total Excise (Beer, Tobacco, etc.)($m AUD)",Wine Equalistaion Tax($m AUD),Export taxes(),Global events(),Festivals(),Holiday flags(),No. of festive days in the month(),No.of working days(),Number of Tourists 1wk<(persons),Number of Tourists 1-2 wks(persons),Number of Tourists 2wks-1mth(persons),Number of Tourists 1-2mths(persons),Number of Tourists 2-3mths(persons),Number of Tourists 3-6mths(persons),Number of Tourists 6-12mths(persons),"Season (Summer, spring, autumn, winter) flags(flag)",Temperature(),Precipitation(),Foggy Days(),Hail Days(),Rainy Days(),Thunderstorm Days(),Event Count(),Natural calamities(),Barley production(),Hops production(),Milled Rice production(),Wheat production(),Paddy production(),Flavor(),Consumer confidence(),"Attitudinal measures e.g. health, social etc.()",Total Advertising Spend(),"System Shocks - RTD tax, CDS, GST, Sydney LockOut Laws etc.(Flag)",Elections(Flag),PMI(Index)
01-01-2007,2007,Q1,,,,,,,,,,,,,,,0.04999959,0.052717989,0.047772537,0.61230417,0.685927096,0.541049096,,0.649348434,,,,,,64.31964,40151.29544,,,515.722,112.534,2066.167,0,,1,1,1,2,21,41000,107300,120700,49000,13700,16600,21100,2,,,,,,,,,,,,,,,,,,0,0,52.9
02-01-2007,2007,Q1,,,,,,,,,,,,,,,0.052301543,0.05851267,0.047164674,0.618333602,0.691762059,0.547250097,,0.649604802,,,,,,65.18883,39935.92288,,,433.89,101.946,1434.79,0,,0,0,0,0,20,51600,95100,91000,40900,11300,11800,12800,2,,,,,,,,,,,,,,,,,,0,0,57.88
03-01-2007,2007,Q1,,,,,,,,,,,,,,,0.047140294,0.05298206,0.042309939,0.621418822,0.694953934,0.550215026,,0.649879297,,,,,,66.30866,40631.7529,,,419.583,95.17,1926.861,0,,1,0,0,1,21,69900,124100,123200,57600,13700,17800,15500,3,,,,,,,,,,,,,,,,,,0,0,53.84
04-01-2007,2007,Q2,,,,,,,,,,,,,,,0.044564798,0.049647864,0.040380337,0.621322596,0.695681083,0.549305557,,0.650188754,,,,,,67.287,40534.29902,,,462.78,93.501,2154.097,0,,0,1,1,3,18,60900,133500,131400,57200,17500,19200,16000,3,,,,,,,,,,,,,,,,,,0,0,52.05
05-01-2007,2007,Q2,,,,,,,,,,,,,,,0.042774755,0.046928413,0.039338914,0.623348525,0.695807701,0.553155528,,0.650520357,,,,,,68.11575,39882.90416,,,441.422,139.688,1708.503,0,,0,0,0,0,23,64000,107500,118600,78500,23600,30800,16000,3,,,,,,,,,,,,,,,,,,0,0,55.23
06-01-2007,2007,Q2,,,,,,,,,,,,,,,0.042129282,0.046518053,0.038512048,0.623883646,0.697595454,0.552461444,,0.650983702,,,,,,69.40942,40268.54763,,,449.962,135.963,1781.273,0,,0,0,0,1,20,57800,125300,151200,106900,30100,26100,11100,4,,,,,,,,,,,,,,,,,,0,0,52.72
07-01-2007,2007,Q3,,,,,,,,,,,,,,,0.039149252,0.043968747,0.035184757,0.624114089,0.698679098,0.551858599,,0.651550249,,,,,,70.79608,40570.68061,,,515.505,5175,2314.566,0,,0,0,0,0,22,59800,140400,120300,76300,27200,22900,13900,4,,,,,,,,,,,,,,,,,,0,0,57.58
08-01-2007,2007,Q3,,,,,,,,,,,,,,,0.041166713,0.045388139,0.037679483,0.620114279,0.692506642,0.54995753,,0.652182943,,,,,,72.00485,41126.97139,,,476.035,3540,1516.485,0,,0,0,0,0,23,65200,126400,114900,83400,25100,20600,13100,4,,,,,,,,,,,,,,,,,,0,0,51.61
09-01-2007,2007,Q3,,,,,,,,,,,,,,,0.042115748,0.046416007,0.038531855,0.629977825,0.700747821,0.561387095,,0.65287011,,,,,,73.26618,41445.98169,,,435.932,2425.361,1795.101,0,,0,0,0,0,20,64700,156300,192200,100200,19200,17400,10000,1,,,,,,,,,,,,,,,,,,0,0,49.65
10-01-2007,2007,Q4,,,,,,,,,,,,,,,0.040970234,0.044286965,0.038215027,0.624892686,0.695483765,0.556468466,,0.653441492,,,,,,74.88731,41571.67001,,,551.813,5749.752,2423.272,0,,0,0,0,1,22,69800,143200,128100,52000,14800,16200,9900,1,,,,,,,,,,,,,,,,,,0,0,51.95
