Year,Quarter,FAI Evolution(AUD$ m),Real Estate Investment(AUD$ m),GDP (local currency)(AUD$ m),GDP per capita(AUD $),GDP per capita growth(%),GDP Growth rate(%),Gross Domestic Income (constant local currency)(0),Per capita disposable income(0),Nominal Disposable Income(AUD$m),Real Disposable income(0),Per capita Cash Income(0),Per capita Cash Expenditure(0),Per capita expenditure(0),Private Sector Expenditure(AUD$ m),Cash Consumption Expenditure(AUD$ m),Government Expenditure(AUD$ m),Total Exports(AUD$ m),Total Imports(AUD$ m),Balance of Import and Export(Ratio),Tax on beer/beverage/soft drinks(0),Retail Sales of Consumer Goods(0),Manufacturing Production Index(0),Manufacturing Import Index(0),Manufacturing Employment Index(0),Non-Manufacturing Business Index(0),Non-Manufacturing Employment Index(0),CPI(Index),Inflation %(%),Retail Price Index(0),Average Income of Migrant Labor(0),Total Import and Export(AUD$ m),Population NSW('000 ppl),Population VIC('000 ppl),Population QLD('000 ppl),Population SA('000 ppl),Population WA('000 ppl),Population TAS('000 ppl),Population NT('000 ppl),Population ACT('000 ppl),Population Australia('000 ppl),Population by Gender(% Female),Average Income($ per Week)
2007,Q1,40828,8991,318346,15347.28865,,,,,,,,,,242483,183218,59265,54815,59075,1.077715954,,,,,,,,86.6,0.025,,,113890,6815.359,5134.074,4084.531,1567.206,2093.633,492.625,212.372,340.544,20742.817,0.503013935,
2007,Q2,50684,11487,332002,15940.46598,0.038650301,0.042896722,,,,,,,,249560,188001,61592,57534,61529,1.069437202,,,,,,,,87.7,0.021,,,119063,6834.156,5153.522,4111.018,1570.619,2106.139,493.262,213.748,342.644,20827.622,0.502889192,858.5
2007,Q3,43664,9727,337137,16112.33139,0.010781705,0.015466774,,,,,,,,252798,192304,60433,58975,65673,1.113573548,,,,,,,,88.3,0.019,,,124648,6859.736,5178.515,4134.958,1574.537,2120.776,494.547,215.18,343.341,20924.16,0.502803506,
2007,Q4,51696,12034,354265,16856.82148,0.04620623,0.050804272,,,,,,,,266974,205028,61785,59353,69917,1.177985948,,,,,,,,89.1,0.029,,,129270,6883.852,5199.503,4159.99,1578.489,2135.006,495.858,216.618,344.176,21016.121,0.502773323,873.2
2008,Q1,43176,10284,328454,15530.52713,-0.078679979,-0.072857889,,,,,,,,252518,191439,61042,56697,66858,1.179215832,,,,,,,,90.3,0.043,,,123555,6919.907,5233,4191.479,1584.408,2155.552,497.552,217.912,346.477,21148.928,0.502612142,
2008,Q2,55130,12243,341599,16075.85302,0.035113161,0.040020825,,,,,,,,257259,193894,63376,60673,71359,1.176124471,,,,,,,,91.6,0.045,,,132032,6943.461,5256.375,4219.505,1588.665,2171.7,498.568,219.874,348.368,21249.199,0.502473246,885
2008,Q3,51606,12413,345081,16150.90371,0.004668535,0.010193238,,,,,,,,259083,195071,64023,60937,74786,1.227267506,,,,,,,,92.7,0.05,,,135723,6972.395,5286.549,4247.991,1593.725,2191.582,500.062,221.464,349.543,21366.049,0.502316643,
2008,Q4,63841,16176,359499,16739.86205,0.036465968,0.041781495,,,,,,,,269209,204169,64993,60542,70092,1.157741733,,,,,,,,92.4,0.037,,,130634,7001.782,5313.285,4275.551,1597.88,2208.928,501.774,222.526,351.101,21475.625,0.502238561,909.5
2009,Q1,50240,12647,334184,15470.2811,-0.075841781,-0.070417442,,,,,,,,253614,190587,63039,58060,58765,1.012142611,,,,,,,,92.5,0.024,,,116825,7032.423,5347.672,4305.605,1604.142,2228.317,503.431,223.922,353.351,21601.676,0.502145019,
2009,Q2,60716,14363,347361,16013.57905,0.035118815,0.039430374,,,,,,,,260273,195241,65053,60284,60136,0.997544954,,,,,,,,92.9,0.014,,,120420,7053.755,5371.934,4328.771,1608.902,2240.25,504.353,226.027,354.785,21691.653,0.502075891,918.6
