Year,Month,beer_volume,new_price,TEMP_MAX_C.,Population..15.45.,Population 45,Total Population,CPI,Real.Mass.Income...Million.2009.R.,GRP..30....5.....Total.Market,Industrial.Production.Index,Number.of.Tourists_LCA,Unemployment_annual,Lowend.Wine.Consumption.10.3.,Average.Temperature,CPI_annual,Unemployment_wb,Brazilian Beer Festival,Jan_flag,oktober_fest,Carnival,pop_ratio, Essential nominal basket price ,Weekend,CCI,Average Temp(Jan to Mar),Average Temp(Apr to Dec),Dummy_Temp,Dummy_T1,Temp(DA),Temp_log
2001,01-01-2001,,2.285587436,30.2106013,89277383,36931811,178419396,54.4,140634.1741,13936.03164,79.55779,599868,11.265,13894.03137,25.82,56.12,12.5369997,0,1,0,0,0.413674883,52.04,8,99.35502,25.82,0,1,0,1,1.411956238
2001,02-01-2001,,2.326919017,30.82616861,89277383,36931811,178419396,54.6,141171.5373,18132.45843,80.61709,491293,11.265,13348.79,26.11,56.12,12.5369997,0,0,0,1,0.413674883,52.39,8,99.48251,26.11,0,1,0,1,1.416806872
2001,03-01-2001,,2.317722168,29.85133162,89277383,36931811,178419396,54.8,141530.3226,11475.60794,79.41654,441257,11.265,15702.29491,26.03,56.12,12.5369997,0,0,0,0,0.413674883,52.87,9,99.36494,26.03,0,1,0,1,1.415474168
2001,04-01-2001,,2.336733553,30.51605179,89277383,36931811,178419396,55.1,137703.3292,6371.526266,79.13406,330361,11.265,15006.96379,25.76,56.12,12.5369997,0,0,0,0,0.413674883,53.63,9,99.07257,0,25.76,0,1,1,0
2001,05-01-2001,,2.341207167,28.7551468,89277383,36931811,178419396,55.4,138628.4063,6317.917443,80.16198,282365,11.265,18087.8155,24.69,56.12,12.5369997,0,0,0,0,0.413674883,54.13,8,98.63644,0,24.69,0,1,0,0
2001,06-01-2001,,2.415444709,27.60253549,89277383,36931811,178419396,55.7,142793.9365,5603.673233,78.63972,365490,11.265,21372.10529,23.18,56.12,12.5369997,0,0,0,0,0.413674883,54.56,9,98.13745,0,23.18,0,1,0,0
2001,07-01-2001,,2.441344519,29.5025058,89277383,36931811,178419396,56.4,140708.0221,7290.049142,78.28661,391006,11.265,19517.62926,24.14,56.12,12.5369997,0,0,0,0,0.413674883,55.17,9,97.97053,0,24.14,0,1,0,0
2001,08-01-2001,,2.466313134,30.45364208,89277383,36931811,178419396,56.8,140765.0349,7579.522957,78.47494,320856,11.265,16786.51793,25.09,56.12,12.5369997,0,0,0,0,0.413674883,55.75,8,97.94151,0,25.09,0,1,0,0
2001,09-01-2001,,2.477171787,31.58349008,89277383,36931811,178419396,56.9,139405.3198,9902.456717,76.8899,268272,11.265,17539.75773,25.59,56.12,12.5369997,0,0,1,0,0.413674883,56.06,10,97.90796,0,25.59,0,1,0,0
2001,10-01-2001,,2.517225422,30.39051582,89277383,36931811,178419396,57.4,139300.2838,8583.201463,75.11655,353974,11.265,21633.88134,26.24,56.12,12.5369997,0,0,1,0,0.413674883,56.63,8,97.75832,0,26.24,0,1,0,0
2001,11-01-2001,,2.56198164,29.58979907,89277383,36931811,178419396,57.8,143768.6563,9111.603068,75.55596,395854,11.265,27623.93185,26.4,56.12,12.5369997,0,0,0,0,0.413674883,57.54,8,97.7113,0,26.4,0,1,0,0
2001,12-01-2001,,2.594296067,29.14836312,89277383,36931811,178419396,58.2,170784.7696,10594.12515,74.88114,532403,11.265,20943.06102,26.02,56.12,12.5369997,0,0,0,0,0.413674883,57.9,10,97.84966,0,26.02,0,1,1,0
2002,01-01-2002,888121557.3,2.592550213,29.5420462,90543833,38330370,181045592,58.5,140642.6607,14780.46447,76.44996,475697,10.643,14267.8412,25.98,60.87,13.04300022,0,1,0,0,0.423334961,59.01,8,98.02445,25.98,0,1,0,1,1.414639147
2002,02-01-2002,793483275.3,2.625359887,26.93494889,90543833,38330370,181045592,58.7,140506.8852,20458.176,78.99503,389597,10.643,13707.93048,26.05,60.87,13.04300022,0,0,0,1,0.423334961,59.15,8,98.20293,26.05,0,1,0,1,1.415807728
2002,03-01-2002,745223928.9,2.646459737,31.22873772,90543833,38330370,181045592,59.1,141731.8117,17930.14508,78.79925,349918,10.643,16124.75489,26.26,60.87,13.04300022,0,0,0,0,0.423334961,59.56,10,98.34035,26.26,0,1,0,1,1.419294722
2002,04-01-2002,731755326.2,2.650682039,32.13183047,90543833,38330370,181045592,59.5,137882.3768,12402.74944,78.50558,261977,10.643,15410.71635,25.91,60.87,13.04300022,0,0,0,0,0.423334961,59.98,8,98.42274,0,25.91,0,1,1,0
2002,05-01-2002,715009171.4,2.660307149,30.40087165,90543833,38330370,181045592,59.7,140538.0261,18378.92609,77.72249,223916,10.643,18574.45637,25.12,60.87,13.04300022,0,0,0,0,0.423334961,59.83,8,98.36835,0,25.12,0,1,0,0
2002,06-01-2002,662029918.2,2.661474246,28.56939417,90543833,38330370,181045592,59.9,143482.0736,26536.57887,78.89714,289834,10.643,21947.10782,23.91,60.87,13.04300022,0,0,0,0,0.423334961,60.47,10,98.23212,0,23.91,0,1,0,0
2002,07-01-2002,661346418.6,2.679955465,29.8884469,90543833,38330370,181045592,60.6,142766.199,11695.20214,78.99503,310069,10.643,20042.73833,24.22,60.87,13.04300022,0,0,0,0,0.423334961,61.35,8,98.2693,0,24.22,0,1,0,0
2002,08-01-2002,637742743.7,2.699245959,32.39352087,90543833,38330370,181045592,61,143368.826,6443.049138,77.91827,254440,10.643,17238.14823,25.2,60.87,13.04300022,0,0,0,0,0.423334961,62.06,9,98.35447,0,25.2,0,1,0,0
2002,09-01-2002,670365235,2.694506798,31.91907739,90543833,38330370,181045592,61.5,141332.9573,6869.582646,79.09291,212740,10.643,18011.65346,25.56,60.87,13.04300022,0,0,1,0,0.423334961,62.45,9,98.51875,0,25.56,0,1,0,0
2002,10-01-2002,700218285.9,2.712063866,33.99420167,90543833,38330370,181045592,62.3,141563.8937,9226.094108,79.1908,280702,10.643,22215.92679,26.9,60.87,13.04300022,0,0,1,0,0.423334961,63.41,8,98.61969,0,26.9,0,1,0,0
2002,11-01-2002,737498246.7,2.835040779,32.12772052,90543833,38330370,181045592,64.1,142663.8468,10435.72187,79.9739,313914,10.643,28367.13569,26.41,60.87,13.04300022,0,0,0,0,0.423334961,65.65,9,98.75243,0,26.41,0,1,0,0
2002,12-01-2002,761605892.9,2.9001709,31.76333372,90543833,38330370,181045592,65.5,169144.2927,7165.467494,78.11404,422197,10.643,21506.5204,26.36,60.87,13.04300022,0,0,0,0,0.423334961,67.63,9,98.88548,0,26.36,0,1,1,0
2003,01-01-2003,883256203.6,2.916420416,30.59719554,91740470,39795932,183627339,67,135437.2156,13833.42418,78.21193,519433,11.081,13619.53211,26.4,69.82,13.67599964,0,1,0,0,0.433788185,69.51,8,98.95827,26.4,0,1,0,1,1.421603927
2003,02-01-2003,796222540.1,2.981655043,30.39369943,91740470,39795932,183627339,68,133111.5483,18951.13689,78.30981,425417,11.081,13085.06288,26.45,69.82,13.67599964,0,0,0,0,0.433788185,70.48,8,99.0067,26.45,0,1,0,1,1.422425676
2003,03-01-2003,808370271.6,2.996386447,30.02566882,91740470,39795932,183627339,68.9,130330.6379,15866.92834,78.4077,382090,11.081,15392.07045,26.03,69.82,13.67599964,0,0,0,1,0.433788185,71.53,10,99.09334,26.03,0,1,0,1,1.415474168
2003,04-01-2003,719336758.9,3.001788519,30.07702784,91740470,39795932,183627339,69.5,126291.752,8226.827831,78.11404,286064,11.081,14710.47674,25.64,69.82,13.67599964,0,0,0,0,0.433788185,72.92,8,99.29343,0,25.64,0,1,1,0
2003,05-01-2003,698107802.7,3.004925979,28.12038034,91740470,39795932,183627339,69.9,127736.3953,7362.809411,76.74361,244503,11.081,17730.4612,24.67,69.82,13.67599964,0,0,0,0,0.433788185,74.01,9,99.50808,0,24.67,0,1,0,0
2003,06-01-2003,652875752.8,3.035009583,27.06021416,91740470,39795932,183627339,69.8,133223.3666,8751.283822,76.93939,316482,11.081,20949.86448,24.52,69.82,13.67599964,0,0,0,0,0.433788185,73.85,9,99.61652,0,24.52,0,1,0,0
2003,07-01-2003,644756067.8,3.154959285,28.99280961,91740470,39795932,183627339,70,134177.3717,9472.234768,76.84151,338577,11.081,19132.02665,23.83,69.82,13.67599964,0,0,0,0,0.433788185,73.76,8,99.52891,0,23.83,0,1,0,0
2003,08-01-2003,629401620.8,3.197751414,29.72813922,91740470,39795932,183627339,70.2,136670.048,10792.18412,77.91827,277833,11.081,16454.87288,24.08,69.82,13.67599964,0,0,0,0,0.433788185,73.82,10,99.36917,0,24.08,0,1,0,0
2003,09-01-2003,623724476.3,3.227925072,30.65835231,91740470,39795932,183627339,70.8,136235.7178,12756.28673,80.46333,232300,11.081,17193.2312,25.4,69.82,13.67599964,0,0,1,0,0.433788185,74.62,8,99.23655,0,25.4,0,1,0,0
2003,10-01-2003,654281516.1,3.217849116,31.43765183,91740470,39795932,183627339,71,136524.8581,12860.07885,80.46333,306511,11.081,21206.46872,26.13,69.82,13.67599964,0,0,1,0,0.433788185,75.04,8,99.23739,0,26.13,0,1,0,0
2003,11-01-2003,693935410.3,3.208992503,30.61786711,91740470,39795932,183627339,71.2,143477.5556,14824.48675,82.32319,342775,11.081,27078.17601,26.13,69.82,13.67599964,0,0,0,0,0.433788185,75.3,10,99.43697,0,26.13,0,1,0,0
2003,12-01-2003,769531579.1,3.209647795,27.54925236,91740470,39795932,183627339,71.6,173597.6298,14235.35642,79.48446,461014,11.081,20529.29668,26.48,69.82,13.67599964,0,0,0,0,0.433788185,75.68,8,99.75546,0,26.48,0,1,1,0
2004,01-01-2004,906385639.1,3.183524757,26.61788671,92795835,41327723,186116363,72.1,140167.7579,18082.60791,81.54009,602508,10.636,12301.98,26.11,74.43,12.87199974,0,1,0,0,0.445361831,76.49,9,100.0101,26.11,0,1,0,1,1.416806872
