Date,Beer.Consumption.Khl,Number.Holidays,Good.Friday.Flag,Corpus.Christi.Flag,Monthly.Price.Index.18,Monthly.Price.Index,Avg.Max.Temp,Avg.Mean.Temp,Avg.Min.Temp,Avg.Precipitation.mm,Population.Total,Population.Above.15,GDP.Growth.Real.,Nominal.GDP.Billion.USD,Nominal.GDP.Per.Capita.USD,Annual_CPI,Balance.Of.Payment,PPP.Share.Of.World,Gross.National.Savings.GDP.Pct,Volume.Imports.GnS.Pct.Change,Volume.Exports.GnS.Pct.Change,General.Govt.Revenue.Billions.National.Currency,General.Govt.Tot.Expenditure.Billions.National.Currency,Ratio.Govt.Lending.Borrowing.National.currency,Current.Account.Balance.Billions.USD,Current.Account.Balance.Pct.GDP,Int.Tourism.Expenditure.Current.USD,Int.Tourism.Departures,Int.Tourism.Arrivals,Unemployment.Total.Pct,Unemployment.Total.Male.Pct,Unemployment.Total.Female.Pct,Unemployment.15to24.Total.Pct,Unemployment.15to24.Total.Male.Pct,Unemployment.15to24.Total.Female.Pct,Bol.Corruption.Perception.Index,Brz.Corruption.Perception.Index,Mean.Corruption.Index,Bol.Global.Competitiveness.Rank,Brz.Global.Competitiveness.Rank,Rank.Gap,Bol.Global.Competitiveness.Index,Brz.Global.Competitiveness.Index,Bol.Control.Of.Corruption,Bol.CPI.Pct.Change,Brz.CPI.Pct.Change,Gap.CPI.Pct.Change,Ratio.CPI.Pct.Change,mon.1.flag,mon.2.flag,mon.3.flag,mon.4.flag,mon.5.flag,mon.6.flag,mon.7.flag,mon.8.flag,mon.9.flag,mon.10.flag,mon.11.flag,mon.12.flag
01-01-2012,247.4495405,3,0,0,1.348952799,1.348952799,22.12448098,17.11417949,12.47217751,0.028099733,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,1,0,0,0,0,0,0,0,0,0,0,0
01-02-2012,331.9581073,3,0,0,1.348952799,1.348952799,21.23679445,16.48897209,12.26169045,0.013601076,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,1,0,0,0,0,0,0,0,0,0,0
01-03-2012,239.1862372,2,0,0,1.348952799,1.348952799,21.80558047,16.40163536,11.36289014,0.001073423,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,0,1,0,0,0,0,0,0,0,0,0
01-04-2012,232.0784726,3,1,0,1.348952799,1.348952799,21.78249315,15.93473699,10.11787642,0.782362896,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,0,0,1,0,0,0,0,0,0,0,0
01-05-2012,244.6121747,2,0,0,1.348952799,1.348952799,21.81898422,13.815231,5.844196286,0.36261114,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,0,0,0,1,0,0,0,0,0,0,0
01-06-2012,239.0449562,2,0,1,1.348952799,1.348952799,20.96318204,12.52617511,4.31530872,0.39668512,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,0,0,0,0,1,0,0,0,0,0,0
01-07-2012,258.7247774,0,0,0,1.348952799,1.348952799,20.7451095,12.04152602,3.436777524,0.051550264,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,0,0,0,0,0,1,0,0,0,0,0
01-08-2012,302.3403637,2,0,0,1.348952799,1.348952799,23.13910919,13.96799324,4.813209473,0.051639864,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,0,0,0,0,0,0,1,0,0,0,0
01-09-2012,317.7620007,0,0,0,1.471474843,1.471474843,25.05648371,16.62673133,8.217066286,0.080282192,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,0,0,0,0,0,0,0,1,0,0,0
01-10-2012,292.5344554,1,0,0,1.471474843,1.471474843,25.70736786,18.02105723,10.56625372,0.298364168,10238762,6776124,5.1,27.282,2664.571,136.118,7.221053187,0.060850559,25.724,8.536,25.81,70.735,67.447,3.288,1.97,7.221,5.02E+08,788000,798000,2.299999952,1.870000005,2.858999968,5.230000019,4.554999828,6.147999763,34,43,38.5,103,53,50,3.81,4.32,-0.7097,4.519,5.404,-0.885,0.83623242,0,0,0,0,0,0,0,0,0,1,0,0
