Month,Beer_Volume,GDP_per_capita_currentYuan,GDP_new_2,China_Max_Temp,range,AvgWinePrice_CNY,AvgSpritPrice_CNY,Wine_TotalVolume_millionlitres,Spirits_TotalVolume_1000litres,Output_of_SoftDrinks_CurrentPeriod_10000tons,Retail_Price_Index,Retail_Price_Indices_Fuels,AvgBeerPrice_CNY,Consumer_Price_Index,Retail_Price_Index,Consumer_Price_Index_Annual,CPI_oecd,CPI_RealAvgBeerPrice_CNY,new_cpi_bp,Inflation_index,inf_eop_cp,Retail_Price_Index_Annual,Working_Days_Total,FAI_100million_Yuan,PMI,Total_pop,Pop0_4,Pop5_9,Pop10_14,Pop15_19,Pop20_24,Pop25_29,Pop30_34,Pop35_39,Pop40_44,Pop45_49,Pop50_54,Pop55_59,Pop60_64,Pop65_69,Pop70_74,Pop75_79,Pop80,Pop_15_44,Pop_20_44,Pop_45_plus,Pop_65_plus,Pop_15_44_65_plus,Sum_of_Beijing_Olympics,Sum_of_Chinese_Grand_Prix,Sum_of_Qingdao_Beer_Festival,Sum_of_Shanghai_Intl_Beer_Festival,Sum_of_Shanghai_Rolex_Masters,Sum_of_Shanlanaya_Music_Festival,Sum_of_Jan_Flag,Sum_of_Feb_Flag,Sum_of_Mar_Flag,Sum_of_Apr_Flag,Sum_of_May_Flag,Sum_of_Jun_Flag,Sum_of_Jul_Flag,Sum_of_Aug_Flag,Sum_of_Sep_Flag,Sum_of_Oct_Flag,Sum_of_Nov_Flag,Sum_of_Dec_Flag,Chinese_New_Year,Spring_Festival_Golden_Week,Working_Days_Total,CPI_imf,DI_imf,wage_index_imf,unemp_rate_imf,Output_of_Liquor_CurrentPeriod,Output_of_SoftDrinks_CurrentPeriod,Output_of_Wine_CurrentPeriod,Urban_population,Total_Value_of_Exports_Current_Period,GDP_deflator,Retail_Price_Indices_Beverages_Tobacco_and_Liquor,Retail_Price_Indices_Food,Retail_Price_Indices_Fuels,GDP_deflator_Annual,Retail_Price_Indices_Beverages_Tobacco_and_Liquor_Annual,Retail_Price_Indices_Food_Annual,Retail_Price_Indices_Fuels_Annual,max_temp_ucm_fitted,max_tempJun17_ucm_nfitted,max_temp_ucm_nfitted,max_tempJun17_ucm_fitted
01-01-2001,96.3897084,86.70079019,8716.823,57.00377481,20.7891195,43.48449663,88.58282434,1541.6,4381777.2,107.5,89.37262288,51.81843283,5.667710343,83.67105493,89.37262288,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,15,238.0713163,55.9,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71.75750106,326.611,116.1254199,0,46.8,107.5,2.2,471.767321,16.926471,102.049203,90.75610575,63.04244531,51.81843283,102.049203,90.69245004,60.32404077,48.56565826,56.12230985,57.00377481,57.00377481,56.29022754
02-01-2001,116.0903736,86.70079019,8716.823,60.1349571,20.09383278,43.48449663,88.58282434,1541.6,4381777.2,123.3,88.51047579,51.09194562,5.667710343,83.64015046,88.51047579,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,19,453.008077,58.5,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,17,71.75750106,326.611,116.1254199,0,33.9,123.3,2.7,471.767321,19.212205,102.049203,90.66644335,62.37366858,51.09194562,102.049203,90.69245004,60.32404077,48.56565826,59.79280446,60.1349571,60.1349571,59.86379597
03-01-2001,167.4690259,86.70079019,8716.823,67.91033887,19.7092323,43.48449663,88.58282434,1541.6,4381777.2,152.3,88.34827114,51.00564221,5.667710343,83.1903675,88.34827114,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,19,803.8411742,63.2,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,71.75750106,326.611,116.1254199,0,34.3,152.3,1.7,471.767321,23.135376,102.049203,90.57826898,62.21545153,51.00564221,102.049203,90.69245004,60.32404077,48.56565826,66.81136596,67.91033887,67.91033887,66.69021124
04-01-2001,204.995296,86.70079019,8716.823,74.75283595,19.88507558,43.48449663,88.58282434,1541.6,4381777.2,150.7,88.38768452,49.94719473,5.667710343,83.47126669,88.38768452,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,19,912.8475185,64.3,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,71.14972264,322.345,99.55207167,0,33.2,150.7,1.6,471.767321,22.483264,102.049203,90.4909447,62.62901207,49.94719473,102.049203,90.69245004,60.32404077,48.56565826,75.58400821,74.75283595,74.75283595,75.6271839
05-01-2001,258.2016561,86.70079019,8716.823,83.57374644,17.93101924,43.48449663,88.58282434,1541.6,4381777.2,163.6,87.75381228,50.00039564,5.667710343,82.7902425,87.75381228,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,17,1053.561525,61.2,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,71.14972264,322.345,99.55207167,0,33,163.6,1.6,471.767321,20.737501,102.049203,90.67911,61.82449125,50.00039564,102.049203,90.69245004,60.32404077,48.56565826,82.90731984,83.57374644,83.57374644,82.938854
06-01-2001,272.9292017,86.70079019,8716.823,87.47601689,15.72875269,43.48449663,88.58282434,1541.6,4381777.2,185.6,86.48042205,49.29503099,5.667710343,82.05949475,86.48042205,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,18,1649.420285,58.7,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,71.14972264,322.345,99.55207167,0,31.4,185.6,1.6,471.767321,22.079554,102.049203,90.59407831,59.61764602,49.29503099,102.049203,90.69245004,60.32404077,48.56565826,88.21304948,87.47601689,87.47601689,88.0674987
07-01-2001,290.7888798,86.70079019,8716.823,91.1181765,15.42556444,43.48449663,88.58282434,1541.6,4381777.2,181.6,86.0075711,48.69276295,5.667710343,81.75923829,86.0075711,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,21,1316.21693,61.8,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,70.43152224,346.469,98.99216125,0,23.7,181.6,1.4,471.767321,22.880678,102.049203,90.508059,59.58618008,48.69276295,102.049203,90.69245004,60.32404077,48.56565826,91.41780614,91.1181765,91.1181765,91.38385835
08-01-2001,260.4073692,86.70079019,8716.823,89.66250941,16.56032876,43.48449663,88.58282434,1541.6,4381777.2,147.7,86.04525424,48.1333567,5.667710343,81.65278115,86.04525424,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,22,1314.484264,61.9,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,70.43152224,346.469,98.99216125,0,23.7,147.7,1.5,471.767321,23.538476,102.049203,90.5083078,60.19232668,48.1333567,102.049203,90.69245004,60.32404077,48.56565826,90.34893329,89.66250941,89.66250941,90.31430909
09-01-2001,211.513308,86.70079019,8716.823,85.86115966,18.58754585,43.48449663,88.58282434,1541.6,4381777.2,147.3,86.18343741,48.48220879,5.667710343,82.27692426,86.18343741,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,19,1706.161902,61.2,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,70.43152224,346.469,98.99216125,0,32.7,147.3,2.3,471.767321,23.801321,102.049203,90.78403352,60.49778311,48.48220879,102.049203,90.69245004,60.32404077,48.56565826,85.65461286,85.86115966,85.86115966,85.61940415
10-01-2001,151.9304515,86.70079019,8716.823,79.10110779,19.25855018,43.48449663,88.58282434,1541.6,4381777.2,111.5,86.0493159,49.69646428,5.667710343,82.26966851,86.0493159,82.31214391,82.31214391,6.885630811,6.885630811,81.503,79.184,85.58473853,16,1396.663394,59.5,1277189,78011,100614,130505,106938,95075,117199,128357,108402,85272,86410,65207,47068,40899,34723,24671,15052,12783,641243,534305,326813,87229,7.351259329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,70.6852105,344.794,103.4714446,0,31.9,111.5,2.1,471.767321,22.784032,102.049203,90.8809899,60.61053767,49.69646428,102.049203,90.69245004,60.32404077,48.56565826,79.27699604,79.10110779,79.10110779,79.24074995
