Month,Beer_Volume,Temp_max,rainfall,CPI,pop_un_15_40,tot_pop_un,real_awe,cider_price_off,unemp_rate,beer_price,GT_beer_wine_ratio,Gt_beer,GT_wine,beer_price_CPI,cider_price_off_CPI,pop
01-01-2008,2809.831745,8.1,189.6,84.1,20588418,61689620,470,1.5,5.1,3.18,0.442,19,43,0.037812128,0.01783591,0.333742014
02-01-2008,3499.108126,8.9,82.3,84.6,20588418,61689620,471,1.5,5.1,3.64,0.452,19,42,0.043026005,0.017730496,0.333742014
03-01-2008,4775.255503,8.5,122.5,84.9,20588418,61689620,473,1.5,5.2,3.36,0.476,20,42,0.039575972,0.017667845,0.333742014
04-01-2008,4049.254045,11.1,76.2,85.6,20588418,61689620,472,1.6,5.1,3.68,0.5,21,42,0.042990654,0.018691589,0.333742014
05-01-2008,4812.800031,16.8,47.9,86.1,20588418,61689620,469,1.6,5.3,3.25,0.61,25,41,0.037746806,0.018583043,0.333742014
06-01-2008,5017.174081,17.3,78.5,86.6,20588418,61689620,468,1.6,5.4,3.12,0.558,24,43,0.036027714,0.018475751,0.333742014
07-01-2008,4111.439209,19.4,108.1,86.6,20588418,61689620,468,1.6,5.7,3.54,0.581,25,43,0.040877598,0.018475751,0.333742014
08-01-2008,4226.65506,18.5,133.6,87.1,20588418,61689620,467,1.7,5.8,3.47,0.571,24,42,0.039839265,0.019517796,0.333742014
09-01-2008,4395.030409,16.1,106.3,87.5,20588418,61689620,465,1.6,5.9,3.44,0.477,21,44,0.039314286,0.018285714,0.333742014
10-01-2008,4160.95248,12.2,155.7,87.3,20588418,61689620,468,1.6,6.1,3.47,0.467,21,45,0.039747995,0.018327606,0.333742014
11-01-2008,4157.92178,8.9,106.4,87.3,20588418,61689620,468,1.6,6.3,3.22,0.382,21,55,0.036884307,0.018327606,0.333742014
12-01-2008,5507.309057,6.1,87.9,87.1,20588418,61689620,470,1.5,6.5,3.07,0.294,20,68,0.035246843,0.017221584,0.333742014
01-01-2009,2756.176692,5.7,119.8,86.6,20663160,62221164,470,1.6,6.7,3.63,0.5,20,40,0.041916859,0.018475751,0.332092148
02-01-2009,3142.149485,6.4,60.3,87.2,20663160,62221164,469,1.6,7.1,3.9,0.488,20,41,0.044724771,0.018348624,0.332092148
03-01-2009,4333.369702,9.9,79.5,87.3,20663160,62221164,469,1.6,7.3,3.61,0.538,21,39,0.041351661,0.018327606,0.332092148
04-01-2009,4428.664081,13.3,60.2,87.5,20663160,62221164,471,1.6,7.6,3.54,0.561,23,41,0.040457143,0.018285714,0.332092148
05-01-2009,4120.672215,15.3,82,87.9,20663160,62221164,470,1.7,7.7,3.34,0.6,24,40,0.037997725,0.019340159,0.332092148
06-01-2009,4646.579583,18.4,62.1,88.1,20663160,62221164,469,1.7,7.8,3.36,0.585,24,41,0.038138479,0.019296254,0.332092148
07-01-2009,4470.89533,19.2,145.6,88,20663160,62221164,467,1.7,7.8,3.45,0.61,25,41,0.039204545,0.019318182,0.332092148
08-01-2009,3912.734322,19.3,115.3,88.3,20663160,62221164,467,1.7,7.8,3.47,0.619,26,42,0.039297848,0.019252548,0.332092148
09-01-2009,4283.653911,17,64.2,88.3,20663160,62221164,467,1.7,7.8,3.43,0.512,22,43,0.038844847,0.019252548,0.332092148
10-01-2009,3884.712215,13.8,107.8,88.4,20663160,62221164,467,1.7,7.7,3.52,0.477,21,44,0.039819005,0.019230769,0.332092148
11-01-2009,3981.385031,10,215.7,88.6,20663160,62221164,466,1.6,7.7,3.23,0.404,21,52,0.036455982,0.018058691,0.332092148
12-01-2009,5487.224171,5.1,100.9,88.9,20663160,62221164,467,1.6,7.7,3.15,0.323,21,65,0.035433071,0.01799775,0.332092148
01-01-2010,2377.001368,3.6,79.7,88.8,20756739,62716684,467,1.6,7.9,3.64,0.462,18,39,0.040990991,0.018018018,0.330960403
02-01-2010,3007.132311,4.8,74.8,89,20756739,62716684,467,1.7,8,4,0.513,20,39,0.04494382,0.019101124,0.330960403
