,Estimate,Std..Error,t.value,Pr...t..,var
1,-0.591266087,0.145456277,-4.064905951,0.000110629,Beer_Volume.l1
2,2096.262405,1093.504062,1.917013825,0.058762173,cider_price_off.l1
3,-173040.0366,37370.57159,-4.630382392,1.37E-05,beer_price_CPI.l1
4,0.196491162,0.140624846,1.397272016,0.166147644,Beer_Volume.l2
5,-2042.011295,1167.625745,-1.748857718,0.084103875,cider_price_off.l2
6,253310.2725,39520.55314,6.409583177,9.06E-09,beer_price_CPI.l2
7,0.487053945,0.109379989,4.452861504,2.68E-05,Beer_Volume.l3
8,-1044.923083,1035.79837,-1.008809352,0.316070194,cider_price_off.l3
9,88186.83288,34374.75883,2.565453137,0.012148051,beer_price_CPI.l3
10,-1986.252856,3752.321166,-0.529339779,0.598017542,const
11,31.24057823,16.45167034,1.898930479,0.061134105,Temp_max
12,2.340504359,1.29546166,1.806695196,0.074523477,rainfall
