DATE_SK,Year,Month,Quarter,COUNTRY,BRAND,BRAND_FAMILY,VOLUME..KHL.
1/12/15,2015,12,Q4,USA,Bud Light,Bud Light,3234.43
1/11/15,2015,11,Q4,USA,Bud Light,Bud Light,2938.98
1/10/15,2015,10,Q4,USA,Bud Light,Bud Light,3431.94
1/9/15,2015,9,Q3,USA,Bud Light,Bud Light,3788.24
1/8/15,2015,8,Q3,USA,Bud Light,Bud Light,3882.33
1/7/15,2015,7,Q3,USA,Bud Light,Bud Light,3915.38
1/6/15,2015,6,Q2,USA,Bud Light,Bud Light,3772.78
1/5/15,2015,5,Q2,USA,Bud Light,Bud Light,3721.73
1/4/15,2015,4,Q2,USA,Bud Light,Bud Light,3582.78
1/3/15,2015,3,Q1,USA,Bud Light,Bud Light,3486.81
1/2/15,2015,2,Q1,USA,Bud Light,Bud Light,2905.34
1/1/15,2015,1,Q1,USA,Bud Light,Bud Light,3094.71
1/12/16,2016,12,Q4,USA,Bud Light,Bud Light,3048.7
1/11/16,2016,11,Q4,USA,Bud Light,Bud Light,2999.55
1/10/16,2016,10,Q4,USA,Bud Light,Bud Light,3000.15
1/9/16,2016,9,Q3,USA,Bud Light,Bud Light,3579.99
1/8/16,2016,8,Q3,USA,Bud Light,Bud Light,4139.93
1/7/16,2016,7,Q3,USA,Bud Light,Bud Light,3370.28
1/6/16,2016,6,Q2,USA,Bud Light,Bud Light,3790.11
1/5/16,2016,5,Q2,USA,Bud Light,Bud Light,3582.91
1/4/16,2016,4,Q2,USA,Bud Light,Bud Light,3411.88
1/3/16,2016,3,Q1,USA,Bud Light,Bud Light,3493.48
1/2/16,2016,2,Q1,USA,Bud Light,Bud Light,3034.87
1/1/16,2016,1,Q1,USA,Bud Light,Bud Light,2896.03
1/1/17,2017,1,Q1,USA,Bud Light,Bud Light,3015.61
1/2/17,2017,2,Q1,USA,Bud Light,Bud Light,2551.2
1/3/17,2017,3,Q1,USA,Bud Light,Bud Light,3191.12
1/4/17,2017,4,Q2,USA,Bud Light,Bud Light,3171.49
1/5/17,2017,5,Q2,USA,Bud Light,Bud Light,3604.65
1/6/17,2017,6,Q2,USA,Bud Light,Bud Light,3647.44
1/7/17,2017,7,Q3,USA,Bud Light,Bud Light,3198.08
1/8/17,2017,8,Q3,USA,Bud Light,Bud Light,3531.88
1/9/17,2017,9,Q3,USA,Bud Light,Bud Light,3245.61
