Month,Beer_Volume,Real_BV,GDP_per_capita_currentYuan,Avg_temp_min_China_Farenheit,Avg_temp_China_Farenheit,China_Max_Temp,AvgBeerPrice_CNY,AvgWinePrice_CNY,AvgSpritPrice_CNY,Wine_TotalVolume_millionlitres,Spirits_TotalVolume_1000litres,Output_of_SoftDrinks_CurrentPeriod_10000tons,Retail_Price_Index,Retail_Price_Indices_Fuels,CPI_RealAvgBeerPrice_CNY,Working_Days_Total,FAI_100million_Yuan,PMI,Total_pop,Pop0_4,Pop5_9,Pop10_14,Pop15_19,Pop20_24,Pop25_29,Pop20_29,Pop30_34,Pop35_39,Pop40_44,Pop45_49,Pop50_54,Pop55_59,Pop60_64,Pop40_64,Pop_lda,Pop65_69,Pop70_74,Pop75_79,Pop80,Sum_of_Beijing_Olympics,Sum_of_Chinese_Grand_Prix,Sum_of_Qingdao_Beer_Festival,Sum_of_Shanghai_Intl_Beer_Festival,Sum_of_Shanghai_Rolex_Masters,Sum_of_Shanlanaya_Music_Festival,Sum_of_Jan_Flag,Sum_of_Feb_Flag,Sum_of_Mar_Flag,Sum_of_Apr_Flag,Sum_of_May_Flag,Sum_of_Jun_Flag,Sum_of_Jul_Flag,Sum_of_Aug_Flag,Sum_of_Sep_Flag,Sum_of_Oct_Flag,Sum_of_Nov_Flag,Sum_of_Dec_Flag,Chinese_New_Year,Spring_Festival_Golden_Week,Working_Days_Total,CPI_imf,DI_imf,wage_index_imf,unemp_rate_imf,Output_of_Liquor_CurrentPeriod,Output_of_SoftDrinks_CurrentPeriod,Output_of_Wine_CurrentPeriod,Urban_population,Total_Value_of_Exports_Current_Period,Inflation_consumer_prices,GDP_deflator,Consumer_Price_Index,Retail_Price_Index,Retail_Price_Indices_Beverages_Tobacco_and_Liquor,Retail_Price_Indices_Food,Retail_Price_Indices_Fuels,GDP_deflator_Annual,Consumer_Price_Index_Annual,Retail_Price_Index_Annual,Retail_Price_Indices_Beverages_Tobacco_and_Liquor_Annual,Retail_Price_Indices_Food_Annual,Retail_Price_Indices_Fuels_Annual,std_pop
01-01-2001,96.3897084,9638.97084,86.70079019,36.21465531,42.21747661,57.00377481,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,107.5,89.37262288,51.81843283,6.885630811,15,238.0713163,55.9,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71.75750106,326.611,116.1254199,0,46.8,107.5,2.2,471.767321,16.926471,0.722902508,102.049203,83.67105493,89.37262288,90.75610575,63.04244531,51.81843283,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
02-01-2001,116.0903736,11609.03736,86.70079019,40.04112432,46.55511817,60.1349571,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,123.3,88.51047579,51.09194562,6.885630811,19,453.008077,58.5,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,17,71.75750106,326.611,116.1254199,0,33.9,123.3,2.7,471.767321,19.212205,0.722902508,102.049203,83.64015046,88.51047579,90.66644335,62.37366858,51.09194562,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
03-01-2001,167.4690259,16746.90259,86.70079019,48.20110657,56.52835647,67.91033887,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,152.3,88.34827114,51.00564221,6.885630811,19,803.8411742,63.2,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,71.75750106,326.611,116.1254199,0,34.3,152.3,1.7,471.767321,23.135376,0.722902508,102.049203,83.1903675,88.34827114,90.57826898,62.21545153,51.00564221,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
04-01-2001,204.995296,20499.5296,86.70079019,54.86776037,62.45673454,74.75283595,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,150.7,88.38768452,49.94719473,6.885630811,19,912.8475185,64.3,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,71.14972264,322.345,99.55207167,0,33.2,150.7,1.6,471.767321,22.483264,0.722902508,102.049203,83.47126669,88.38768452,90.4909447,62.62901207,49.94719473,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
05-01-2001,258.2016561,25820.16561,86.70079019,65.6427272,73.91021972,83.57374644,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,163.6,87.75381228,50.00039564,6.885630811,17,1053.561525,61.2,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,71.14972264,322.345,99.55207167,0,33,163.6,1.6,471.767321,20.737501,0.722902508,102.049203,82.7902425,87.75381228,90.67911,61.82449125,50.00039564,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
06-01-2001,272.9292017,27292.92017,86.70079019,71.7472642,78.78554167,87.47601689,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,185.6,86.48042205,49.29503099,6.885630811,18,1649.420285,58.7,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,71.14972264,322.345,99.55207167,0,31.4,185.6,1.6,471.767321,22.079554,0.722902508,102.049203,82.05949475,86.48042205,90.59407831,59.61764602,49.29503099,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
07-01-2001,290.7888798,29078.88798,86.70079019,75.69261206,83.0619648,91.1181765,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,181.6,86.0075711,48.69276295,6.885630811,21,1316.21693,61.8,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,70.43152224,346.469,98.99216125,0,23.7,181.6,1.4,471.767321,22.880678,0.722902508,102.049203,81.75923829,86.0075711,90.508059,59.58618008,48.69276295,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
08-01-2001,260.4073692,26040.73692,86.70079019,73.10218065,79.30139863,89.66250941,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,147.7,86.04525424,48.1333567,6.885630811,22,1314.484264,61.9,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,70.43152224,346.469,98.99216125,0,23.7,147.7,1.5,471.767321,23.538476,0.722902508,102.049203,81.65278115,86.04525424,90.5083078,60.19232668,48.1333567,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
09-01-2001,211.513308,21151.3308,86.70079019,67.27361381,73.01390736,85.86115966,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,147.3,86.18343741,48.48220879,6.885630811,19,1706.161902,61.2,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,70.43152224,346.469,98.99216125,0,32.7,147.3,2.3,471.767321,23.801321,0.722902508,102.049203,82.27692426,86.18343741,90.78403352,60.49778311,48.48220879,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
10-01-2001,151.9304515,15193.04515,86.70079019,59.84255761,65.86072396,79.10110779,5.667710343,43.48449663,88.58282434,1541.6,4381777.2,111.5,86.0493159,49.69646428,6.885630811,16,1396.663394,59.5,1277189,78011,100614,130505,106938,95075,117199,212274,128357,108402,85272,86410,65207,47068,40899,324856,773889,34723,24671,15052,12783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,70.6852105,344.794,103.4714446,0,31.9,111.5,2.1,471.767321,22.784032,0.722902508,102.049203,82.26966851,86.0493159,90.8809899,60.61053767,49.69646428,102.049203,82.31214391,85.58473853,90.69245004,60.32404077,48.56565826,-1.621855283
