Month,Beer_Volume,forecasted
01-01-2001,96.3897084,96.01200494
02-01-2001,116.0903736,116.0677081
03-01-2001,167.4690259,167.2176246
04-01-2001,204.995296,205.2064371
05-01-2001,258.2016561,256.0477839
06-01-2001,272.9292017,274.6797279
07-01-2001,290.7888798,291.5222323
08-01-2001,260.4073692,260.9987508
09-01-2001,211.513308,213.0255989
10-01-2001,151.9304515,151.3080568
11-01-2001,108.150876,107.9559714
12-01-2001,97.50048571,97.15237033
01-01-2002,105.2615606,105.5895284
02-01-2002,141.0062535,139.047596
03-01-2002,186.6366126,184.9816976
04-01-2002,216.3646839,216.4375269
05-01-2002,234.6608447,236.7250321
06-01-2002,292.5804039,292.0942278
07-01-2002,298.2322989,298.6200107
08-01-2002,262.5233328,265.5392191
09-01-2002,241.7232784,240.2609783
10-01-2002,162.6521492,162.1280961
11-01-2002,118.4646113,119.0577265
12-01-2002,107.2566384,106.5672481
01-01-2003,119.1430886,117.6486804
02-01-2003,128.5177074,128.0502089
03-01-2003,168.8984397,169.1593556
04-01-2003,219.003595,218.2730802
05-01-2003,231.578344,234.0802467
06-01-2003,302.4166269,301.8299258
07-01-2003,304.1708348,306.5951022
08-01-2003,311.2239269,309.7272398
09-01-2003,257.077349,257.1188954
10-01-2003,176.3166002,177.0905644
11-01-2003,153.1296686,152.573908
12-01-2003,133.747776,132.8156112
01-01-2004,145.0053852,144.4464964
02-01-2004,156.6929317,155.84121
03-01-2004,201.1191974,201.4279809
04-01-2004,251.2978048,250.6584806
05-01-2004,281.7826247,280.9591541
06-01-2004,308.623026,311.1481875
07-01-2004,332.8832332,333.7152421
08-01-2004,320.0572778,320.185805
09-01-2004,264.1469362,265.4560776
10-01-2004,198.3733408,197.9035118
11-01-2004,183.0178854,180.2808103
12-01-2004,140.4676732,140.0650383
01-01-2005,147.14,146.8083938
02-01-2005,139.98,142.2257222
03-01-2005,210.88,210.6655708
04-01-2005,262.9597912,262.5462414
05-01-2005,310.9791902,311.028654
06-01-2005,357.6431094,358.1673135
07-01-2005,391.0771813,389.7087487
08-01-2005,353.37,355.7045975
09-01-2005,311.8465822,309.6812886
10-01-2005,217.7916569,218.0633186
11-01-2005,180.018923,180.25445
12-01-2005,151.1919916,151.2945944
01-01-2006,162.7,163.4514512
02-01-2006,182.63,181.8081309
03-01-2006,240.2497308,240.7008176
04-01-2006,287.46,287.5998118
05-01-2006,348.82,347.2506277
06-01-2006,386.92,389.6067997
07-01-2006,419.99,419.3786236
08-01-2006,416.99,415.094469
09-01-2006,326.39,328.9793429
10-01-2006,270.7408847,268.3405527
11-01-2006,220.88,219.3894619
12-01-2006,177.5431853,179.7582361
01-01-2007,192.245585,194.0174476
02-01-2007,218.516503,216.8176546
03-01-2007,280.75073,280.7206865
04-01-2007,320.0591757,320.542688
05-01-2007,372.314673,374.6618668
06-01-2007,478.3066667,473.3624713
07-01-2007,447.1403107,450.0939708
08-01-2007,455.9403107,455.0133655
09-01-2007,381.8669773,380.2620297
10-01-2007,281.2257347,281.975145
11-01-2007,226.3933333,228.7449447
12-01-2007,235.81,232.2593456
01-01-2008,230.1993533,231.2019035
02-01-2008,212.67602,215.3270016
03-01-2008,308.16602,305.0139445
04-01-2008,323.6026867,323.5247368
05-01-2008,372.61602,375.1344697
06-01-2008,442.570077,442.7212972
07-01-2008,464.8298053,463.9098862
08-01-2008,445.0980586,445.5975599
09-01-2008,380.766827,380.7162877
10-01-2008,290.5751967,291.122491
11-01-2008,265.0262313,261.3277409
12-01-2008,219.737645,219.6322499
01-01-2009,236.9561876,238.1477374
02-01-2009,210.9322278,209.2734977
03-01-2009,244.8880339,250.1965088
04-01-2009,300.0433554,302.8167809
05-01-2009,428.7472209,422.9313859
06-01-2009,449.8076971,449.7905746
07-01-2009,477.3262368,477.3096814
08-01-2009,440.308973,442.2273652
09-01-2009,380.1585476,379.7920291
10-01-2009,298.1261234,294.6774606
11-01-2009,221.1728303,222.8024231
12-01-2009,192.525338,193.6519448
01-01-2010,258.9787481,258.4973606
02-01-2010,199.0928587,201.1544371
03-01-2010,297.5291589,296.2034379
04-01-2010,337.5600132,335.9830808
05-01-2010,392.1842994,394.9709109
06-01-2010,444.851687,447.1264616
07-01-2010,515.6980666,513.6857381
08-01-2010,501.0422673,499.095365
09-01-2010,423.7352842,420.9810202
10-01-2010,296.5849515,297.2556278
11-01-2010,238.9506747,239.8591249
12-01-2010,201.3530704,203.1644729
01-01-2011,290.2728014,288.901966
02-01-2011,208.6258693,211.2691352
03-01-2011,311.9531971,311.156628
04-01-2011,353.2119753,354.0438253
05-01-2011,437.1097751,436.3610708
06-01-2011,493.5654085,491.8694147
07-01-2011,516.8249833,517.7727231
08-01-2011,505.0329293,503.9028108
09-01-2011,405.3996648,405.0671309
10-01-2011,293.1607433,295.0509078
11-01-2011,264.569936,263.075834
12-01-2011,235.9581421,233.4219065
01-01-2012,285.5111657,289.2724724
02-01-2012,232.5259972,231.1014172
03-01-2012,288.0015889,292.6259601
04-01-2012,369.5494156,368.4768896
05-01-2012,452.9965032,450.9171906
06-01-2012,504.5663196,504.0016456
07-01-2012,542.7099284,540.6442208
08-01-2012,507.1399133,506.9985574
09-01-2012,383.455204,384.6939872
10-01-2012,289.7822594,289.7279676
11-01-2012,233.8288606,234.4727819
12-01-2012,199.4736681,201.1169436
01-01-2013,321.6585234,320.9882153
