,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
1,2015,Holt-Winters' additive method,2009,01-01-2009,1611.309904,1679.62785,0.957600989
2,2015,Holt-Winters' additive method,2009,01-02-2009,1343.166985,1383.973822,0.96961894
3,2015,Holt-Winters' additive method,2009,01-03-2009,1563.248524,1589.330672,0.983315418
4,2015,Holt-Winters' additive method,2009,01-04-2009,1542.646804,1495.657888,0.969540069
5,2015,Holt-Winters' additive method,2009,01-05-2009,1393.522857,1380.446436,0.990616285
6,2015,Holt-Winters' additive method,2009,01-06-2009,1505.522483,1408.558514,0.935594473
7,2015,Holt-Winters' additive method,2009,01-07-2009,1192.494217,1384.618711,0.838888532
8,2015,Holt-Winters' additive method,2009,01-08-2009,1333.554577,1368.313295,0.973935287
9,2015,Holt-Winters' additive method,2009,01-09-2009,1511.87638,1444.51799,0.955447157
10,2015,Holt-Winters' additive method,2009,01-10-2009,1552.030974,1558.670944,0.995721754
11,2015,Holt-Winters' additive method,2009,01-11-2009,1770.121471,1696.67379,0.958506983
12,2015,Holt-Winters' additive method,2009,01-12-2009,2142.850474,1977.565884,0.922866951
13,2015,Holt-Winters' additive method,2010,01-01-2010,1578.423817,1630.791414,0.966822854
14,2015,Holt-Winters' additive method,2010,01-02-2010,1282.251782,1336.177563,0.957944468
15,2015,Holt-Winters' additive method,2010,01-03-2010,1565.996896,1542.226751,0.984821078
16,2015,Holt-Winters' additive method,2010,01-04-2010,1406.814602,1450.178942,0.969175512
17,2015,Holt-Winters' additive method,2010,01-05-2010,1371.829516,1334.687814,0.972925424
18,2015,Holt-Winters' additive method,2010,01-06-2010,1466.819963,1363.669589,0.929677549
19,2015,Holt-Winters' additive method,2010,01-07-2010,1230.075862,1340.466133,0.910257347
20,2015,Holt-Winters' additive method,2010,01-08-2010,1316.638416,1326.233722,0.992712269
21,2015,Holt-Winters' additive method,2010,01-09-2010,1461.90817,1404.247897,0.960558211
22,2015,Holt-Winters' additive method,2010,01-10-2010,1415.710175,1519.826678,0.926456343
23,2015,Holt-Winters' additive method,2010,01-11-2010,1565.999475,1657.748963,0.941411546
24,2015,Holt-Winters' additive method,2010,01-12-2010,1872.276643,1936.648345,0.965618488
25,2015,Holt-Winters' additive method,2011,01-01-2011,1700.400237,1585.434172,0.932388821
26,2015,Holt-Winters' additive method,2011,01-02-2011,1277.937634,1291.037931,0.989748876
27,2015,Holt-Winters' additive method,2011,01-03-2011,1484.16489,1496.608802,0.991615546
28,2015,Holt-Winters' additive method,2011,01-04-2011,1577.484479,1403.137857,0.889478075
29,2015,Holt-Winters' additive method,2011,01-05-2011,1256.881635,1290.112663,0.973560734
30,2015,Holt-Winters' additive method,2011,01-06-2011,1365.863201,1318.61434,0.965407325
31,2015,Holt-Winters' additive method,2011,01-07-2011,1194.73614,1294.562496,0.916444851
32,2015,Holt-Winters' additive method,2011,01-08-2011,1408.328134,1280.1459,0.908982693
33,2015,Holt-Winters' additive method,2011,01-09-2011,1329.566484,1360.149334,0.976997878
34,2015,Holt-Winters' additive method,2011,01-10-2011,1471.344872,1475.112913,0.99743905
35,2015,Holt-Winters' additive method,2011,01-11-2011,1591.192481,1614.810942,0.985156754
36,2015,Holt-Winters' additive method,2011,01-12-2011,1946.487392,1895.782584,0.97395061
37,2015,Holt-Winters' additive method,2012,01-01-2012,1579.553659,1547.986814,0.980015339
38,2015,Holt-Winters' additive method,2012,01-02-2012,1271.618161,1254.662738,0.986666262
39,2015,Holt-Winters' additive method,2012,01-03-2012,1454.67904,1462.497533,0.994625279
40,2015,Holt-Winters' additive method,2012,01-04-2012,1383.085355,1371.138223,0.99136197
41,2015,Holt-Winters' additive method,2012,01-05-2012,1256.578116,1257.479131,0.999282961
42,2015,Holt-Winters' additive method,2012,01-06-2012,1250.914708,1287.240926,0.970960276
43,2015,Holt-Winters' additive method,2012,01-07-2012,1424.697673,1262.787791,0.886354919
44,2015,Holt-Winters' additive method,2012,01-08-2012,1209.697283,1252.994075,0.964208573
45,2015,Holt-Winters' additive method,2012,01-09-2012,1290.272206,1332.614377,0.967183537
46,2015,Holt-Winters' additive method,2012,01-10-2012,1461.46163,1448.428822,0.991082347
47,2015,Holt-Winters' additive method,2012,01-11-2012,1659.064149,1589.345675,0.957977228
48,2015,Holt-Winters' additive method,2012,01-12-2012,1762.816821,1872.940997,0.937529427
49,2015,Holt-Winters' additive method,2013,01-01-2013,1515.563794,1524.35054,0.994202325
50,2015,Holt-Winters' additive method,2013,01-02-2013,1442.783329,1230.890401,0.853136002
51,2015,Holt-Winters' additive method,2013,01-03-2013,1494.53245,1442.122277,0.964932061
52,2015,Holt-Winters' additive method,2013,01-04-2013,1198.571522,1353.552672,0.870695117
53,2015,Holt-Winters' additive method,2013,01-05-2013,1415.179078,1239.442768,0.875820444
54,2015,Holt-Winters' additive method,2013,01-06-2013,1170.703381,1273.024759,0.912598375
55,2015,Holt-Winters' additive method,2013,01-07-2013,1399.530637,1249.87993,0.893070789
56,2015,Holt-Winters' additive method,2013,01-08-2013,1199.030512,1241.694889,0.964417605
