,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
1,2015,ETS MODEL-AAA,2009,01-01-2009,1611.309904,1679.604482,0.957615492
2,2015,ETS MODEL-AAA,2009,01-02-2009,1343.166985,1383.968794,0.969622683
3,2015,ETS MODEL-AAA,2009,01-03-2009,1563.248524,1589.28287,0.983345997
4,2015,ETS MODEL-AAA,2009,01-04-2009,1542.646804,1495.584373,0.969492414
5,2015,ETS MODEL-AAA,2009,01-05-2009,1393.522857,1380.390376,0.990576056
6,2015,ETS MODEL-AAA,2009,01-06-2009,1505.522483,1408.521291,0.935569749
7,2015,ETS MODEL-AAA,2009,01-07-2009,1192.494217,1384.580413,0.838920648
8,2015,ETS MODEL-AAA,2009,01-08-2009,1333.554577,1368.231283,0.973996786
9,2015,ETS MODEL-AAA,2009,01-09-2009,1511.87638,1444.399433,0.95536874
10,2015,ETS MODEL-AAA,2009,01-10-2009,1552.030974,1558.552345,0.99579817
11,2015,ETS MODEL-AAA,2009,01-11-2009,1770.121471,1696.554985,0.958439866
12,2015,ETS MODEL-AAA,2009,01-12-2009,2142.850474,1977.458104,0.922816654
13,2015,ETS MODEL-AAA,2010,01-01-2010,1578.423817,1630.713477,0.966872231
14,2015,ETS MODEL-AAA,2010,01-02-2010,1282.251782,1336.144132,0.95797054
15,2015,ETS MODEL-AAA,2010,01-03-2010,1565.996896,1542.170609,0.984785227
16,2015,ETS MODEL-AAA,2010,01-04-2010,1406.814602,1450.133442,0.969207854
17,2015,ETS MODEL-AAA,2010,01-05-2010,1371.829516,1334.662087,0.972906671
18,2015,ETS MODEL-AAA,2010,01-06-2010,1466.819963,1363.684873,0.929687969
19,2015,ETS MODEL-AAA,2010,01-07-2010,1230.075862,1340.500128,0.910229711
20,2015,ETS MODEL-AAA,2010,01-08-2010,1316.638416,1326.26594,0.9926878
21,2015,ETS MODEL-AAA,2010,01-09-2010,1461.90817,1404.27963,0.960579918
22,2015,ETS MODEL-AAA,2010,01-10-2010,1415.710175,1519.886367,0.926414181
23,2015,ETS MODEL-AAA,2010,01-11-2010,1565.999475,1657.80785,0.941373942
24,2015,ETS MODEL-AAA,2010,01-12-2010,1872.276643,1936.682363,0.965600319
25,2015,ETS MODEL-AAA,2011,01-01-2011,1700.400237,1585.418492,0.932379599
26,2015,ETS MODEL-AAA,2011,01-02-2011,1277.937634,1291.069332,0.989724304
27,2015,ETS MODEL-AAA,2011,01-03-2011,1484.16489,1496.607086,0.991616702
28,2015,ETS MODEL-AAA,2011,01-04-2011,1577.484479,1403.119535,0.88946646
29,2015,ETS MODEL-AAA,2011,01-05-2011,1256.881635,1290.155372,0.973526754
30,2015,ETS MODEL-AAA,2011,01-06-2011,1365.863201,1318.686349,0.965460046
31,2015,ETS MODEL-AAA,2011,01-07-2011,1194.73614,1294.635066,0.916384109
32,2015,ETS MODEL-AAA,2011,01-08-2011,1408.328134,1280.209616,0.909027935
33,2015,ETS MODEL-AAA,2011,01-09-2011,1329.566484,1360.243752,0.976926864
34,2015,ETS MODEL-AAA,2011,01-10-2011,1471.344872,1475.220016,0.997366257
35,2015,ETS MODEL-AAA,2011,01-11-2011,1591.192481,1614.943691,0.985073327
36,2015,ETS MODEL-AAA,2011,01-12-2011,1946.487392,1895.921291,0.974021871
37,2015,ETS MODEL-AAA,2012,01-01-2012,1579.553659,1548.129072,0.980105401
38,2015,ETS MODEL-AAA,2012,01-02-2012,1271.618161,1254.862572,0.986823411
39,2015,ETS MODEL-AAA,2012,01-03-2012,1454.67904,1462.694115,0.994490142
40,2015,ETS MODEL-AAA,2012,01-04-2012,1383.085355,1371.343167,0.991510149
41,2015,ETS MODEL-AAA,2012,01-05-2012,1256.578116,1257.720091,0.999091202
42,2015,ETS MODEL-AAA,2012,01-06-2012,1250.914708,1287.517745,0.970738983
43,2015,ETS MODEL-AAA,2012,01-07-2012,1424.697673,1263.040963,0.886532621
44,2015,ETS MODEL-AAA,2012,01-08-2012,1209.697283,1253.301082,0.963954785
45,2015,ETS MODEL-AAA,2012,01-09-2012,1290.272206,1332.924348,0.966943299
46,2015,ETS MODEL-AAA,2012,01-10-2012,1461.46163,1448.743689,0.991297794
47,2015,ETS MODEL-AAA,2012,01-11-2012,1659.064149,1589.683301,0.958180732
48,2015,ETS MODEL-AAA,2012,01-12-2012,1762.816821,1873.304691,0.937323113
49,2015,ETS MODEL-AAA,2013,01-01-2013,1515.563794,1524.675575,0.993987861
50,2015,ETS MODEL-AAA,2013,01-02-2013,1442.783329,1231.241254,0.85337918
51,2015,ETS MODEL-AAA,2013,01-03-2013,1494.53245,1442.499594,0.965184525
52,2015,ETS MODEL-AAA,2013,01-04-2013,1198.571522,1353.955502,0.870359026
53,2015,ETS MODEL-AAA,2013,01-05-2013,1415.179078,1239.839739,0.876100953
54,2015,ETS MODEL-AAA,2013,01-06-2013,1170.703381,1273.490285,0.912200728
55,2015,ETS MODEL-AAA,2013,01-07-2013,1399.530637,1250.307892,0.893376579
56,2015,ETS MODEL-AAA,2013,01-08-2013,1199.030512,1242.167367,0.964023555
57,2015,ETS MODEL-AAA,2013,01-09-2013,1285.699875,1323.522402,0.97058215
58,2015,ETS MODEL-AAA,2013,01-10-2013,1574.435691,1441.155808,0.915347522
59,2015,ETS MODEL-AAA,2013,01-11-2013,1576.22275,1585.884989,0.993870004
60,2015,ETS MODEL-AAA,2013,01-12-2013,1897.742974,1870.942805,0.985877872
61,2015,ETS MODEL-AAA,2014,01-01-2014,1431.416965,1526.734479,0.933410379
62,2015,ETS MODEL-AAA,2014,01-02-2014,1295.234895,1235.14387,0.953606079
63,2015,ETS MODEL-AAA,2014,01-03-2014,1298.673707,1446.396297,0.886251189
64,2015,ETS MODEL-AAA,2014,01-04-2014,1500.886595,1355.767765,0.903311263
65,2015,ETS MODEL-AAA,2014,01-05-2014,1255.636159,1246.315682,0.992577088
66,2015,ETS MODEL-AAA,2014,01-06-2014,1248.203353,1279.280993,0.975102102
67,2015,ETS MODEL-AAA,2014,01-07-2014,1295.34551,1258.053313,0.971210618
68,2015,ETS MODEL-AAA,2014,01-08-2014,1273.485672,1249.352071,0.981049178
69,2015,ETS MODEL-AAA,2014,01-09-2014,1338.542127,1332.226648,0.995281823
70,2015,ETS MODEL-AAA,2014,01-10-2014,1439.808765,1451.571808,0.991830135
71,2015,ETS MODEL-AAA,2014,01-11-2014,1584.612492,1595.187233,0.993326608
72,2015,ETS MODEL-AAA,2014,01-12-2014,1810.307154,1880.346543,0.96131077
73,2015,ETS MODEL-AAA,2015,01-01-2015,1662.501069,1534.612332,0.923074494
74,2015,ETS MODEL-AAA,2015,01-02-2015,1055.452127,1246.065124,0.81940157
75,2015,ETS MODEL-AAA,2015,01-03-2015,1572.300884,1454.266928,0.924929155
76,2015,ETS MODEL-AAA,2015,01-04-2015,1261.277434,1367.177114,0.916037759
77,2015,ETS MODEL-AAA,2015,01-05-2015,1093.949577,1254.802199,0.852961575
78,2015,ETS MODEL-AAA,2015,01-06-2015,1288.687455,1284.107479,0.996446015
79,2015,ETS MODEL-AAA,2015,01-07-2015,1421.229635,1261.249462,0.887435381
80,2015,ETS MODEL-AAA,2015,01-08-2015,1318.693795,1252.662918,0.949927059
81,2015,ETS MODEL-AAA,2015,01-09-2015,1331.707548,1335.326583,0.99728241
82,2015,ETS MODEL-AAA,2015,01-10-2015,1485.756646,1453.94445,0.978588555
83,2015,ETS MODEL-AAA,2015,01-11-2015,1571.134384,1597.646123,0.983125734
84,2015,ETS MODEL-AAA,2015,01-12-2015,1965.386745,1882.254864,0.957702024
