Month,Beer_Volume,Beer.price,jf_flag,mj_flag,dec_flag,moncorrectorabs,moncorrector,moncorrectorlag,touristp,touristn,Nominal.Cider.Perry.Price,Cider.Perry.Volume,Unemployment.rate,Unemployment.Female..,Unemployment.Male..,Employment.rate,Employment.Male..,Employment.Female..,Employment.to.population.ratio.15...ILOpct...NBSpct.,Money.Supply,Currency.in.Circulation,Customs.and.import.tax,Taxes.on.goods.and.services,Total.Excise..Beer..Tobacco..etc..,Wine.Equalistaion.Tax,Global.events,Festivals,Holiday.flags,No..of.festive.days.in.the.month,No.of.working.days,Number.of.Tourists.1wk.,Number.of.Tourists.1.2.wks,Number.of.Tourists.2wks.1mth,Number.of.Tourists.1.2mths,Number.of.Tourists.2.3mths,Number.of.Tourists.3.6mths,Number.of.Tourists.6.12mths,Season..Summer..spring..autumn..winter..flags,System.Shocks...RTD.tax..CDS..GST..Sydney.LockOut.Laws.etc.,Elections,PMI,Weighted.Temp,GDP.USD,Income.10th.percentile,Income.20th.percentile,Income.30th.percentile,Income.40th.percentile,Income.50th.percentile,Income.60th.percentile,Income.70th.percentile,Income.80th.percentile,Income.90th.percentile,Government.Revenue,FDI.Investment.Utilized,Urbanization.rate,WPI,GDP.deflator,Urban.population,Urban.population...growth,Total.Population,LDA.Population,Population.Under.18,Population.in.age.bracket.18...24,Population.in.age.bracket.25...34,Population.in.age.bracket.35...44,Population.in.age.bracket.45...54,Population.in.age.bracket.55...64,Population.in.age.bracket.65...74,Population.in.age.bracket.75...84,Population.in.age.bracket.85...100,Women.Consumers,On.premise...Off.premise.Split,Total.expenditure..Tourist.,X..of.population.born.locally,Output.of.Beer,Output.of.Cider..Perry,Output.of.RTDs..High.Strength.Premixes,Output.of.Spirits,Output.of.Wine,Output.of.Soft.Drinks,Disposable.Income,FAI.Evolution,Real.Estate.Investment,GDP..local.currency.,GDP.per.capita,GDP.per.capita.growth,GDP.Growth.rate,Private.Sector.Expenditure,Cash.Consumption.Expenditure,Government.Expenditure,Total.Exports,Total.Imports,Balance.of.Import.and.Export,CPI,Inflation..,Total.Import.and.Export,Population.NSW,Population.VIC,Population.QLD,Population.SA,Population.WA,Population.TAS,Population.NT,Population.ACT,Population.Australia,Population.by.Gender,Average.Income
01-01-2009,1611.309904,4.352415,1,0,0,0,0,0,68700,35500,5.793332,2182.869629,0.053188148,0.051133485,0.054884914,0.616494178,0.683683525,0.551162566,0.655231015,92.19014,49134.55286,534.945,2495.583417,2428.511,0,1,1,1,2,20,42700,121100,140800,53100,15600,15300,20200,2,0,0,36.46,29.94005386,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,50240,12647,334184,15470.2811,-0.075841781,-0.070417442,253614,190587,63039,58060,58765,1.012142611,92.5,0.024,116825,7032.423,5347.672,4305.605,1604.142,2228.317,503.431,223.922,353.351,21601.676,0.502145019,918.6
02-01-2009,1343.166985,4.416685,1,0,0,0.166413002,-0.166413002,0,52900,25100,5.792229,1873.484619,0.059675432,0.061665157,0.058003734,0.620706441,0.685377829,0.557814064,0.655729739,93.41913,48921.56884,430.977,3326.348083,1656.011,0,0,0,0,0,20,62300,112600,109700,40700,12200,12900,12200,2,0,0,30.86,28.46674481,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,50240,12647,334184,15470.2811,-0.075841781,-0.070417442,253614,190587,63039,58060,58765,1.012142611,92.5,0.024,116825,7032.423,5347.672,4305.605,1604.142,2228.317,503.431,223.922,353.351,21601.676,0.502145019,918.6
03-01-2009,1563.248524,4.424959,0,0,0,0.163852701,0.163852701,-0.166413002,73900,31700,5.745072,1996.589478,0.060426155,0.0610908,0.059867808,0.619312309,0.683017979,0.557350376,0.655955253,93.26146,49103.80189,485.396,5249.34,2160.087,0,1,0,0,1,21,74200,129600,119900,58300,15600,18300,13400,3,0,0,33.38,26.52708519,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,50240,12647,334184,15470.2811,-0.075841781,-0.070417442,253614,190587,63039,58060,58765,1.012142611,92.5,0.024,116825,7032.423,5347.672,4305.605,1604.142,2228.317,503.431,223.922,353.351,21601.676,0.502145019,918.6
04-01-2009,1542.646804,4.433523,0,1,0,0.013178787,-0.013178787,0.163852701,81300,33700,5.773002,1800.793579,0.055733141,0.05437741,0.056866667,0.619417569,0.68336148,0.557220126,0.65577358,93.09167,48700.20473,487.287,5168.994,2055.329,0,0,1,1,3,19,66800,158900,162300,63000,18300,18300,15400,3,0,0,31.19,23.25628481,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,60716,14363,347361,16013.57905,0.035118815,0.039430374,260273,195241,65053,60284,60136,0.997544954,92.9,0.014,120420,7053.755,5371.934,4328.771,1608.902,2240.25,504.353,226.027,354.785,21691.653,0.502075891,918.6
05-01-2009,1393.522857,4.468292,0,1,0,0.096667589,-0.096667589,-0.013178787,114500,45500,5.722111,1581.963501,0.058276561,0.053662728,0.062138567,0.618177149,0.679641195,0.558388406,0.655188379,94.08617,47853.14681,483.084,4297.96,1938.653,0,0,0,0,0,21,67900,133500,138200,87400,27100,32200,13300,3,0,0,36.67,20.24158222,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,60716,14363,347361,16013.57905,0.035118815,0.039430374,260273,195241,65053,60284,60136,0.997544954,92.9,0.014,120420,7053.755,5371.934,4328.771,1608.902,2240.25,504.353,226.027,354.785,21691.653,0.502075891,918.6
06-01-2009,1505.522483,4.421563,0,0,0,0.080371574,0.080371574,-0.096667589,143600,39800,5.987177,1344.119141,0.057303873,0.053527228,0.060466114,0.61637183,0.678045449,0.556375578,0.654344418,94.94324,48087.40164,498.854,-485.299,2104.521,0,0,0,0,1,21,66300,149000,158100,110000,33600,28400,11400,4,0,0,39.16,17.49599994,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,60716,14363,347361,16013.57905,0.035118815,0.039430374,260273,195241,65053,60284,60136,0.997544954,92.9,0.014,120420,7053.755,5371.934,4328.771,1608.902,2240.25,504.353,226.027,354.785,21691.653,0.502075891,918.6
07-01-2009,1192.494217,4.412022,0,0,0,0.207920021,-0.207920021,0.080371574,117400,36500,5.862796,1437.616577,0.052733888,0.049284983,0.055605405,0.617536035,0.681300731,0.555505853,0.653490542,95.59007,48185.44444,514.831,4758.908,1875.577,0,0,0,0,0,23,68200,176600,165900,88800,28600,23800,12700,4,0,0,44.22,17.22560301,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,49343,11837,350079,16067.44933,0.003364038,0.007824713,261471,197422,64046,62445,66530,1.065417567,93.8,0.012,128975,7079.175,5398.874,4350.135,1614.593,2253.355,505.468,227.255,356.31,21788.088,0.502075125,936.8
08-01-2009,1333.554577,4.601689,0,0,0,0.118290184,0.118290184,-0.207920021,111200,34400,6.097603,1554.127075,0.055030329,0.053637004,0.056191143,0.610745955,0.674831671,0.54840372,0.652879672,95.88114,48442.10965,474.802,3471.675,2192.848,0,0,0,0,0,21,74500,158500,147300,86700,24500,22700,11700,4,0,0,48.88,19.91757061,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,49343,11837,350079,16067.44933,0.003364038,0.007824713,261471,197422,64046,62445,66530,1.065417567,93.8,0.012,128975,7079.175,5398.874,4350.135,1614.593,2253.355,505.468,227.255,356.31,21788.088,0.502075125,936.8
09-01-2009,1511.87638,4.515814,0,0,0,0.133719164,0.133719164,0.118290184,118700,27700,6.165037,1698.55896,0.056133155,0.054932691,0.057137057,0.619717915,0.683690181,0.557486389,0.652591545,95.93774,48641.2299,505.896,2168.592,1807.297,0,0,0,0,0,22,77800,195200,208800,97800,20900,18500,9200,1,0,0,52.21,21.53293933,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,49343,11837,350079,16067.44933,0.003364038,0.007824713,261471,197422,64046,62445,66530,1.065417567,93.8,0.012,128975,7079.175,5398.874,4350.135,1614.593,2253.355,505.468,227.255,356.31,21788.088,0.502075125,936.8
10-01-2009,1552.030974,4.546315,0,0,0,0.026559443,0.026559443,0.133719164,71800,27500,6.296204,1885.77002,0.053556496,0.051837005,0.054990594,0.616832192,0.681075397,0.554345618,0.652536607,95.86902,48968.42007,536.616,4860.214,1876.111,224.632,0,0,0,1,21,84000,201100,162600,54700,17100,18000,9500,1,0,0,48.34,22.47797331,926.56,368,477,586,692,804,922,1070,1269,1604,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.626,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,60197,13702,367574,16810.58893,0.046251249,0.049974434,274236,208975,65225,64031,72863,1.137933189,94.3,0.021,136894,7101.504,5419.249,4367.454,1618.578,2263.747,506.461,227.783,357.859,21865.623,0.502139866,955
