Var_names,coefficient
Unemployment.Male..,2509.425225
(Intercept),1786.486839
moncorrector,853.2152069
Women.Consumers,-326.8214531
moncorrectorlag,311.3073882
dec_flag,298.7320574
jf_flag,72.88620574
Festivals,63.03363204
mj_flag,-35.66015363
Season..Summer..spring..autumn..winter..flags,-28.3778941
Holiday.flags,22.38160572
Nominal.Cider.Perry.Price,-11.779621
Elections,-10.13293164
No..of.festive.days.in.the.month,9.949297729
moncorrectorabs,9.552273956
Global.events,5.028445214
Weighted.Temp,4.535207618
Wine.Equalistaion.Tax,0.42993651
PMI,0.183671292
Income.10th.percentile,-0.097822204
Output.of.Wine,-0.048948279
Total.Exports,-0.005610636
touristn,0.004728314
Number.of.Tourists.3.6mths,0.00171527
Number.of.Tourists.2wks.1mth,-0.000429625
