Month,Beer production,Beer price,Nominal Cider/Perry Price,Nominal Spirits Price,Cider/Perry Volume,Wine Volume,Spirits Volume,Unemployment rate,Unemployment Female PCT,Unemployment Male PCT,Employment rate,Employment Male PCT,Employment Female PCT,Employment to population ratio 15+ ,Money Supply,Currency in Circulation,Customs and import tax,Taxes on goods and services,Total Excise ,Wine Equalistaion Tax,Global events,Festivals,Holiday flags,No. of festive days in the month,No.of working days,Number of Tourists 1wk<,Number of Tourists 1-2 wks,Number of Tourists 2wks-1mth,Number of Tourists 1-2mths,Number of Tourists 2-3mths,Number of Tourists 3-6mths,Number of Tourists 6-12mths,Season ,"System Shocks - RTD tax, CDS, GST, Sydney LockOut Laws etc.",Elections,PMI,FAI Evolution,Real Estate Investment,GDP ,GDP per capita,GDP per capita growth,GDP Growth rate,Private Sector Expenditure,Cash Consumption Expenditure,Government Expenditure,Total Exports,Total Imports,Balance of Import and Export,CPI,Inflation PCT,Total Import and Export,Population NSW,Population VIC,Population QLD,Population SA,Population WA,Population TAS,Population NT,Population ACT,Population Australia,Population by Gender,Average Income,GDP USD,Income 10th percentile,Income 20th percentile,Income 30th percentile,Income 40th percentile,Income 50th percentile,Income 60th percentile,Income 70th percentile,Income 80th percentile,Income 90th percentile,Government Revenue ,FDI Investment Utilized,Urbanization rate,WPI,GDP deflator,Urban population,Urban population PCT growth,Total Population,LDA Population,Population Under 18,Population in age bracket 18 - 24,Population in age bracket 25 - 34,Population in age bracket 35 - 44,Population in age bracket 45 - 54,Population in age bracket 55 - 64,Population in age bracket 65 - 74,Population in age bracket 75 - 84,Population in age bracket 85 - 100,Women Consumers,On-premise / Off-premise Split,Total expenditure ,PCT of population born locally,Output of Beer,Output of Cider/ Perry,Output of RTDs/ High Strength Premixes,Output of Spirits,Output of Wine,Output of Soft Drinks,Disposable Income,Weighted Temp
01-01-2007,,,,,,,,0.04999959,0.052717989,0.047772537,0.61230417,0.685927096,0.541049096,0.649348434,64.31964,40151.29544,515.722,112.534,2066.167,0,1,1,1,2,21,41000,107300,120700,49000,13700,16600,21100,2,0,0,52.9,40828,8991,318346,15347.28865,,,242483,183218,59265,54815,59075,1.077715954,86.6,0.025,113890,6815.359,5134.074,4084.531,1567.206,2093.633,492.625,212.372,340.544,20742.817,0.503013935,,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,28.69964145
02-01-2007,,,,,,,,0.052301543,0.05851267,0.047164674,0.618333602,0.691762059,0.547250097,0.649604802,65.18883,39935.92288,433.89,101.946,1434.79,0,0,0,0,0,20,51600,95100,91000,40900,11300,11800,12800,2,0,0,57.88,40828,8991,318346,15347.28865,,,242483,183218,59265,54815,59075,1.077715954,86.6,0.025,113890,6815.359,5134.074,4084.531,1567.206,2093.633,492.625,212.372,340.544,20742.817,0.503013935,,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,28.86148735
03-01-2007,,,,,,,,0.047140294,0.05298206,0.042309939,0.621418822,0.694953934,0.550215026,0.649879297,66.30866,40631.7529,419.583,95.17,1926.861,0,1,0,0,1,21,69900,124100,123200,57600,13700,17800,15500,3,0,0,53.84,40828,8991,318346,15347.28865,,,242483,183218,59265,54815,59075,1.077715954,86.6,0.025,113890,6815.359,5134.074,4084.531,1567.206,2093.633,492.625,212.372,340.544,20742.817,0.503013935,,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,27.27855769
04-01-2007,,,,,,,,0.044564798,0.049647864,0.040380337,0.621322596,0.695681083,0.549305557,0.650188754,67.287,40534.29902,462.78,93.501,2154.097,0,0,1,1,3,18,60900,133500,131400,57200,17500,19200,16000,3,0,0,52.05,50684,11487,332002,15940.46598,0.038650301,0.042896722,249560,188001,61592,57534,61529,1.069437202,87.7,0.021,119063,6834.156,5153.522,4111.018,1570.619,2106.139,493.262,213.748,342.644,20827.622,0.502889192,858.5,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,23.96233844
05-01-2007,,,,,,,,0.042774755,0.046928413,0.039338914,0.623348525,0.695807701,0.553155528,0.650520357,68.11575,39882.90416,441.422,139.688,1708.503,0,0,0,0,0,23,64000,107500,118600,78500,23600,30800,16000,3,0,0,55.23,50684,11487,332002,15940.46598,0.038650301,0.042896722,249560,188001,61592,57534,61529,1.069437202,87.7,0.021,119063,6834.156,5153.522,4111.018,1570.619,2106.139,493.262,213.748,342.644,20827.622,0.502889192,858.5,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,21.72151746
06-01-2007,,,,,,,,0.042129282,0.046518053,0.038512048,0.623883646,0.697595454,0.552461444,0.650983702,69.40942,40268.54763,449.962,135.963,1781.273,0,0,0,0,1,20,57800,125300,151200,106900,30100,26100,11100,4,0,0,52.72,50684,11487,332002,15940.46598,0.038650301,0.042896722,249560,188001,61592,57534,61529,1.069437202,87.7,0.021,119063,6834.156,5153.522,4111.018,1570.619,2106.139,493.262,213.748,342.644,20827.622,0.502889192,858.5,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,16.34720082
07-01-2007,,,,,,,,0.039149252,0.043968747,0.035184757,0.624114089,0.698679098,0.551858599,0.651550249,70.79608,40570.68061,515.505,5175,2314.566,0,0,0,0,0,22,59800,140400,120300,76300,27200,22900,13900,4,0,0,57.58,43664,9727,337137,16112.33139,0.010781705,0.015466774,252798,192304,60433,58975,65673,1.113573548,88.3,0.019,124648,6859.736,5178.515,4134.958,1574.537,2120.776,494.547,215.18,343.341,20924.16,0.502803506,,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,16.71556811
08-01-2007,,,,,,,,0.041166713,0.045388139,0.037679483,0.620114279,0.692506642,0.54995753,0.652182943,72.00485,41126.97139,476.035,3540,1516.485,0,0,0,0,0,23,65200,126400,114900,83400,25100,20600,13100,4,0,0,51.61,43664,9727,337137,16112.33139,0.010781705,0.015466774,252798,192304,60433,58975,65673,1.113573548,88.3,0.019,124648,6859.736,5178.515,4134.958,1574.537,2120.776,494.547,215.18,343.341,20924.16,0.502803506,,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,19.17780916
09-01-2007,,,,,,,,0.042115748,0.046416007,0.038531855,0.629977825,0.700747821,0.561387095,0.65287011,73.26618,41445.98169,435.932,2425.361,1795.101,0,0,0,0,0,20,64700,156300,192200,100200,19200,17400,10000,1,0,0,49.65,43664,9727,337137,16112.33139,0.010781705,0.015466774,252798,192304,60433,58975,65673,1.113573548,88.3,0.019,124648,6859.736,5178.515,4134.958,1574.537,2120.776,494.547,215.18,343.341,20924.16,0.502803506,,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,20.88923627
10-01-2007,,,,,,,,0.040970234,0.044286965,0.038215027,0.624892686,0.695483765,0.556468466,0.653441492,74.88731,41571.67001,551.813,5749.752,2423.272,0,0,0,0,1,22,69800,143200,128100,52000,14800,16200,9900,1,0,0,51.95,51696,12034,354265,16856.82148,0.04620623,0.050804272,266974,205028,61785,59353,69917,1.177985948,89.1,0.029,129270,6883.852,5199.503,4159.99,1578.489,2135.006,495.858,216.618,344.176,21016.121,0.502773323,873.2,853,,,,,,,,,,286.7,528801,0.848222951,95.81754811,82.29036494,17666467,0.020229238,20827622,15928808,4898814,2051909,2888102,3059917,2882908,2309362,1440885,958589,337136,,,15.087698,0.251,1881.3,20.9191,400.9053,54.1008,484.1,3766,29282.70761,24.37654004
