Month,Beer_Volume,Beer.price_lag_3,Nominal.Cider.Perry.Price,Cider.Perry.Volume,Unemployment.rate_lag_1,Unemployment.Female.PCT_lag_3,Unemployment.Male.PCT_lag_1,Employment.rate,Employment.Male.PCT,Employment.Female.PCT_lag_1,Employment.to.population.ratio.15.,Money.Supply_inv,Currency.in.Circulation_lag_2,Customs.and.import.tax,Taxes.on.goods.and.services_lag_3,Total.Excise,Wine.Equalistaion.Tax_lag_3,Global.events_lag_1,Festivals,Holiday.flags,No..of.festive.days.in.the.month,No.of.working.days_inv,Number.of.Tourists.1wk._inv,Number.of.Tourists.1.2.wks_lag_3,Number.of.Tourists.2wks.1mth,Number.of.Tourists.1.2mths_lag_2,Number.of.Tourists.2.3mths_lag_2,Number.of.Tourists.3.6mths_lag_2,Number.of.Tourists.6.12mths_lag_1,Season_lag_1,System.Shocks...RTD.tax..CDS..GST..Sydney.LockOut.Laws.etc._lag_3,Elections_lag_3,PMI_lag_1,FAI.Evolution_lag_3,Real.Estate.Investment_lag_3,GDP_lag_1,GDP.per.capita_lag_1,GDP.per.capita.growth_SqRT,GDP.Growth.rate_SqRT,Private.Sector.Expenditure_lag_1,Cash.Consumption.Expenditure_lag_1,Government.Expenditure_lag_3,Total.Exports_inv,Total.Imports_inv,Balance.of.Import.and.Export_lag_1,CPI_inv,Inflation.PCT_lag_3,Total.Import.and.Export_inv,Population.NSW_inv,Population.VIC_inv,Population.QLD_inv,Population.SA_inv,Population.WA_inv,Population.TAS_lag_3,Population.NT_inv,Population.ACT_inv,Population.Australia_inv,Population.by.Gender_lag_3,GDP.USD_lag_1,Government.Revenue_lag_1,FDI.Investment.Utilized,Urbanization.rate_lag_1,WPI_lag_1,GDP.deflator_lag_1,Urban.population_lag_1,Urban.population.PCT.growth,Total.Population_lag_1,LDA.Population_lag_1,Population.Under.18_lag_1,Population.in.age.bracket.18...24_lag_1,Population.in.age.bracket.25...34_lag_1,Population.in.age.bracket.35...44_lag_1,Population.in.age.bracket.45...54_lag_1,Population.in.age.bracket.55...64_lag_1,Population.in.age.bracket.65...74_lag_1,Population.in.age.bracket.75...84_lag_1,Population.in.age.bracket.85...100_lag_1,On.premise...Off.premise.Split_lag_1,Total.expenditure_lag_1,PCT.of.population.born.locally_lag_1,Output.of.Beer_lag_1,Output.of.Cider..Perry_inv,Output.of.RTDs..High.Strength.Premixes_lag_1,Output.of.Spirits_lag_1,Output.of.Wine_inv,Output.of.Soft.Drinks_lag_1,Disposable.Income_lag_1,Weighted.Temp_inv
01-01-2009,1611.309904,NA,5.793332,2182.869629,NA,NA,NA,0.616494178,0.683683525,NA,0.655231015,0.010847147,NA,534.945,NA,2428.511,NA,NA,1,1,2,0.05,2.34E-05,NA,140800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72E-05,1.70E-05,NA,0.010810811,NA,8.56E-06,0.000142198,0.000186997,0.000232255,0.000623386,0.000448769,NA,0.004465841,0.002830047,4.63E-05,NA,NA,NA,528927,NA,NA,NA,NA,0.022215969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02993089,NA,NA,0.001892148,NA,NA,0.033400074
02-01-2009,1343.166985,NA,5.792229,1873.484619,0.053188148,NA,0.054884914,0.620706441,0.685377829,0.551162566,0.655729739,0.010704446,NA,430.977,NA,1656.011,NA,1,0,0,0,0.05,1.61E-05,NA,109700,NA,NA,NA,20200,2,NA,NA,36.46,NA,NA,334184,15470.2811,NA,NA,253614,190587,NA,1.72E-05,1.70E-05,1.012142611,0.010810811,NA,8.56E-06,0.000142198,0.000186997,0.000232255,0.000623386,0.000448769,NA,0.004465841,0.002830047,4.63E-05,NA,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.035128709
03-01-2009,1563.248524,NA,5.745072,1996.589478,0.059675432,NA,0.058003734,0.619312309,0.683017979,0.557814064,0.655955253,0.010722543,49134.55286,485.396,NA,2160.087,NA,0,0,0,1,0.047619048,1.35E-05,NA,119900,53100,15600,15300,12200,2,NA,NA,30.86,NA,NA,334184,15470.2811,NA,NA,253614,190587,NA,1.72E-05,1.70E-05,1.012142611,0.010810811,NA,8.56E-06,0.000142198,0.000186997,0.000232255,0.000623386,0.000448769,NA,0.004465841,0.002830047,4.63E-05,NA,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.037697319
04-01-2009,1542.646804,4.352415,5.773002,1800.793579,0.060426155,0.051133485,0.059867808,0.619417569,0.68336148,0.557350376,0.65577358,0.0107421,48921.56884,487.287,2495.583417,2055.329,0,1,1,1,3,0.052631579,1.50E-05,121100,162300,40700,12200,12900,13400,3,0,0,33.38,50240,12647,334184,15470.2811,0.187400147,0.198570829,253614,190587,63039,1.66E-05,1.66E-05,1.012142611,0.010764263,0.024,8.30E-06,0.000141768,0.000186153,0.000231012,0.000621542,0.000446379,503.431,0.00442425,0.002818608,4.61E-05,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.042999129
05-01-2009,1393.522857,4.416685,5.722111,1581.963501,0.055733141,0.061665157,0.056866667,0.618177149,0.679641195,0.557220126,0.655188379,0.010628555,49103.80189,483.084,3326.348083,1938.653,0,0,0,0,0,0.047619048,1.47E-05,112600,138200,58300,15600,18300,15400,3,0,0,31.19,50240,12647,347361,16013.57905,0.187400147,0.198570829,260273,195241,63039,1.66E-05,1.66E-05,0.997544954,0.010764263,0.024,8.30E-06,0.000141768,0.000186153,0.000231012,0.000621542,0.000446379,503.431,0.00442425,0.002818608,4.61E-05,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.049403253
06-01-2009,1505.522483,4.424959,5.987177,1344.119141,0.058276561,0.0610908,0.062138567,0.61637183,0.678045449,0.558388406,0.654344418,0.010532609,48700.20473,498.854,5249.34,2104.521,0,0,0,0,1,0.047619048,1.51E-05,129600,158100,63000,18300,18300,13300,3,0,0,36.67,50240,12647,347361,16013.57905,0.187400147,0.198570829,260273,195241,63039,1.66E-05,1.66E-05,0.997544954,0.010764263,0.024,8.30E-06,0.000141768,0.000186153,0.000231012,0.000621542,0.000446379,503.431,0.00442425,0.002818608,4.61E-05,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.057155922
07-01-2009,1192.494217,4.433523,5.862796,1437.616577,0.057303873,0.05437741,0.060466114,0.617536035,0.681300731,0.556375578,0.653490542,0.010461338,47853.14681,514.831,5168.994,1875.577,0,0,0,0,0,0.043478261,1.47E-05,158900,165900,87400,27100,32200,11400,4,0,0,39.16,60716,14363,347361,16013.57905,0.058000328,0.088457408,260273,195241,65053,1.60E-05,1.50E-05,0.997544954,0.010660981,0.014,7.75E-06,0.000141259,0.000185224,0.000229878,0.000619351,0.000443783,504.353,0.004400343,0.002806545,4.59E-05,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.05805312
08-01-2009,1333.554577,4.468292,6.097603,1554.127075,0.052733888,0.053662728,0.055605405,0.610745955,0.674831671,0.555505853,0.652879672,0.01042958,48087.40164,474.802,4297.96,2192.848,0,0,0,0,0,0.047619048,1.34E-05,133500,147300,110000,33600,28400,12700,4,0,0,44.22,60716,14363,350079,16067.44933,0.058000328,0.088457408,261471,197422,65053,1.60E-05,1.50E-05,1.065417567,0.010660981,0.014,7.75E-06,0.000141259,0.000185224,0.000229878,0.000619351,0.000443783,504.353,0.004400343,0.002806545,4.59E-05,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.050206926
09-01-2009,1511.87638,4.421563,6.165037,1698.55896,0.055030329,0.053527228,0.056191143,0.619717915,0.683690181,0.54840372,0.652591545,0.010423427,48185.44444,505.896,-485.299,1807.297,0,0,0,0,0,0.045454545,1.29E-05,149000,208800,88800,28600,23800,11700,4,0,0,48.88,60716,14363,350079,16067.44933,0.058000328,0.088457408,261471,197422,65053,1.60E-05,1.50E-05,1.065417567,0.010660981,0.014,7.75E-06,0.000141259,0.000185224,0.000229878,0.000619351,0.000443783,504.353,0.004400343,0.002806545,4.59E-05,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.046440478
10-01-2009,1552.030974,4.412022,6.296204,1885.77002,0.056133155,0.049284983,0.057137057,0.616832192,0.681075397,0.557486389,0.652536607,0.010430898,48442.10965,536.616,4758.908,1876.111,0,0,0,0,1,0.047619048,1.19E-05,176600,162600,86700,24500,22700,9200,1,0,0,52.21,49343,11837,350079,16067.44933,0.215061036,0.223549623,261471,197422,64046,1.56E-05,1.37E-05,1.065417567,0.010604454,0.012,7.30E-06,0.000140815,0.000184527,0.000228966,0.000617826,0.000441745,505.468,0.004390143,0.002794397,4.57E-05,0.502075125,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.044487997
