Month,Beer_Volume,Beer.price,Nominal.Cider.Perry.Price,Cider.Perry.Volume,Unemployment.rate,Unemployment.Female.PCT,Unemployment.Male.PCT,Employment.rate,Employment.Male.PCT,Employment.Female.PCT,Employment.to.population.ratio.15.,Money.Supply,Currency.in.Circulation,Customs.and.import.tax,Taxes.on.goods.and.services,Total.Excise,Wine.Equalistaion.Tax,Global.events,Festivals,Holiday.flags,No..of.festive.days.in.the.month,No.of.working.days,Number.of.Tourists.1wk.,Number.of.Tourists.1.2.wks,Number.of.Tourists.2wks.1mth,Number.of.Tourists.1.2mths,Number.of.Tourists.2.3mths,Number.of.Tourists.3.6mths,Number.of.Tourists.6.12mths,Season,System.Shocks...RTD.tax..CDS..GST..Sydney.LockOut.Laws.etc.,Elections,PMI,FAI.Evolution,Real.Estate.Investment,GDP,GDP.per.capita,GDP.per.capita.growth,GDP.Growth.rate,Private.Sector.Expenditure,Cash.Consumption.Expenditure,Government.Expenditure,Total.Exports,Total.Imports,Balance.of.Import.and.Export,CPI,Inflation.PCT,Total.Import.and.Export,Population.NSW,Population.VIC,Population.QLD,Population.SA,Population.WA,Population.TAS,Population.NT,Population.ACT,Population.Australia,Population.by.Gender,GDP.USD,Government.Revenue,FDI.Investment.Utilized,Urbanization.rate,WPI,GDP.deflator,Urban.population,Urban.population.PCT.growth,Total.Population,LDA.Population,Population.Under.18,Population.in.age.bracket.18...24,Population.in.age.bracket.25...34,Population.in.age.bracket.35...44,Population.in.age.bracket.45...54,Population.in.age.bracket.55...64,Population.in.age.bracket.65...74,Population.in.age.bracket.75...84,Population.in.age.bracket.85...100,On.premise...Off.premise.Split,Total.expenditure,PCT.of.population.born.locally,Output.of.Beer,Output.of.Cider..Perry,Output.of.RTDs..High.Strength.Premixes,Output.of.Spirits,Output.of.Wine,Output.of.Soft.Drinks,Disposable.Income,Weighted.Temp,Beer.price_lag_3,Nominal.Cider.Perry.Price,Cider.Perry.Volume,Unemployment.rate_lag_1,Unemployment.Female.PCT_lag_3,Unemployment.Male.PCT_lag_1,Employment.rate,Employment.Male.PCT,Employment.Female.PCT_lag_1,Employment.to.population.ratio.15.,Money.Supply_inv,Currency.in.Circulation_lag_2,Customs.and.import.tax,Taxes.on.goods.and.services_lag_3,Total.Excise,Wine.Equalistaion.Tax_lag_3,Global.events_lag_1,Festivals,Holiday.flags,No..of.festive.days.in.the.month,No.of.working.days_inv,Number.of.Tourists.1wk._inv,Number.of.Tourists.1.2.wks_lag_3,Number.of.Tourists.2wks.1mth,Number.of.Tourists.1.2mths_lag_2,Number.of.Tourists.2.3mths_lag_2,Number.of.Tourists.3.6mths_lag_2,Number.of.Tourists.6.12mths_lag_1,Season_lag_1,System.Shocks...RTD.tax..CDS..GST..Sydney.LockOut.Laws.etc._lag_3,Elections_lag_3,PMI_lag_1,FAI.Evolution_lag_3,Real.Estate.Investment_lag_3,GDP_lag_1,GDP.per.capita_lag_1,GDP.per.capita.growth_SqRT,GDP.Growth.rate_SqRT,Private.Sector.Expenditure_lag_1,Cash.Consumption.Expenditure_lag_1,Government.Expenditure_lag_3,Total.Exports_inv,Total.Imports_inv,Balance.of.Import.and.Export_lag_1,CPI_inv,Inflation.PCT_lag_3,Total.Import.and.Export_inv,Population.NSW_inv,Population.VIC_inv,Population.QLD_inv,Population.SA_inv,Population.WA_inv,Population.TAS_lag_3,Population.NT_inv,Population.ACT_inv,Population.Australia_inv,Population.by.Gender_lag_3,GDP.USD_lag_1,Government.Revenue_lag_1,FDI.Investment.Utilized,Urbanization.rate_lag_1,WPI_lag_1,GDP.deflator_lag_1,Urban.population_lag_1,Urban.population.PCT.growth,Total.Population_lag_1,LDA.Population_lag_1,Population.Under.18_lag_1,Population.in.age.bracket.18...24_lag_1,Population.in.age.bracket.25...34_lag_1,Population.in.age.bracket.35...44_lag_1,Population.in.age.bracket.45...54_lag_1,Population.in.age.bracket.55...64_lag_1,Population.in.age.bracket.65...74_lag_1,Population.in.age.bracket.75...84_lag_1,Population.in.age.bracket.85...100_lag_1,On.premise...Off.premise.Split_lag_1,Total.expenditure_lag_1,PCT.of.population.born.locally_lag_1,Output.of.Beer_lag_1,Output.of.Cider..Perry_inv,Output.of.RTDs..High.Strength.Premixes_lag_1,Output.of.Spirits_lag_1,Output.of.Wine_inv,Output.of.Soft.Drinks_lag_1,Disposable.Income_lag_1,Weighted.Temp_inv
01-01-2009,1611.309904,4.352415,5.793332,2182.869629,0.053188148,0.051133485,0.054884914,0.616494178,0.683683525,0.551162566,0.655231015,92.19014,49134.55286,534.945,2495.583417,2428.511,0,1,1,1,2,20,42700,121100,140800,53100,15600,15300,20200,2,0,0,36.46,50240,12647,334184,15470.2811,-0.075841781,-0.070417442,253614,190587,63039,58060,58765,1.012142611,92.5,0.024,116825,7032.423,5347.672,4305.605,1604.142,2228.317,503.431,223.922,353.351,21601.676,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,29.94005386,NA,5.793332,2182.869629,NA,NA,NA,0.616494178,0.683683525,NA,0.655231015,0.010847147,NA,534.945,NA,2428.511,NA,NA,1,1,2,0.05,2.34E-05,NA,140800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72E-05,1.70E-05,NA,0.010810811,NA,8.56E-06,0.000142198,0.000186997,0.000232255,0.000623386,0.000448769,NA,0.004465841,0.002830047,4.63E-05,NA,NA,NA,528927,NA,NA,NA,NA,0.022215969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02993089,NA,NA,0.001892148,NA,NA,0.033400074
02-01-2009,1343.166985,4.416685,5.792229,1873.484619,0.059675432,0.061665157,0.058003734,0.620706441,0.685377829,0.557814064,0.655729739,93.41913,48921.56884,430.977,3326.348083,1656.011,0,0,0,0,0,20,62300,112600,109700,40700,12200,12900,12200,2,0,0,30.86,50240,12647,334184,15470.2811,-0.075841781,-0.070417442,253614,190587,63039,58060,58765,1.012142611,92.5,0.024,116825,7032.423,5347.672,4305.605,1604.142,2228.317,503.431,223.922,353.351,21601.676,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,28.46674481,NA,5.792229,1873.484619,0.053188148,NA,0.054884914,0.620706441,0.685377829,0.551162566,0.655729739,0.010704446,NA,430.977,NA,1656.011,NA,1,0,0,0,0.05,1.61E-05,NA,109700,NA,NA,NA,20200,2,NA,NA,36.46,NA,NA,334184,15470.2811,NA,NA,253614,190587,NA,1.72E-05,1.70E-05,1.012142611,0.010810811,NA,8.56E-06,0.000142198,0.000186997,0.000232255,0.000623386,0.000448769,NA,0.004465841,0.002830047,4.63E-05,NA,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.035128709
03-01-2009,1563.248524,4.424959,5.745072,1996.589478,0.060426155,0.0610908,0.059867808,0.619312309,0.683017979,0.557350376,0.655955253,93.26146,49103.80189,485.396,5249.34,2160.087,0,1,0,0,1,21,74200,129600,119900,58300,15600,18300,13400,3,0,0,33.38,50240,12647,334184,15470.2811,-0.075841781,-0.070417442,253614,190587,63039,58060,58765,1.012142611,92.5,0.024,116825,7032.423,5347.672,4305.605,1604.142,2228.317,503.431,223.922,353.351,21601.676,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,26.52708519,NA,5.745072,1996.589478,0.059675432,NA,0.058003734,0.619312309,0.683017979,0.557814064,0.655955253,0.010722543,49134.55286,485.396,NA,2160.087,NA,0,0,0,1,0.047619048,1.35E-05,NA,119900,53100,15600,15300,12200,2,NA,NA,30.86,NA,NA,334184,15470.2811,NA,NA,253614,190587,NA,1.72E-05,1.70E-05,1.012142611,0.010810811,NA,8.56E-06,0.000142198,0.000186997,0.000232255,0.000623386,0.000448769,NA,0.004465841,0.002830047,4.63E-05,NA,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.037697319
04-01-2009,1542.646804,4.433523,5.773002,1800.793579,0.055733141,0.05437741,0.056866667,0.619417569,0.68336148,0.557220126,0.65577358,93.09167,48700.20473,487.287,5168.994,2055.329,0,0,1,1,3,19,66800,158900,162300,63000,18300,18300,15400,3,0,0,31.19,60716,14363,347361,16013.57905,0.035118815,0.039430374,260273,195241,65053,60284,60136,0.997544954,92.9,0.014,120420,7053.755,5371.934,4328.771,1608.902,2240.25,504.353,226.027,354.785,21691.653,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,23.25628481,4.352415,5.773002,1800.793579,0.060426155,0.051133485,0.059867808,0.619417569,0.68336148,0.557350376,0.65577358,0.0107421,48921.56884,487.287,2495.583417,2055.329,0,1,1,1,3,0.052631579,1.50E-05,121100,162300,40700,12200,12900,13400,3,0,0,33.38,50240,12647,334184,15470.2811,0.187400147,0.198570829,253614,190587,63039,1.66E-05,1.66E-05,1.012142611,0.010764263,0.024,8.30E-06,0.000141768,0.000186153,0.000231012,0.000621542,0.000446379,503.431,0.00442425,0.002818608,4.61E-05,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.042999129
05-01-2009,1393.522857,4.468292,5.722111,1581.963501,0.058276561,0.053662728,0.062138567,0.618177149,0.679641195,0.558388406,0.655188379,94.08617,47853.14681,483.084,4297.96,1938.653,0,0,0,0,0,21,67900,133500,138200,87400,27100,32200,13300,3,0,0,36.67,60716,14363,347361,16013.57905,0.035118815,0.039430374,260273,195241,65053,60284,60136,0.997544954,92.9,0.014,120420,7053.755,5371.934,4328.771,1608.902,2240.25,504.353,226.027,354.785,21691.653,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,20.24158222,4.416685,5.722111,1581.963501,0.055733141,0.061665157,0.056866667,0.618177149,0.679641195,0.557220126,0.655188379,0.010628555,49103.80189,483.084,3326.348083,1938.653,0,0,0,0,0,0.047619048,1.47E-05,112600,138200,58300,15600,18300,15400,3,0,0,31.19,50240,12647,347361,16013.57905,0.187400147,0.198570829,260273,195241,63039,1.66E-05,1.66E-05,0.997544954,0.010764263,0.024,8.30E-06,0.000141768,0.000186153,0.000231012,0.000621542,0.000446379,503.431,0.00442425,0.002818608,4.61E-05,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.049403253
06-01-2009,1505.522483,4.421563,5.987177,1344.119141,0.057303873,0.053527228,0.060466114,0.61637183,0.678045449,0.556375578,0.654344418,94.94324,48087.40164,498.854,-485.299,2104.521,0,0,0,0,1,21,66300,149000,158100,110000,33600,28400,11400,4,0,0,39.16,60716,14363,347361,16013.57905,0.035118815,0.039430374,260273,195241,65053,60284,60136,0.997544954,92.9,0.014,120420,7053.755,5371.934,4328.771,1608.902,2240.25,504.353,226.027,354.785,21691.653,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,17.49599994,4.424959,5.987177,1344.119141,0.058276561,0.0610908,0.062138567,0.61637183,0.678045449,0.558388406,0.654344418,0.010532609,48700.20473,498.854,5249.34,2104.521,0,0,0,0,1,0.047619048,1.51E-05,129600,158100,63000,18300,18300,13300,3,0,0,36.67,50240,12647,347361,16013.57905,0.187400147,0.198570829,260273,195241,63039,1.66E-05,1.66E-05,0.997544954,0.010764263,0.024,8.30E-06,0.000141768,0.000186153,0.000231012,0.000621542,0.000446379,503.431,0.00442425,0.002818608,4.61E-05,0.502145019,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.057155922
07-01-2009,1192.494217,4.412022,5.862796,1437.616577,0.052733888,0.049284983,0.055605405,0.617536035,0.681300731,0.555505853,0.653490542,95.59007,48185.44444,514.831,4758.908,1875.577,0,0,0,0,0,23,68200,176600,165900,88800,28600,23800,12700,4,0,0,44.22,49343,11837,350079,16067.44933,0.003364038,0.007824713,261471,197422,64046,62445,66530,1.065417567,93.8,0.012,128975,7079.175,5398.874,4350.135,1614.593,2253.355,505.468,227.255,356.31,21788.088,0.502075125,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,17.22560301,4.433523,5.862796,1437.616577,0.057303873,0.05437741,0.060466114,0.617536035,0.681300731,0.556375578,0.653490542,0.010461338,47853.14681,514.831,5168.994,1875.577,0,0,0,0,0,0.043478261,1.47E-05,158900,165900,87400,27100,32200,11400,4,0,0,39.16,60716,14363,347361,16013.57905,0.058000328,0.088457408,260273,195241,65053,1.60E-05,1.50E-05,0.997544954,0.010660981,0.014,7.75E-06,0.000141259,0.000185224,0.000229878,0.000619351,0.000443783,504.353,0.004400343,0.002806545,4.59E-05,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.05805312
08-01-2009,1333.554577,4.601689,6.097603,1554.127075,0.055030329,0.053637004,0.056191143,0.610745955,0.674831671,0.54840372,0.652879672,95.88114,48442.10965,474.802,3471.675,2192.848,0,0,0,0,0,21,74500,158500,147300,86700,24500,22700,11700,4,0,0,48.88,49343,11837,350079,16067.44933,0.003364038,0.007824713,261471,197422,64046,62445,66530,1.065417567,93.8,0.012,128975,7079.175,5398.874,4350.135,1614.593,2253.355,505.468,227.255,356.31,21788.088,0.502075125,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,19.91757061,4.468292,6.097603,1554.127075,0.052733888,0.053662728,0.055605405,0.610745955,0.674831671,0.555505853,0.652879672,0.01042958,48087.40164,474.802,4297.96,2192.848,0,0,0,0,0,0.047619048,1.34E-05,133500,147300,110000,33600,28400,12700,4,0,0,44.22,60716,14363,350079,16067.44933,0.058000328,0.088457408,261471,197422,65053,1.60E-05,1.50E-05,1.065417567,0.010660981,0.014,7.75E-06,0.000141259,0.000185224,0.000229878,0.000619351,0.000443783,504.353,0.004400343,0.002806545,4.59E-05,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.050206926
09-01-2009,1511.87638,4.515814,6.165037,1698.55896,0.056133155,0.054932691,0.057137057,0.619717915,0.683690181,0.557486389,0.652591545,95.93774,48641.2299,505.896,2168.592,1807.297,0,0,0,0,0,22,77800,195200,208800,97800,20900,18500,9200,1,0,0,52.21,49343,11837,350079,16067.44933,0.003364038,0.007824713,261471,197422,64046,62445,66530,1.065417567,93.8,0.012,128975,7079.175,5398.874,4350.135,1614.593,2253.355,505.468,227.255,356.31,21788.088,0.502075125,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,21.53293933,4.421563,6.165037,1698.55896,0.055030329,0.053527228,0.056191143,0.619717915,0.683690181,0.54840372,0.652591545,0.010423427,48185.44444,505.896,-485.299,1807.297,0,0,0,0,0,0.045454545,1.29E-05,149000,208800,88800,28600,23800,11700,4,0,0,48.88,60716,14363,350079,16067.44933,0.058000328,0.088457408,261471,197422,65053,1.60E-05,1.50E-05,1.065417567,0.010660981,0.014,7.75E-06,0.000141259,0.000185224,0.000229878,0.000619351,0.000443783,504.353,0.004400343,0.002806545,4.59E-05,0.502075891,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.046440478
10-01-2009,1552.030974,4.546315,6.296204,1885.77002,0.053556496,0.051837005,0.054990594,0.616832192,0.681075397,0.554345618,0.652536607,95.86902,48968.42007,536.616,4860.214,1876.111,224.632,0,0,0,1,21,84000,201100,162600,54700,17100,18000,9500,1,0,0,48.34,60197,13702,367574,16810.58893,0.046251249,0.049974434,274236,208975,65225,64031,72863,1.137933189,94.3,0.021,136894,7101.504,5419.249,4367.454,1618.578,2263.747,506.461,227.783,357.859,21865.623,0.502139866,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,33.4103,292.8306,58.5716,528.5,3832.6,30651.2511,22.47797331,4.412022,6.296204,1885.77002,0.056133155,0.049284983,0.057137057,0.616832192,0.681075397,0.557486389,0.652536607,0.010430898,48442.10965,536.616,4758.908,1876.111,0,0,0,0,1,0.047619048,1.19E-05,176600,162600,86700,24500,22700,9200,1,0,0,52.21,49343,11837,350079,16067.44933,0.215061036,0.223549623,261471,197422,64046,1.56E-05,1.37E-05,1.065417567,0.010604454,0.012,7.30E-06,0.000140815,0.000184527,0.000228966,0.000617826,0.000441745,505.468,0.004390143,0.002794397,4.57E-05,0.502075125,926.56,309.79,528927,0.850740974,98.12092741,90.2622604,18453978,0.022215969,21691653,16677226,5014427,2187427,3053686,3116343,2984512,2444692,1546161,976176,368229,0.794108752,16.537881,0.264,1929.2,0.02993089,292.8306,58.5716,0.001892148,3832.6,30651.2511,0.044487997
