Month,Year,Max_Temp_wt,Mean_Temp_wt,Min_Temp_wt,Preci_wt,HighPrecDays_wt,MedPrecDays_wt,LowPrecDays_wt
1,2015,10.73056187,7.685178851,4.789228174,0.404947466,0.123265574,0.123265574,0.123265574
1,2016,9.104896086,6.987350052,5.035168368,1.557346293,0.495070381,0.495070381,0.495070381
1,2017,11.2926226,8.687685401,6.192268318,0.395712388,0,0,0
2,2015,11.50069296,8.653790742,5.955720409,0.709291253,0.300699724,0.300699724,0.300699724
2,2016,11.0543499,7.892470476,4.819954653,0.576485149,0,0,0
2,2017,11.75975051,8.684907421,5.669490315,0.806505695,0.123265574,0.123265574,0.123265574
3,2015,13.66699034,10.8884312,8.223195657,0.86416858,0.275623521,0.275623521,0.275623521
3,2016,13.28754841,10.3379407,7.547403757,2.182251942,1.102238286,1.102238286,1.102238286
3,2017,13.08690237,10.46794999,7.910272735,1.545788014,0.333404027,0.333404027,0.333404027
4,2015,17.11384767,13.91161167,10.74049231,1.231810176,0.404764908,0.404764908,0.404764908
4,2016,17.10087066,14.46582309,11.92405405,3.482141794,1.844791495,1.844791495,1.844791495
4,2017,17.4726448,14.19318103,10.99872412,2.069490014,1.161334399,1.161334399,1.161334399
5,2015,19.37622034,16.7517579,14.16709275,3.13900797,1.36052106,1.36052106,1.36052106
5,2016,19.37683989,16.6474372,13.9793848,1.670481031,0.608335843,0.608335843,0.608335843
5,2017,19.92555695,16.89347571,13.92419582,2.00880235,1.146017959,1.146017959,1.146017959
6,2015,21.63101902,18.97917159,16.41262205,3.082905917,1.84146703,1.84146703,1.84146703
6,2016,21.60085329,18.90152046,16.3065971,4.617211105,1.772929517,1.772929517,1.772929517
6,2017,20.59967019,18.24030666,15.92662879,4.071632918,1.920370134,1.920370134,1.920370134
7,2015,21.62970742,19.16630323,16.77973497,2.881250897,1.547218053,1.547218053,1.547218053
7,2016,22.94397393,20.29426625,17.81589984,3.945754112,1.91513891,1.91513891,1.91513891
7,2017,23.19752158,20.46463983,17.82633717,2.506199623,1.353651407,1.353651407,1.353651407
8,2015,22.05426215,19.4465654,16.92775048,3.690493317,1.360932103,1.360932103,1.360932103
8,2016,22.68990737,20.02355671,17.46360454,2.543726917,1.008219557,1.008219557,1.008219557
8,2017,22.35059144,19.97941248,17.85894639,7.650318244,0.536473865,0.536473865,0.536473865
9,2015,20.17775997,17.6881802,15.20754103,2.594195571,0.897723252,0.897723252,0.897723252
9,2016,20.86672483,18.22565715,15.54608415,4.86608387,2.556983067,2.556983067,2.556983067
10,2015,18.24802512,15.40011152,12.64064278,1.572804663,0.830742468,0.830742468,0.830742468
10,2016,17.81352522,15.69683532,13.65871308,2.484455714,1.165462875,1.165462875,1.165462875
11,2015,14.51895681,12.3105573,10.13108789,1.246224625,0.36381278,0.36381278,0.36381278
11,2016,14.40657895,11.90677545,9.458367527,1.541231916,0.487078354,0.487078354,0.487078354
12,2015,10.95512835,8.740057287,6.611160162,1.315475611,0.58194326,0.58194326,0.58194326
12,2016,12.46350089,9.543432759,6.794581044,0.49771377,0.123265574,0.123265574,0.123265574
