,Based_On,Trained_Year,Year,Actual_value,Predicted_value,Accuracy,PE,Actual_mkt_growth,Predicted_mkt_growth
1,Lowest AIC,2013,2009,18462.34565,18459.96254,0.999870921,-0.000129079,NA,NA
13,Lowest AIC,2013,2010,17534.74532,17998.68021,0.973541966,0.026458034,-0.050242821,-0.025114113
25,Lowest AIC,2013,2011,17604.38758,16952.34061,0.962961111,-0.037038889,0.003971672,-0.033214323
37,Lowest AIC,2013,2012,17004.4388,17028.41761,0.99858985,0.00141015,-0.034079503,-0.03271741
49,Lowest AIC,2013,2013,17169.99599,16645.43526,0.969448989,-0.030551011,0.009736116,-0.021112343
61,Lowest AIC,2013,2014,16772.15339,16918.15025,0.991295283,0.008704717,-0.023170803,-0.014667781
73,Lowest AIC,2013,2015,17028.0773,16774.752,0.985123083,-0.014876917,0.015258858,0.000154936
85,Lowest AIC,2013,2016,16813.80862,16618.17513,0.988364713,-0.011635287,-0.012583257,-0.024072135
5,Lowest AIC,2014,2009,18462.34565,18459.96254,0.999870921,-0.000129079,NA,NA
17,Lowest AIC,2014,2010,17534.74532,17970.21203,0.975165495,0.024834505,-0.050242821,-0.026656072
29,Lowest AIC,2014,2011,17604.38758,17064.64609,0.969340513,-0.030659487,0.003971672,-0.026809584
41,Lowest AIC,2014,2012,17004.4388,16971.83433,0.998082591,-0.001917409,-0.034079503,-0.035931568
53,Lowest AIC,2014,2013,17169.99599,16591.46365,0.966305622,-0.033694378,0.009736116,-0.024286315
65,Lowest AIC,2014,2014,16772.15339,16697.68363,0.995559916,-0.004440084,-0.023170803,-0.027508007
77,Lowest AIC,2014,2015,17028.0773,16600.67459,0.974900119,-0.025099881,0.015258858,-0.010224018
89,Lowest AIC,2014,2016,16813.80862,16354.76658,0.972698509,-0.027301491,-0.012583257,-0.039541206
9,Lowest AIC,2015,2009,18462.34565,18459.96254,0.999870921,-0.000129079,NA,NA
21,Lowest AIC,2015,2010,17534.74532,17968.33516,0.975272533,0.024727467,-0.050242821,-0.026757732
33,Lowest AIC,2015,2011,17604.38758,17076.41824,0.970009218,-0.029990782,0.003971672,-0.026138223
45,Lowest AIC,2015,2012,17004.4388,16988.73787,0.999076657,-0.000923343,-0.034079503,-0.034971379
57,Lowest AIC,2015,2013,17169.99599,16635.3758,0.968863115,-0.031136885,0.009736116,-0.021703921
69,Lowest AIC,2015,2014,16772.15339,16738.33967,0.997983937,-0.002016063,-0.023170803,-0.025140153
81,Lowest AIC,2015,2015,17028.0773,16539.41798,0.97130273,-0.02869727,0.015258858,-0.013876299
93,Lowest AIC,2015,2016,16813.80862,16851.5888,0.997753027,0.002246973,-0.012583257,-0.010364558
2,Lowest OutSample Mape,2013,2009,18462.34565,18459.96254,0.999870921,-0.000129079,NA,NA
14,Lowest OutSample Mape,2013,2010,17534.74532,17985.61949,0.974286814,0.025713186,-0.050242821,-0.025821538
26,Lowest OutSample Mape,2013,2011,17604.38758,16952.33742,0.962960929,-0.037039071,0.003971672,-0.033214506
38,Lowest OutSample Mape,2013,2012,17004.4388,16904.60949,0.99412922,-0.00587078,-0.034079503,-0.039750209
50,Lowest OutSample Mape,2013,2013,17169.99599,16819.33093,0.97957687,-0.02042313,0.009736116,-0.010885856
62,Lowest OutSample Mape,2013,2014,16772.15339,16802.94706,0.998164001,0.001835999,-0.023170803,-0.021377345
74,Lowest OutSample Mape,2013,2015,17028.0773,16840.43729,0.988980552,-0.011019448,0.015258858,0.004071266
86,Lowest OutSample Mape,2013,2016,16813.80862,16557.37506,0.984748634,-0.015251366,-0.012583257,-0.027642712
6,Lowest OutSample Mape,2014,2009,18462.34565,18459.96254,0.999870921,-0.000129079,NA,NA
18,Lowest OutSample Mape,2014,2010,17534.74532,17969.33867,0.975215303,0.024784697,-0.050242821,-0.026703377
30,Lowest OutSample Mape,2014,2011,17604.38758,17046.52607,0.968311223,-0.031688777,0.003971672,-0.027842962
42,Lowest OutSample Mape,2014,2012,17004.4388,16958.91303,0.997322712,-0.002677288,-0.034079503,-0.03666555
54,Lowest OutSample Mape,2014,2013,17169.99599,16575.00738,0.96534719,-0.03465281,0.009736116,-0.025254078
66,Lowest OutSample Mape,2014,2014,16772.15339,16725.13249,0.99719649,-0.00280351,-0.023170803,-0.025909354
