,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
1,2015,Lowest AIC,2009,01-01-2009,1611.309904,1610.379614,0.99942265
2,2015,Lowest AIC,2009,01-02-2009,1343.166985,1342.958649,0.999844892
3,2015,Lowest AIC,2009,01-03-2009,1563.248524,1562.926133,0.999793769
4,2015,Lowest AIC,2009,01-04-2009,1542.646804,1542.424677,0.999856009
5,2015,Lowest AIC,2009,01-05-2009,1393.522857,1393.480549,0.999969639
6,2015,Lowest AIC,2009,01-06-2009,1505.522483,1505.384256,0.999908187
7,2015,Lowest AIC,2009,01-07-2009,1192.494217,1192.667259,0.99985489
8,2015,Lowest AIC,2009,01-08-2009,1333.554577,1333.573395,0.999985889
9,2015,Lowest AIC,2009,01-09-2009,1511.87638,1511.724425,0.999899493
10,2015,Lowest AIC,2009,01-10-2009,1552.030974,1551.85606,0.9998873
11,2015,Lowest AIC,2009,01-11-2009,1770.121471,1769.7541,0.99979246
12,2015,Lowest AIC,2009,01-12-2009,2142.850474,2142.833424,0.999992043
13,2015,Lowest AIC,2010,01-01-2010,1578.423817,1584.242289,0.996313746
14,2015,Lowest AIC,2010,01-02-2010,1282.251782,1295.953223,0.989314547
15,2015,Lowest AIC,2010,01-03-2010,1565.996896,1536.956432,0.981455606
16,2015,Lowest AIC,2010,01-04-2010,1406.814602,1472.53629,0.953283334
17,2015,Lowest AIC,2010,01-05-2010,1371.829516,1369.743228,0.998479193
18,2015,Lowest AIC,2010,01-06-2010,1466.819963,1455.556222,0.992320979
19,2015,Lowest AIC,2010,01-07-2010,1230.075862,1154.694698,0.93871828
20,2015,Lowest AIC,2010,01-08-2010,1316.638416,1267.7251,0.962849849
21,2015,Lowest AIC,2010,01-09-2010,1461.90817,1455.051168,0.995309554
22,2015,Lowest AIC,2010,01-10-2010,1415.710175,1499.049118,0.941132765
23,2015,Lowest AIC,2010,01-11-2010,1565.999475,1738.081979,0.890113307
24,2015,Lowest AIC,2010,01-12-2010,1872.276643,2138.745408,0.857676607
25,2015,Lowest AIC,2011,01-01-2011,1700.400237,1609.272289,0.946407942
26,2015,Lowest AIC,2011,01-02-2011,1277.937634,1184.35424,0.926769984
27,2015,Lowest AIC,2011,01-03-2011,1484.16489,1444.683641,0.973398341
28,2015,Lowest AIC,2011,01-04-2011,1577.484479,1387.090046,0.879305035
29,2015,Lowest AIC,2011,01-05-2011,1256.881635,1239.530727,0.986195273
30,2015,Lowest AIC,2011,01-06-2011,1365.863201,1415.466321,0.963683684
31,2015,Lowest AIC,2011,01-07-2011,1194.73614,1175.26903,0.983705934
