,p,d,q,P,D,Q,Period,Outsample MAPE,Annual_Error,AIC,Insample MAPE,Serial_No
list,0,0,0,0,1,0,12,5.799349105,1.274361365,903.9215608,6.125005786,2
list1,0,1,0,0,1,0,12,12.35123312,12.34237775,961.792353,9.84234945,3
list2,0,0,0,0,1,1,12,3.098921464,1.322893131,893.6046055,5.642620559,4
list3,0,1,0,0,1,1,12,8.476893756,8.027080329,943.1592006,7.737346091,5
list4,0,0,0,1,1,0,12,3.939411644,0.662112272,896.3459029,5.868351505,6
list5,0,1,0,1,1,0,12,9.270865291,8.940536101,951.826868,8.781890641,7
list6,0,0,0,1,1,1,12,3.092804487,1.292688054,895.6014966,5.645403041,8
list7,0,1,0,1,1,1,12,8.34092513,7.906070345,945.1025356,7.692623544,9
list8,0,0,1,0,1,0,12,5.518966262,0.980523015,897.795897,5.866578139,10
list9,0,1,1,0,1,0,12,5.650038622,0.159811672,896.8737225,5.992703412,11
list10,0,0,1,0,1,1,12,3.184476968,0.947670824,892.0406998,5.618033046,12
list11,0,1,1,0,1,1,12,3.272592308,1.155172599,882.7463169,4.980723437,13
list12,0,0,1,1,1,0,12,3.775831436,0.520529104,892.421968,5.668292047,14
list13,0,1,1,1,1,0,12,4.103586461,0.748836572,888.2839796,5.495099154,15
list14,0,0,1,1,1,1,12,3.23767321,0.766465089,893.8890326,5.637106685,16
list15,0,1,1,1,1,1,12,3.358540603,1.177483178,884.7043911,4.951915948,17
list16,0,0,2,0,1,0,12,5.410984082,1.041560198,899.1576686,5.83926942,18
list17,0,1,2,0,1,0,12,5.358121792,0.969341166,885.9726539,5.286077752,19
list18,0,0,2,0,1,1,12,2.961718532,1.02619715,892.5995127,5.528484382,20
list19,0,1,2,0,1,1,12,2.793972227,0.224697337,873.5850304,4.653662206,21
list20,0,0,2,1,1,0,12,3.631962054,0.544337134,893.4090549,5.558262904,22
list21,0,1,2,1,1,0,12,3.524723046,0.170186199,875.8106897,4.747178403,23
list22,0,0,2,1,1,1,12,2.977229164,0.890405549,894.5329888,5.526231118,24
list23,0,1,2,1,1,1,12,2.826730725,0.243236002,875.4151852,4.661809298,25
list24,1,0,0,0,1,0,12,5.329877677,1.039101359,897.0088245,5.795735445,26
list25,1,1,0,0,1,0,12,8.370468968,7.377930723,921.8525463,7.400001221,27
list26,1,0,0,0,1,1,12,3.12024601,0.940343916,891.262828,5.555194055,28
list27,1,1,0,0,1,1,12,5.404830096,5.037293384,910.6129732,6.18240504,29
list28,1,0,0,1,1,0,12,3.705351999,0.554561043,891.8607543,5.561115479,30
list29,1,1,0,1,1,0,12,6.123715846,5.866523156,917.4231373,6.80685744,31
list30,1,0,0,1,1,1,12,3.155114768,0.800079964,893.1627869,5.546056366,32
list31,1,1,0,1,1,1,12,5.287117174,4.776900919,911.9370268,6.071025801,33
list32,1,0,1,0,1,0,12,5.331798467,1.038281318,899.0089364,5.79676296,34
list33,1,1,1,0,1,0,12,5.181591179,0.74537106,887.7227303,5.377196758,35
list34,1,0,1,0,1,1,12,3.109954585,0.959811781,893.2007169,5.536621417,36
list35,1,1,1,0,1,1,12,3.004900561,0.302572801,876.03156,4.6870962,37
list36,1,0,1,1,1,0,12,3.70492584,0.542555407,893.8287324,5.570005365,38
list37,1,1,1,1,1,0,12,3.670465966,0.13291345,879.799824,4.90775504,39
list38,1,0,1,1,1,1,12,3.134692002,0.835655286,895.1391235,5.541296614,40
list39,1,1,1,1,1,1,12,3.003878272,0.303266693,878.0313777,4.686319107,41
list40,1,0,2,0,1,0,12,5.303676048,1.020990632,900.6017791,5.723773198,42
list41,1,1,2,0,1,0,12,5.43867262,0.93554103,887.6703213,5.285925242,43
list42,1,0,2,0,1,1,12,2.838135225,0.465454985,884.3607829,4.704905597,44
list43,1,1,2,0,1,1,12,2.785905509,0.306764817,875.3210027,4.602146984,45
list44,1,0,2,1,1,0,12,3.525193934,0.233351512,886.8512458,4.809329655,46
list45,1,1,2,1,1,0,12,3.56548882,0.168739529,877.5866747,4.722099034,47
list46,1,0,2,1,1,1,12,2.889029635,0.421133559,886.2338704,4.703333412,48
list47,1,1,2,1,1,1,12,2.7451131,0.314480302,877.1617528,4.609671831,49
list48,2,0,0,0,1,0,12,5.329705829,1.039191455,899.008823,5.795636892,50
list49,2,1,0,0,1,0,12,7.544479032,6.106428925,914.3661751,6.787951903,51
list50,2,0,0,0,1,1,12,3.093866335,0.976736013,893.1649501,5.532050563,52
list51,2,1,0,0,1,1,12,4.481096687,3.457167962,897.3127109,5.498691753,53
list52,2,0,0,1,1,0,12,3.702759016,0.536532992,893.8129277,5.577143403,54
list53,2,1,0,1,1,0,12,3.578381062,3.187282404,903.5784883,6.043470593,55
list54,2,0,0,1,1,1,12,3.118166947,0.861088689,895.1209831,5.537612275,56
list55,2,1,0,1,1,1,12,4.464524173,3.323296171,899.0867449,5.536360801,57
