,Based_On,Trained_Year,Year,Actual_value,Predicted_value,Accuracy,PE,Actual_mkt_growth,Predicted_mkt_growth
1,ETS MODEL-AAA,2013,2009,18462.34565,18321.13292,0.992351311,-0.007648689,NA,NA
4,ETS MODEL-AAA,2013,2010,17534.74532,17866.83655,0.98106096,0.01893904,-0.050242821,-0.032255333
7,ETS MODEL-AAA,2013,2011,17604.38758,17361.38962,0.986196739,-0.013803261,0.003971672,-0.009886411
10,ETS MODEL-AAA,2013,2012,17004.4388,16992.5345,0.99929993,-0.00070007,-0.034079503,-0.034755715
13,ETS MODEL-AAA,2013,2013,17169.99599,16805.73541,0.978785051,-0.021214949,0.009736116,-0.011685384
16,ETS MODEL-AAA,2013,2014,16772.15339,16942.51254,0.989842739,0.010157261,-0.023170803,-0.013248894
19,ETS MODEL-AAA,2013,2015,17028.0773,17134.81653,0.993731575,0.006268425,0.015258858,0.021622932
22,ETS MODEL-AAA,2013,2016,16813.80862,17327.12052,0.969470813,0.030529187,-0.012583257,0.017561773
2,ETS MODEL-AAA,2014,2009,18462.34565,18317.9702,0.992180005,-0.007819995,NA,NA
5,ETS MODEL-AAA,2014,2010,17534.74532,17768.41898,0.986673678,0.013326322,-0.050242821,-0.037586051
8,ETS MODEL-AAA,2014,2011,17604.38758,17294.49533,0.982396874,-0.017603126,0.003971672,-0.013701367
11,ETS MODEL-AAA,2014,2012,17004.4388,17019.56917,0.999110211,0.000889789,-0.034079503,-0.033220037
14,ETS MODEL-AAA,2014,2013,17169.99599,16868.79669,0.982457811,-0.017542189,0.009736116,-0.007976865
17,ETS MODEL-AAA,2014,2014,16772.15339,16879.91941,0.993574706,0.006425294,-0.023170803,-0.016894389
20,ETS MODEL-AAA,2014,2015,17028.0773,16869.20341,0.990669887,-0.009330113,0.015258858,0.005786378
23,ETS MODEL-AAA,2014,2016,16813.80862,16829.0013,0.999096416,0.000903584,-0.012583257,-0.011691044
3,ETS MODEL-AAA,2015,2009,18462.34565,18367.12875,0.994842643,-0.005157357,NA,NA
6,ETS MODEL-AAA,2015,2010,17534.74532,17842.9309,0.982424291,0.017575709,-0.050242821,-0.033550165
9,ETS MODEL-AAA,2015,2011,17604.38758,17306.2296,0.983063428,-0.016936572,0.003971672,-0.013032166
12,ETS MODEL-AAA,2015,2012,17004.4388,16943.26484,0.996402471,-0.003597529,-0.034079503,-0.03755443
15,ETS MODEL-AAA,2015,2013,17169.99599,16779.68321,0.977267742,-0.022732258,0.009736116,-0.013217466
18,ETS MODEL-AAA,2015,2014,16772.15339,16856.3767,0.994978384,0.005021616,-0.023170803,-0.018265542
21,ETS MODEL-AAA,2015,2015,17028.0773,16924.11558,0.993894688,-0.006105312,0.015258858,0.009060386
24,ETS MODEL-AAA,2015,2016,16813.80862,17048.12905,0.98606381,0.01393619,-0.012583257,0.00117757
