,Based_On,Trained_Year,Year,Actual_value,Predicted_value,Accuracy,PE,Actual_mkt_growth,Predicted_mkt_growth
1,Holt-Winters' additive method,2013,2009,18462.34565,18322.68478,0.992435367,-0.007564633,NA,NA
4,Holt-Winters' additive method,2013,2010,17534.74532,17864.16331,0.981213415,0.018786585,-0.050242821,-0.032400127
7,Holt-Winters' additive method,2013,2011,17604.38758,17359.62355,0.986096419,-0.013903581,0.003971672,-0.009987129
10,Holt-Winters' additive method,2013,2012,17004.4388,16988.79284,0.99907989,-0.00092011,-0.034079503,-0.034968256
13,Holt-Winters' additive method,2013,2013,17169.99599,16797.54353,0.978307947,-0.021692053,0.009736116,-0.012167133
16,Holt-Winters' additive method,2013,2014,16772.15339,16923.9721,0.990948168,0.009051832,-0.023170803,-0.01432871
19,Holt-Winters' additive method,2013,2015,17028.0773,17105.15728,0.995473359,0.004526641,0.015258858,0.01985457
22,Holt-Winters' additive method,2013,2016,16813.80862,17286.34246,0.971896085,0.028103915,-0.012583257,0.015167019
2,Holt-Winters' additive method,2014,2009,18462.34565,18317.9702,0.992180005,-0.007819995,NA,NA
5,Holt-Winters' additive method,2014,2010,17534.74532,17768.41898,0.986673678,0.013326322,-0.050242821,-0.037586051
8,Holt-Winters' additive method,2014,2011,17604.38758,17294.49533,0.982396874,-0.017603126,0.003971672,-0.013701367
11,Holt-Winters' additive method,2014,2012,17004.4388,17019.56917,0.999110211,0.000889789,-0.034079503,-0.033220037
14,Holt-Winters' additive method,2014,2013,17169.99599,16868.79669,0.982457811,-0.017542189,0.009736116,-0.007976865
17,Holt-Winters' additive method,2014,2014,16772.15339,16879.91941,0.993574706,0.006425294,-0.023170803,-0.016894389
20,Holt-Winters' additive method,2014,2015,17028.0773,16869.20341,0.990669887,-0.009330113,0.015258858,0.005786378
23,Holt-Winters' additive method,2014,2016,16813.80862,16829.0013,0.999096416,0.000903584,-0.012583257,-0.011691044
3,Holt-Winters' additive method,2015,2009,18462.34565,18367.95579,0.99488744,-0.00511256,NA,NA
6,Holt-Winters' additive method,2015,2010,17534.74532,17842.90381,0.982425836,0.017574164,-0.050242821,-0.033551633
9,Holt-Winters' additive method,2015,2011,17604.38758,17305.50993,0.983022548,-0.016977452,0.003971672,-0.013073209
12,Holt-Winters' additive method,2015,2012,17004.4388,16940.1171,0.996217358,-0.003782642,-0.034079503,-0.037733234
15,Holt-Winters' additive method,2015,2013,17169.99599,16774.50428,0.976966115,-0.023033885,0.009736116,-0.013522029
18,Holt-Winters' additive method,2015,2014,16772.15339,16851.13659,0.995290813,0.004709187,-0.023170803,-0.018570732
21,Holt-Winters' additive method,2015,2015,17028.0773,16924.34724,0.993908293,-0.006091707,0.015258858,0.009074198
24,Holt-Winters' additive method,2015,2016,16813.80862,17053.16723,0.985764165,0.014235835,-0.012583257,0.001473445
