SKU,FISCAL_MONTH,SHIPPED_QTY
SKU1101,201909,
SKU1101,201910,
SKU1101,201911,
SKU1101,201912,
SKU1102,201909,
SKU1102,201910,
SKU1102,201911,
SKU1102,201912,
SKU1103,201909,
SKU1103,201910,
SKU1103,201911,
SKU1103,201912,
SKU1104,201909,
SKU1104,201910,
SKU1104,201911,
SKU1104,201912,
SKU1105,201909,
SKU1105,201910,
SKU1105,201911,
SKU1105,201912,
SKU1106,201909,
SKU1106,201910,
SKU1106,201911,
SKU1106,201912,
SKU1107,201909,
SKU1107,201910,
SKU1107,201911,
SKU1107,201912,
SKU1108,201909,
SKU1108,201910,
SKU1108,201911,
SKU1108,201912,
SKU1109,201909,
SKU1109,201910,
SKU1109,201911,
SKU1109,201912,
SKU1110,201909,
SKU1110,201910,
SKU1110,201911,
SKU1110,201912,
SKU1111,201909,
SKU1111,201910,
SKU1111,201911,
SKU1111,201912,
SKU1112,201909,
SKU1112,201910,
SKU1112,201911,
SKU1112,201912,
SKU1113,201909,
SKU1113,201910,
SKU1113,201911,
SKU1113,201912,
SKU1114,201909,
SKU1114,201910,
SKU1114,201911,
SKU1114,201912,
SKU1115,201909,
SKU1115,201910,
SKU1115,201911,
SKU1115,201912,
SKU1116,201909,
SKU1116,201910,
SKU1116,201911,
SKU1116,201912,
SKU1117,201909,
SKU1117,201910,
SKU1117,201911,
SKU1117,201912,
SKU1118,201909,
SKU1118,201910,
SKU1118,201911,
SKU1118,201912,
SKU1119,201909,
SKU1119,201910,
SKU1119,201911,
SKU1119,201912,
SKU1120,201909,
SKU1120,201910,
SKU1120,201911,
SKU1120,201912,
SKU1121,201909,
SKU1121,201910,
SKU1121,201911,
SKU1121,201912,
SKU1122,201909,
SKU1122,201910,
SKU1122,201911,
SKU1122,201912,
SKU1123,201909,
SKU1123,201910,
SKU1123,201911,
SKU1123,201912,
SKU1124,201909,
SKU1124,201910,
SKU1124,201911,
SKU1124,201912,
SKU1125,201909,
SKU1125,201910,
SKU1125,201911,
SKU1125,201912,
SKU1126,201909,
SKU1126,201910,
SKU1126,201911,
SKU1126,201912,
SKU1127,201909,
SKU1127,201910,
SKU1127,201911,
SKU1127,201912,
SKU1128,201909,
SKU1128,201910,
SKU1128,201911,
SKU1128,201912,
SKU1129,201909,
SKU1129,201910,
SKU1129,201911,
SKU1129,201912,
SKU1130,201909,
SKU1130,201910,
SKU1130,201911,
SKU1130,201912,
SKU1131,201909,
SKU1131,201910,
SKU1131,201911,
SKU1131,201912,
SKU1132,201909,
SKU1132,201910,
SKU1132,201911,
SKU1132,201912,
SKU1133,201909,
SKU1133,201910,
SKU1133,201911,
SKU1133,201912,
SKU1134,201909,
SKU1134,201910,
SKU1134,201911,
SKU1134,201912,
SKU1135,201909,
SKU1135,201910,
SKU1135,201911,
SKU1135,201912,
SKU1136,201909,
SKU1136,201910,
SKU1136,201911,
SKU1136,201912,
SKU1137,201909,
SKU1137,201910,
SKU1137,201911,
SKU1137,201912,
SKU1138,201909,
SKU1138,201910,
SKU1138,201911,
SKU1138,201912,
SKU1139,201909,
SKU1139,201910,
SKU1139,201911,
SKU1139,201912,
SKU1140,201909,
SKU1140,201910,
SKU1140,201911,
SKU1140,201912,
SKU1141,201909,
SKU1141,201910,
SKU1141,201911,
SKU1141,201912,
SKU1142,201909,
SKU1142,201910,
SKU1142,201911,
SKU1142,201912,
SKU1143,201909,
SKU1143,201910,
SKU1143,201911,
SKU1143,201912,
SKU1144,201909,
SKU1144,201910,
SKU1144,201911,
SKU1144,201912,
SKU1145,201909,
SKU1145,201910,
SKU1145,201911,
SKU1145,201912,
SKU1146,201909,
SKU1146,201910,
SKU1146,201911,
SKU1146,201912,
SKU1147,201909,
SKU1147,201910,
SKU1147,201911,
SKU1147,201912,
SKU1148,201909,
SKU1148,201910,
SKU1148,201911,
SKU1148,201912,
SKU1149,201909,
SKU1149,201910,
SKU1149,201911,
SKU1149,201912,
SKU1150,201909,
SKU1150,201910,
SKU1150,201911,
SKU1150,201912,
SKU1151,201909,
SKU1151,201910,
SKU1151,201911,
SKU1151,201912,
SKU1152,201909,
SKU1152,201910,
SKU1152,201911,
SKU1152,201912,
SKU1153,201909,
SKU1153,201910,
SKU1153,201911,
SKU1153,201912,
SKU1154,201909,
SKU1154,201910,
SKU1154,201911,
SKU1154,201912,
SKU1155,201909,
SKU1155,201910,
SKU1155,201911,
SKU1155,201912,
SKU1156,201909,
SKU1156,201910,
SKU1156,201911,
SKU1156,201912,
SKU1157,201909,
SKU1157,201910,
SKU1157,201911,
SKU1157,201912,
SKU1158,201909,
SKU1158,201910,
SKU1158,201911,
SKU1158,201912,
SKU1159,201909,
SKU1159,201910,
SKU1159,201911,
SKU1159,201912,
SKU1160,201909,
SKU1160,201910,
SKU1160,201911,
SKU1160,201912,
SKU1161,201909,
SKU1161,201910,
SKU1161,201911,
SKU1161,201912,
SKU1162,201909,
SKU1162,201910,
SKU1162,201911,
SKU1162,201912,
SKU1163,201909,
SKU1163,201910,
SKU1163,201911,
SKU1163,201912,
SKU1164,201909,
SKU1164,201910,
SKU1164,201911,
SKU1164,201912,
SKU1165,201909,
SKU1165,201910,
SKU1165,201911,
SKU1165,201912,
SKU1166,201909,
SKU1166,201910,
SKU1166,201911,
SKU1166,201912,
SKU1167,201909,
SKU1167,201910,
SKU1167,201911,
SKU1167,201912,
SKU1168,201909,
SKU1168,201910,
SKU1168,201911,
SKU1168,201912,
SKU1169,201909,
SKU1169,201910,
SKU1169,201911,
SKU1169,201912,
SKU1170,201909,
SKU1170,201910,
SKU1170,201911,
SKU1170,201912,
SKU1171,201909,
SKU1171,201910,
SKU1171,201911,
SKU1171,201912,
SKU1172,201909,
SKU1172,201910,
SKU1172,201911,
SKU1172,201912,
SKU1173,201909,
SKU1173,201910,
SKU1173,201911,
SKU1173,201912,
SKU1174,201909,
SKU1174,201910,
SKU1174,201911,
SKU1174,201912,
SKU1175,201909,
SKU1175,201910,
SKU1175,201911,
SKU1175,201912,
SKU1176,201909,
SKU1176,201910,
SKU1176,201911,
SKU1176,201912,
SKU1177,201909,
SKU1177,201910,
SKU1177,201911,
SKU1177,201912,
SKU1178,201909,
SKU1178,201910,
SKU1178,201911,
SKU1178,201912,
SKU1179,201909,
SKU1179,201910,
SKU1179,201911,
SKU1179,201912,
SKU1180,201909,
SKU1180,201910,
SKU1180,201911,
SKU1180,201912,
SKU1181,201909,
SKU1181,201910,
SKU1181,201911,
SKU1181,201912,
SKU1182,201909,
SKU1182,201910,
SKU1182,201911,
SKU1182,201912,
SKU1183,201909,
SKU1183,201910,
SKU1183,201911,
SKU1183,201912,
SKU1184,201909,
SKU1184,201910,
SKU1184,201911,
SKU1184,201912,
SKU1185,201909,
SKU1185,201910,
SKU1185,201911,
SKU1185,201912,
SKU1186,201909,
SKU1186,201910,
SKU1186,201911,
SKU1186,201912,
SKU1187,201909,
SKU1187,201910,
SKU1187,201911,
SKU1187,201912,
SKU1188,201909,
SKU1188,201910,
SKU1188,201911,
SKU1188,201912,
SKU1189,201909,
SKU1189,201910,
SKU1189,201911,
SKU1189,201912,
SKU1190,201909,
SKU1190,201910,
SKU1190,201911,
SKU1190,201912,
SKU1191,201909,
SKU1191,201910,
SKU1191,201911,
SKU1191,201912,
SKU1192,201909,
SKU1192,201910,
SKU1192,201911,
SKU1192,201912,
SKU1193,201909,
SKU1193,201910,
SKU1193,201911,
SKU1193,201912,
SKU1194,201909,
SKU1194,201910,
SKU1194,201911,
SKU1194,201912,
SKU1195,201909,
SKU1195,201910,
SKU1195,201911,
SKU1195,201912,
SKU1196,201909,
SKU1196,201910,
SKU1196,201911,
SKU1196,201912,
SKU1197,201909,
SKU1197,201910,
SKU1197,201911,
SKU1197,201912,
SKU1198,201909,
SKU1198,201910,
SKU1198,201911,
SKU1198,201912,
SKU1199,201909,
SKU1199,201910,
SKU1199,201911,
SKU1199,201912,
SKU1200,201909,
SKU1200,201910,
SKU1200,201911,
SKU1200,201912,
SKU1201,201909,
SKU1201,201910,
SKU1201,201911,
SKU1201,201912,
SKU1202,201909,
SKU1202,201910,
SKU1202,201911,
SKU1202,201912,
SKU1203,201909,
SKU1203,201910,
SKU1203,201911,
SKU1203,201912,
SKU1204,201909,
SKU1204,201910,
SKU1204,201911,
SKU1204,201912,
SKU1205,201909,
SKU1205,201910,
SKU1205,201911,
SKU1205,201912,
SKU1206,201909,
SKU1206,201910,
SKU1206,201911,
SKU1206,201912,
SKU1207,201909,
SKU1207,201910,
SKU1207,201911,
SKU1207,201912,
SKU1208,201909,
SKU1208,201910,
SKU1208,201911,
SKU1208,201912,
SKU1209,201909,
SKU1209,201910,
SKU1209,201911,
SKU1209,201912,
SKU1210,201909,
SKU1210,201910,
SKU1210,201911,
SKU1210,201912,
SKU1211,201909,
SKU1211,201910,
SKU1211,201911,
SKU1211,201912,
SKU1212,201909,
SKU1212,201910,
SKU1212,201911,
SKU1212,201912,
SKU1213,201909,
SKU1213,201910,
SKU1213,201911,
SKU1213,201912,
SKU1214,201909,
SKU1214,201910,
SKU1214,201911,
SKU1214,201912,
SKU1215,201909,
SKU1215,201910,
SKU1215,201911,
SKU1215,201912,
SKU1216,201909,
SKU1216,201910,
SKU1216,201911,
SKU1216,201912,
SKU1217,201909,
SKU1217,201910,
SKU1217,201911,
SKU1217,201912,
SKU1218,201909,
SKU1218,201910,
SKU1218,201911,
SKU1218,201912,
SKU1219,201909,
SKU1219,201910,
SKU1219,201911,
SKU1219,201912,
SKU1220,201909,
SKU1220,201910,
SKU1220,201911,
SKU1220,201912,
SKU1221,201909,
SKU1221,201910,
SKU1221,201911,
SKU1221,201912,
SKU1222,201909,
SKU1222,201910,
SKU1222,201911,
SKU1222,201912,
SKU1223,201909,
SKU1223,201910,
SKU1223,201911,
SKU1223,201912,
SKU1224,201909,
SKU1224,201910,
SKU1224,201911,
SKU1224,201912,
SKU1225,201909,
SKU1225,201910,
SKU1225,201911,
SKU1225,201912,
SKU1226,201909,
SKU1226,201910,
SKU1226,201911,
SKU1226,201912,
SKU1227,201909,
SKU1227,201910,
SKU1227,201911,
SKU1227,201912,
SKU1228,201909,
SKU1228,201910,
SKU1228,201911,
SKU1228,201912,
SKU1229,201909,
SKU1229,201910,
SKU1229,201911,
SKU1229,201912,
SKU1230,201909,
SKU1230,201910,
SKU1230,201911,
SKU1230,201912,
SKU1231,201909,
SKU1231,201910,
SKU1231,201911,
SKU1231,201912,
SKU1232,201909,
SKU1232,201910,
SKU1232,201911,
SKU1232,201912,
SKU1233,201909,
SKU1233,201910,
SKU1233,201911,
SKU1233,201912,
SKU1234,201909,
SKU1234,201910,
SKU1234,201911,
SKU1234,201912,
SKU1235,201909,
SKU1235,201910,
SKU1235,201911,
SKU1235,201912,
SKU1236,201909,
SKU1236,201910,
SKU1236,201911,
SKU1236,201912,
SKU1237,201909,
SKU1237,201910,
SKU1237,201911,
SKU1237,201912,
SKU1238,201909,
SKU1238,201910,
SKU1238,201911,
SKU1238,201912,
SKU1239,201909,
SKU1239,201910,
SKU1239,201911,
SKU1239,201912,
SKU1240,201909,
