SKU,FISCAL_MONTH,WEEK_START_DATE,SHIPPED_QTY,ORDER_QTY,CONFIRMED_ORDER_QTY
SKU1101,201501,1/5/2015,3870,0,0
SKU1101,201501,1/12/2015,990,0,0
SKU1101,201501,1/19/2015,2340,0,0
SKU1101,201502,1/26/2015,16830,0,0
SKU1101,201502,2/2/2015,810,0,0
SKU1101,201502,2/9/2015,3240,0,0
SKU1101,201502,2/16/2015,6750,0,0
SKU1101,201503,2/23/2015,3510,0,0
SKU1101,201503,3/2/2015,4140,0,0
SKU1101,201503,3/9/2015,3330,0,0
SKU1101,201503,3/16/2015,11610,0,0
SKU1101,201503,3/23/2015,3600,0,0
SKU1101,201504,3/30/2015,7380,0,0
SKU1101,201504,4/6/2015,2700,0,0
SKU1101,201504,4/13/2015,3870,0,0
SKU1101,201504,4/20/2015,4680,0,0
SKU1101,201505,4/27/2015,2430,0,0
SKU1101,201505,5/4/2015,13140,0,0
SKU1101,201505,5/11/2015,6030,0,0
SKU1101,201505,5/18/2015,4680,0,0
SKU1101,201506,5/25/2015,6570,0,0
SKU1101,201506,6/1/2015,10710,0,0
SKU1101,201506,6/8/2015,3420,0,0
SKU1101,201506,6/15/2015,4320,0,0
SKU1101,201506,6/22/2015,3330,0,0
SKU1101,201507,6/29/2015,3060,0,0
SKU1101,201507,7/6/2015,14310,0,0
SKU1101,201507,7/13/2015,4770,0,0
SKU1101,201507,7/20/2015,7920,0,0
SKU1101,201508,7/27/2015,3240,0,0
SKU1101,201508,8/3/2015,4680,0,0
SKU1101,201508,8/10/2015,3240,0,0
SKU1101,201508,8/17/2015,2430,0,0
SKU1101,201509,8/24/2015,7110,0,0
SKU1101,201509,8/31/2015,4410,0,0
SKU1101,201509,9/7/2015,8460,0,0
SKU1101,201509,9/14/2015,3420,0,0
SKU1101,201509,9/21/2015,10800,0,0
SKU1101,201510,9/28/2015,3690,0,0
SKU1101,201510,10/5/2015,1530,0,0
SKU1101,201510,10/12/2015,7380,0,0
SKU1101,201510,10/19/2015,2790,0,0
SKU1101,201511,10/26/2015,4770,0,0
SKU1101,201511,11/2/2015,4320,0,0
SKU1101,201511,11/9/2015,5400,0,0
SKU1101,201511,11/16/2015,4770,0,0
SKU1101,201512,11/23/2015,6030,0,0
SKU1101,201512,11/30/2015,7380,0,0
