Date,Price
01-10-2015,54000
01-11-2015,60666.67
01-12-2015,98956.52
01-01-2016,133100
01-02-2016,156250
01-03-2016,180239.13
01-04-2016,184800
01-05-2016,177447.37
01-06-2016,166404.76
01-07-2016,163900
01-08-2016,163673.91
01-09-2016,162642.86
01-10-2016,162277.78
01-11-2016,160500
01-12-2016,160613.64
01-01-2017,147750
01-02-2017,142500
01-03-2017,142291
01-04-2017,145500
01-05-2017,149881
01-06-2017,154227
01-07-2017,151214
01-08-2017,146717
01-09-2017,145310
01-10-2017,151029
01-11-2017,153500
01-12-2017,153500
01-01-2018,151955
01-02-2018,149500
01-03-2018,150409
01-04-2018,154500
01-05-2018,149773
01-06-2018,145650
01-07-2018,139136
01-08-2018,125326
01-09-2018,124500
01-10-2018,123667
01-11-2018,120000
01-12-2018,108071
01-01-2019,104500
01-02-2019,102633
01-03-2019,95690
01-04-2019,94500
01-05-2019,90975
01-06-2019,86579
01-07-2019,80109
01-08-2019,73159
01-09-2019,68053
01-10-2019,63737
01-11-2019,60095.25
