Snap_Month,Actuals
01-12-2017,2087.34
01-01-2018,2221.67
01-02-2018,2173.82
01-03-2018,2094.9
01-04-2018,2245.73
01-05-2018,2288.64
01-06-2018,2237.24
01-07-2018,2076.32
01-08-2018,2070.59
01-09-2018,2055.2
01-10-2018,2044.93
01-11-2018,1950.02
01-12-2018,1928.63
01-01-2019,1861.55
01-02-2019,1885.05
01-03-2019,1895.33
01-04-2019,1868.28
01-05-2019,1805.55
01-06-2019,1782.02
01-07-2019,1816.33
01-08-2019,1771.12
01-09-2019,1776.76
01-10-2019,1727.57
01-11-2019,1766.36
01-12-2019,1780.8
01-01-2020,
01-02-2020,
01-03-2020,
01-04-2020,
01-05-2020,
01-06-2020,
01-07-2020,
01-08-2020,
01-09-2020,
01-10-2020,
01-11-2020,
01-12-2020,
01-01-2021,
01-02-2021,
01-03-2021,
01-04-2021,
01-05-2021,
01-06-2021,
01-07-2021,
01-08-2021,
01-09-2021,
01-10-2021,
01-11-2021,
01-12-2021,
