Snapshot_month,2018-naive-Act,2018-Forecast-Act,2019-naive-Act,2019-Forecast-Act,2018-19-naive-Act,2018-19-Forecast-Act
01-01-2018,0.044319029,0.059591397,0.153268622,0.014405155,0.098793826,0.036998276
01-02-2018,0.066464101,0.016712147,0.227486801,0.049750761,0.150475945,0.033949685
01-03-2018,0.060766942,0.017944417,0.201049372,0.047491238,0.137284631,0.034060865
01-04-2018,0.048932124,0.028838868,0.15744557,0.043011893,0.110939807,0.036937739
01-05-2018,0.08696028,0.017060509,0.240780104,0.05859827,0.179252174,0.041983166
01-06-2018,0.117659877,0.035502205,0.264488152,0.08448686,0.210393524,0.066439881
01-07-2018,0.107985068,0.018313918,0.236089325,0.055746755,0.193387906,0.043269143
01-08-2018,0.03394802,0.016493549,0.147180002,0.041635649,0.113876478,0.034240914
01-09-2018,0.038868304,0.018971512,0.14401414,0.049216057,0.117727681,0.041654921
01-10-2018,0.041528994,0.025446319,0.135511068,0.044768457,0.116714653,0.040904029
01-11-2018,0.054486584,0.040307554,0.129836827,0.047904576,0.119072507,0.046819287
01-12-2018,0.011090774,0.002843082,0.077398449,0.014640305,0.072297858,0.013732826
01-01-2019,NA,NA,0.065580338,0.013882772,0.065580338,0.013882772
01-02-2019,NA,NA,0.037272869,0.01748028,0.037272869,0.01748028
01-03-2019,NA,NA,0.049624915,0.013768699,0.049624915,0.013768699
01-04-2019,NA,NA,0.06028699,0.023880852,0.06028699,0.023880852
01-05-2019,NA,NA,0.05079899,0.016154353,0.05079899,0.016154353
01-06-2019,NA,NA,0.019429451,0.013459077,0.019429451,0.013459077
01-07-2019,NA,NA,0.011512253,0.017672298,0.011512253,0.017672298
01-08-2019,NA,NA,0.029483429,0.014381032,0.029483429,0.014381032
01-09-2019,NA,NA,0.009128426,0.016947854,0.009128426,0.016947854
01-10-2019,NA,NA,0.012209993,0.017217231,0.012209993,0.017217231
01-11-2019,NA,NA,0.025925738,0.037252558,0.025925738,0.037252558
01-12-2019,NA,NA,0.008108715,0.01011466,0.008108715,0.01011466
