Snapshot_month,2018-naive-Act,2018-Forecast-Act,2019-naive-Act,2019-Forecast-Act,2018-19-naive-Act,2018-19-Forecast-Act
01-01-2018,0.044319029,0.052956438,0.153268622,0.018737962,0.098793826,0.0358472
01-02-2018,0.066464101,0.023515924,0.227486801,0.081351753,0.150475945,0.053691139
01-03-2018,0.060766942,0.019781414,0.201049372,0.089410638,0.137284631,0.057760991
01-04-2018,0.048932124,0.0288115,0.15744557,0.065201823,0.110939807,0.04960597
01-05-2018,0.08696028,0.019864281,0.240780104,0.088715387,0.179252174,0.061174944
01-06-2018,0.117659877,0.041951324,0.264488152,0.103427934,0.210393524,0.080778657
01-07-2018,0.107985068,0.024983655,0.236089325,0.076126578,0.193387906,0.059078937
01-08-2018,0.03394802,0.017751244,0.147180002,0.058537337,0.113876478,0.046541427
01-09-2018,0.038868304,0.020655646,0.14401414,0.064910455,0.117727681,0.053846753
01-10-2018,0.041528994,0.027448123,0.135511068,0.063681573,0.116714653,0.056434883
01-11-2018,0.054486584,0.042329563,0.129836827,0.067005751,0.119072507,0.063480581
01-12-2018,0.011090774,0.002796271,0.077398449,0.026647287,0.072297858,0.024812594
01-01-2019,NA,NA,0.065580338,0.023560021,0.065580338,0.023560021
01-02-2019,NA,NA,0.037272869,0.016038085,0.037272869,0.016038085
01-03-2019,NA,NA,0.049624915,0.025950743,0.049624915,0.025950743
01-04-2019,NA,NA,0.06028699,0.035950377,0.06028699,0.035950377
01-05-2019,NA,NA,0.05079899,0.028464279,0.05079899,0.028464279
01-06-2019,NA,NA,0.019429451,0.009757601,0.019429451,0.009757601
01-07-2019,NA,NA,0.011512253,0.012694281,0.011512253,0.012694281
01-08-2019,NA,NA,0.029483429,0.019206327,0.029483429,0.019206327
01-09-2019,NA,NA,0.009128426,0.01210673,0.009128426,0.01210673
01-10-2019,NA,NA,0.012209993,0.013048826,0.012209993,0.013048826
01-11-2019,NA,NA,0.025925738,0.032022855,0.025925738,0.032022855
01-12-2019,NA,NA,0.008108715,0.011250895,0.008108715,0.011250895
