Snapshot_month,2018-naive-Act,2018-Forecast-Act,2019-naive-Act,2019-Forecast-Act,2018-19-naive-Act,2018-19-Forecast-Act
01-01-2018,0.044319029,0.041345492,0.153268622,0.101782075,0.098793826,0.071563784
01-02-2018,0.066464101,0.073225234,0.227486801,0.24103798,0.150475945,0.16077971
01-03-2018,0.060766942,0.058573067,0.201049372,0.188553146,0.137284631,0.129471292
01-04-2018,0.048932124,0.041160089,0.15744557,0.114306972,0.110939807,0.082958307
01-05-2018,0.08696028,0.096458955,0.240780104,0.256376943,0.179252174,0.192409748
01-06-2018,0.117659877,0.126781449,0.264488152,0.28967127,0.210393524,0.229659231
01-07-2018,0.107985068,0.107320588,0.236089325,0.240014004,0.193387906,0.195782865
01-08-2018,0.03394802,0.022751211,0.147180002,0.104561657,0.113876478,0.080499761
01-09-2018,0.038868304,0.032534891,0.14401414,0.110791987,0.117727681,0.091227713
01-10-2018,0.041528994,0.035511493,0.135511068,0.103331518,0.116714653,0.089767513
01-11-2018,0.054486584,0.049878392,0.129836827,0.099827805,0.119072507,0.092692175
01-12-2018,0.011090774,0.001231018,0.077398449,0.032288875,0.072297858,0.029899809
01-01-2019,NA,NA,0.065580338,0.02763943,0.065580338,0.02763943
01-02-2019,NA,NA,0.037272869,0.01696466,0.037272869,0.01696466
01-03-2019,NA,NA,0.049624915,0.01852053,0.049624915,0.01852053
01-04-2019,NA,NA,0.06028699,0.031568704,0.06028699,0.031568704
01-05-2019,NA,NA,0.05079899,0.021841507,0.05079899,0.021841507
01-06-2019,NA,NA,0.019429451,0.017387074,0.019429451,0.017387074
01-07-2019,NA,NA,0.011512253,0.022900046,0.011512253,0.022900046
01-08-2019,NA,NA,0.029483429,0.016504368,0.029483429,0.016504368
01-09-2019,NA,NA,0.009128426,0.020259876,0.009128426,0.020259876
01-10-2019,NA,NA,0.012209993,0.017768071,0.012209993,0.017768071
01-11-2019,NA,NA,0.025925738,0.040500065,0.025925738,0.040500065
01-12-2019,NA,NA,0.008108715,0.012184981,0.008108715,0.012184981
