Snap_Month,A,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25
2017-12-01,2087.34,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,2221.67,2060.3515096815527,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,2173.82,2040.9269042842118,2203.592928986279,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,2094.9,2022.5921644718035,2181.480709303932,2143.9544066291605,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,2245.73,2100.082608482894,2255.1333771915524,2225.9284430945477,2184.634816152845,,,,,,,,,,,,,,,,,,,,,
2018-05-01,2288.64,2082.130942486375,2232.817696903885,2208.043363104094,2160.6444723549575,2219.0505625237106,,,,,,,,,,,,,,,,,,,,
2018-06-01,2237.24,2064.9266566279866,2211.4230386020968,2187.642421322646,2139.726815127867,2199.5644051008235,2276.228748399074,,,,,,,,,,,,,,,,,,,
2018-07-01,2076.32,1952.5493014747321,2094.868268671597,2071.547289359567,2029.0619964975833,2074.6237388466284,2143.2426503397783,2103.109803384557,,,,,,,,,,,,,,,,,,
2018-08-01,2070.59,1936.5198489581062,2075.0981055355046,2053.693287345481,2015.7512125603573,2058.8889793309254,2122.9909110291323,2084.145445508526,2056.93503444298,,,,,,,,,,,,,,,,,
2018-09-01,2055.2,1920.9531617419807,2055.918636091986,2036.5406605773444,2001.540745064948,2042.566617427392,2105.4327243773914,2066.3782137062094,2039.524811931079,2053.994963818607,,,,,,,,,,,,,,,,
2018-10-01,2044.93,1905.8398793394197,2037.3336115266893,2019.7457175209152,1987.4461497493653,2026.9435481463192,2088.3871457923456,2047.665424177942,2021.1111577927645,2034.6498815358807,2033.6547554349102,,,,,,,,,,,,,,,
2018-11-01,1950.02,1891.1544897111512,2019.32937745787,2003.4163944553181,1974.1321259093022,2012.1859428055966,2071.4700310761177,2029.2086939041783,2002.8730255195949,2016.0483341970507,2016.667183417729,2025.4501027053916,,,,,,,,,,,,,,
2018-12-01,1928.63,1876.8602596034336,2001.8649586532404,1987.625952384492,1961.421226217501,1997.9586124882762,2055.100476640905,2011.6545992994397,1985.5136805952989,1998.8557560717456,1999.309487714052,2009.5040163328172,1934.1132533005605,,,,,,,,,,,,,
2019-01-01,1861.55,1862.924463810798,1984.90044136757,1972.3272622495972,1949.0740423001403,1984.124331233227,2039.4058064432518,1994.7902021401721,1968.8306765999723,1982.3005140141609,1980.990519262376,1991.231634941246,1917.232654408201,1908.3539615820066,,,,,,,,,,,,
2019-02-01,1885.05,1849.319984306861,1968.405010905236,1957.4599386498057,1937.0610167514915,1970.7105440524829,2024.2705713843195,1978.3857273078395,1952.5833118317248,1966.0559212354142,1963.1644359727159,1972.2381019720733,1899.3665246146834,1892.6175723587949,1846.4310338058385,,,,,,,,,,,
2019-03-01,1895.33,1836.021586016722,1952.3511147879026,1942.993472876502,1925.4093170256692,1957.7254596388825,2009.6086729599178,1962.4172154852085,1936.7438975973673,1950.2166281335703,1946.179332118495,1954.214163296936,1882.0957862001176,1875.4619354103054,1831.7806305679233,1868.2733895900626,,,,,,,,,,
2019-04-01,1868.28,1823.004664083238,1936.711150667764,1928.9083405794406,1914.103682182425,1945.1337389877608,1995.3995719213838,1946.9024763737298,1921.3329477188329,1934.8452508890227,1929.713746027381,1937.044508483991,1865.6210647990185,1857.2689326792838,1816.9685560912253,1853.9115548647098,1889.9647023165485,,,,,,,,,
2019-05-01,1805.55,1810.2458543876405,1921.4582344283463,1915.181127539512,1903.1078971504428,1932.8988555932033,1981.6290233897912,1931.8189033150927,1906.32990235651,1919.8988505691048,1913.5967167001104,1920.2695942170872,1849.5332118201013,1839.63309807001,1803.5881981374696,1839.8944556030833,1868.604107801529,1844.5494392706332,,,,,,,,
2019-06-01,1782.02,1797.7233798070804,1906.5671238438858,1901.7863136993838,1892.394479744216,1920.9967135612235,1968.2697818662225,1917.1284895556335,1891.6971278461076,1905.3255611538175,1897.8455367615898,1903.8060850166585,1833.6870588231636,1822.7153814971816,1790.6852089365948,1825.4640942806184,1852.368895830755,1831.2507151981602,1791.2518041829512,,,,,,,
2019-07-01,1816.33,1785.4168704504727,1892.0141245797233,1888.7003503836422,1881.944475844923,1909.4072058317452,1955.2923791001097,1902.8018510363265,1877.4054836376574,1891.0990395097065,1882.475569807439,1887.720611167996,1818.1287925027018,1806.1406286453407,1777.7281993940455,1811.1527833545074,1840.967769739224,1820.610270934401,1782.8521291321047,1774.680114799945,,,,,,
2019-08-01,1771.12,1773.307154044172,1877.776759986955,1875.901940412739,1871.739604649573,1898.1091682825045,1942.671592624817,1888.8163137487584,1863.4329162840972,1877.2010325717285,1867.458239426339,1872.0171332075581,1802.8763702923568,1789.7793993518546,1764.8309240862934,1797.21954893208,1829.4560989117278,1808.0941971363438,1771.7204473094996,1763.0587589343345,1804.9440524119389,,,,,
2019-09-01,1776.76,1761.3761810516592,1863.8336607859003,1863.3709803742952,1861.7607814666426,1887.081552781045,1930.3849116353583,1875.149725911027,1849.757982083847,1863.6099485379998,1852.7592733603071,1856.6540892022754,1787.8982425769102,1773.6733066793324,1752.1223849266441,1783.563045747505,1817.0336504922477,1794.898202933283,1759.195956432259,1750.6709567909031,1791.70403235284,1759.1839355168809,,,,
2019-10-01,1727.57,1749.6069887672413,1850.1645625465203,1851.0882110035734,1851.9898144260299,1876.3048457760142,1918.4106308654557,1861.7797634771887,1836.358979608713,1850.3030037984884,1838.3553092020834,1841.5984015726656,1773.1622473331638,1757.8372857766703,1739.5822859591644,1770.085589262308,1804.693103264658,1782.230950895621,1747.214695322243,1739.3268971487025,1780.4902284884117,1748.0254273839291,1768.589158805763,,,
2019-11-01,1766.36,1737.9836428885756,1836.7502710827714,1839.0353541042493,1842.410030618307,1865.760952779375,1906.7278109020374,1848.6852243597382,1823.2152837821184,1837.2592830236151,1824.2275255554723,1826.8307149403824,1758.649201051946,1742.2424370316794,1727.1616620129485,1756.775752570696,1792.7716285745985,1769.9961222165161,1735.7637499762502,1728.4245016242278,1770.6431416600722,1737.9852010776585,1754.8381583568753,1711.5832605672,,
2019-12-01,1780.8,1726.4911688761013,1823.5725969895843,1827.1951687662856,1833.0058823461418,1855.432751661328,1895.3166619288374,1835.846352597538,1810.307717898363,1824.459683718159,1810.3564920128777,1812.333266466516,1744.3434820341135,1726.8596234758722,1714.8427414738144,1743.6371803277746,1781.0803968514126,1757.8837669866732,1724.377080449771,1717.4286196789117,1760.607190657312,1727.3855399865456,1742.7177429764422,1703.345829881161,1762.7878127124227,
2020-01-01,,,1810.6142954779164,1815.5513704233424,1823.7626479209364,1845.3039809380382,1884.158556307436,1823.244519155628,1797.618232171631,1811.8861026699635,1796.7227406219347,1798.0864447633585,1730.2280601088232,1711.6711121256692,1702.6207492902001,1730.6568171090169,1769.4939928140855,1745.8504440185686,1712.970026429937,1706.3834205951675,1750.3129460325847,1716.5593396809631,1732.0977833575234,1694.7065733156276,1749.0486029465749,1767.1575843984908
2020-02-01,,,,1804.0885463235093,1814.666419242494,1835.359275249917,1873.2358770089227,1810.8620272502035,1785.1296964763287,1799.5212465046457,1783.3080377826936,1784.0710420514426,1716.2858273160182,1696.6622676125783,1690.4865278527973,1717.8160720167782,1758.02052427211,1733.9457663910446,1701.6261358674096,1695.4111667538991,1740.1035859627875,1705.8914548434016,1721.4337959462703,1684.5174907579153,1738.310116377097,1755.95954983443
2020-03-01,,,,,1805.7041212038878,1825.5841450261514,1862.5319297445242,1798.6820972755088,1772.8258831755147,1787.3487370673547,1770.0954090197918,1770.2694160437825,1702.5009677422897,1681.8172904453668,1678.42778225732,1705.1001621017951,1746.6768760798511,1722.1738986875228,1690.3679770877611,1684.5117531965363,1730.0411399960644,1695.3596653191519,1710.4908216044291,1674.176750805726,1730.9877194933922,1747.7358110240589
2020-04-01,,,,,,1815.9649118537684,1852.0309090183027,1786.68885618217,1760.6914587757753,1775.3531204766498,1757.068783337334,1756.6650966271009,1688.8588256193566,1667.1203769762699,1666.4333718276018,1692.497061816711,1735.451216892885,1710.511012743378,1679.1695968249026,1673.647598527385,1720.0451489334591,1684.8598730023532,1699.5832022458835,1664.1702090588813,1723.457868158834,1738.9683818139583
2020-05-01,,,,,,,1841.7178613108715,1774.8672873884864,1748.7119343983638,1763.5197912276246,1744.2128736726654,1743.2423858378502,1675.3455040619433,1652.5568792135623,1654.493724286203,1679.9950837657907,1724.3255006231345,1698.939920306874,1668.011938577755,1662.80419973304,1710.0790743515256,1674.3718666530842,1688.8065963844842,1654.2422710510664,1715.1089662938193,1729.519549794427
2020-06-01,,,,,,,,1763.203175516115,1736.8736097966566,1751.8349276119297,1731.5131921235113,1729.9863330622563,1661.94777961428,1638.1131874664597,1642.59985681537,1667.582665470466,1713.2879425951614,1687.4516185485045,1656.8889035264074,1651.9800084617154,1700.1476139459223,1663.90874510295,1678.0935059474473,1644.2333802298003,1706.6680792355392,1720.1437117073121
2020-07-01,,,,,,,,,1725.1635288464297,1740.285452281483,1718.9560345012947,1716.88277995502,1648.6531392200945,1623.7763913418892,1630.7430748195495,1655.248861542152,1702.329888320267,1676.0375385942527,1645.795386219575,1641.170606868231,1690.2522140956783,1653.4696003110269,1667.4020029588116,1634.172563630657,1698.3825783876605,1710.9801224082867
2020-08-01,,,,,,,,,,1728.8589969682844,1706.5284297569053,1703.9183298343535,1635.449765255354,1609.534205695731,1618.9151201445206,1642.9834420894417,1691.4423554500875,1664.6879022522376,1634.7238921752587,1630.3685004129818,1680.3844934795547,1643.0438245426465,1656.7329553306513,1624.0966037586409,1690.1201438346955,1701.8701012191257
2020-09-01,,,,,,,,,,,1694.2180930359323,1691.08028946669,1622.3264843733132,1595.374997676017,1607.1082387338945,1630.7767593588474,1680.6161395560007,1653.3932061345342,1623.6667521082047,1619.566763422464,1670.5356643387088,1632.6229633550658,1646.0885532279356,1613.999769790497,1681.8001573423628,1692.750507049497
2020-10-01,,,,,,,,,,,,1678.356626381491,1609.2727246239028,1581.2877711077804,1595.3151295239809,1618.6196686223689,1669.842603093788,1642.1448084263488,1612.6172454253242,1608.7596536351784,1660.69958461893,1622.2015839292153,1635.4616000930744,1603.8680481061942,1673.436955955287,1683.6410382211482
2020-11-01,,,,,,,,,,,,,1596.2784847337696,1567.2621215500603,1583.5288933201184,1606.5035146695575,1659.113756112457,1630.9346530659598,1601.5692433188883,1597.9418379455756,1650.8710042537339,1611.7745925544323,1624.8434875112407,1593.696285009535,1665.0478114162388,1674.552573499835
2020-12-01,,,,,,,,,,,,,,1553.2881981895405,1571.7430112523261,1594.4201186154758,1648.4220598206073,1619.755062445208,1590.5168670957157,1587.1081044442776,1641.0445407663688,1601.3365776138837,1614.227960230258,1583.4828987317098,1656.6289175958293,1665.476121366949
2021-01-01,,,,,,,,,,,,,,,1559.9513297623298,1582.361750965801,1637.7603487025156,1608.5987410720359,1579.4544952924684,1576.2534788261955,1631.21490886505,1590.8823190037115,1603.6098308015996,1573.2250271936414,1648.1727397481673,1656.4020209561074
2021-02-01,,,,,,,,,,,,,,,,1570.321103748125,1627.1218384262984,1597.4587990099176,1568.3768249896061,1565.3732932366258,1621.3771813630387,1580.4070076962362,1592.9838718261472,1562.9189814129968,1639.6761561670612,1647.3253601706292
2021-03-01,,,,,,,,,,,,,,,,,1616.5001221859534,1586.328731351568,1557.2788616851667,1554.4631538033618,1611.5267599755157,1569.9061439330617,1582.3449207986946,1552.5614384430428,1631.137730482962,1638.2424031649718
2021-04-01,,,,,,,,,,,,,,,,,,1575.2023873159421,1546.1558859497245,1543.51890386102,1601.6592928028238,1559.3754530972983,1571.6881387785136,1542.1495136383528,1622.55542309872,1629.1487955841435
2021-05-01,,,,,,,,,,,,,,,,,,,1535.0034339234785,1532.5366110327052,1591.7706526167196,1548.8108812551081,1561.009010639289,1531.680483344829,1613.9268558585911,1620.0400907753863
2021-06-01,,,,,,,,,,,,,,,,,,,,1521.5125599693908,1581.8569383995105,1538.2086001699095,1550.3032687686584,1521.1517143657195,1605.249868282358,1610.9122241167988
2021-07-01,,,,,,,,,,,,,,,,,,,,,1571.914467072234,1527.5649957904702,1539.5668658932075,1510.5607083221544,1596.52253510194,1601.7614510689436
2021-08-01,,,,,,,,,,,,,,,,,,,,,,1516.8766525740884,1528.7959745274368,1499.9051164553518,1587.7430349177475,1592.5842163560926
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,1517.9869799550838,1489.1827234043665,1578.9096195810234,1583.3771356915615
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,1478.3914334197777,1570.0206334213883,1574.13701099307
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,1561.074517421837,1564.8608256754515
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,1555.5457298957404
