Snap_Month,A,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25
01-12-2017,2087.34,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2018,2221.67,2063.355825,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2018,2173.82,2045.582702,2211.386543,,,,,,,,,,,,,,,,,,,,,,,
01-03-2018,2094.9,2028.470225,2190.600692,2148.424688,,,,,,,,,,,,,,,,,,,,,,
01-04-2018,2245.73,2106.64789,2265.675565,2228.738926,2174.097585,,,,,,,,,,,,,,,,,,,,,
01-05-2018,2288.64,2091.007141,2246.49745,2213.549127,2159.804215,2232.758695,,,,,,,,,,,,,,,,,,,,
01-06-2018,2237.24,2076.035037,2228.105941,2199.091739,2146.302278,2217.633558,2278.29855,,,,,,,,,,,,,,,,,,,
01-07-2018,2076.32,1967.165937,2115.375392,2089.205311,2037.679253,2094.517453,2152.670467,2112.23873,,,,,,,,,,,,,,,,,,
01-08-2018,2070.59,1953.417461,2098.443982,2076.085773,2025.434845,2080.722719,2135.688494,2094.503807,2057.376372,,,,,,,,,,,,,,,,,
01-09-2018,2055.2,1940.228187,2082.189178,2063.584897,2013.772027,2067.569054,2119.432234,2077.612641,2041.133382,2054.624637,,,,,,,,,,,,,,,,
01-10-2018,2044.93,1927.56562,2066.57763,2051.671286,2002.65953,2055.024208,2103.876514,2061.38557,2025.540929,2038.793037,2040.074767,,,,,,,,,,,,,,,
01-11-2018,1950.02,1915.399063,2051.577591,2040.315142,1992.067713,2043.057215,2088.986028,2045.798219,2010.554484,2023.561286,2024.382242,2028.807665,,,,,,,,,,,,,,
01-12-2018,1928.63,1903.699521,2037.158838,2029.488181,1981.968516,2031.638705,2074.728034,2030.817603,1996.143047,2008.915926,2009.316164,2013.982696,1934.022972,,,,,,,,,,,,,
01-01-2019,1861.55,1892.439608,2023.292598,2019.163566,1972.335371,2020.740791,2061.071312,2016.412996,1982.27643,1994.825495,1994.808551,1999.681675,1920.993389,1915.375645,,,,,,,,,,,,
01-02-2019,1885.05,1881.593451,2009.951479,2009.315823,1963.143127,2010.337003,2047.98616,2002.555127,1968.926006,1981.261318,1980.832896,1985.913445,1908.529846,1902.798259,1844.989719,,,,,,,,,,,
01-03-2019,1895.33,1871.136615,1997.109407,1999.920778,1954.367972,2000.40221,2035.444317,1989.216153,1956.064579,1968.196056,1967.361473,1972.648139,1896.467609,1890.624802,1837.085683,1877.843405,,,,,,,,,,
01-04-2019,1868.28,1861.046017,1984.741557,1990.955487,1945.987361,1990.912553,2023.418889,1976.369587,1943.666315,1955.603734,1954.36809,1959.859916,1884.793758,1878.831839,1829.284713,1869.151219,1887.861568,,,,,,,,,
01-05-2019,1805.55,1851.299852,1972.824296,1982.398179,1937.97995,1981.845385,2011.884287,1963.99023,1931.706674,1943.459663,1941.827829,1947.524036,1873.486071,1867.398209,1821.696325,1860.694573,1878.238252,1858.532186,,,,,,,,
01-06-2019,1782.02,1841.877527,1961.335127,1974.228188,1930.325533,1973.179204,2000.816162,1952.054113,1920.162344,1931.740377,1929.717003,1935.616988,1862.524143,1856.303751,1814.299861,1852.500972,1868.960853,1849.494125,1794.636556,,,,,,,
01-07-2019,1816.33,1832.759585,1950.252632,1966.425903,1923.004979,1964.893599,1990.191343,1940.538432,1909.011182,1920.423573,1918.013086,1924.116416,1851.888561,1845.529334,1807.084304,1844.552846,1859.977448,1840.757043,1788.142267,1775.277271,,,,,,
01-08-2019,1771.12,1823.927653,1939.556422,1958.972713,1916.000174,1956.969192,1979.987785,1929.421494,1898.232153,1909.488053,1906.694663,1913.001067,1841.560901,1835.056802,1800.038628,1836.836402,1851.273631,1832.268486,1781.782911,1769.277692,1809.38462,,,,,
01-09-2019,1776.76,1815.364371,1929.227085,1951.850953,1909.293971,1949.387586,1970.184509,1918.682663,1887.805277,1898.91367,1895.741373,1902.250731,1831.523673,1824.868918,1793.152429,1829.338377,1842.833422,1824.016403,1775.543896,1763.386841,1803.746563,1767.015573,,,,
01-10-2019,1727.57,1807.053343,1919.246144,1945.043861,1902.870136,1942.131319,1960.761554,1908.302308,1877.711572,1888.681274,1885.133854,1891.846193,1821.760276,1814.949325,1786.415849,1822.046208,1834.641826,1815.986879,1769.417741,1757.584398,1798.095558,1761.085307,1771.584226,,,
01-11-2019,1766.36,1798.979083,1909.596007,1938.535526,1896.713298,1935.183812,1951.699925,1898.261753,1867.933009,1878.772668,1874.8537,1881.769185,1812.254955,1805.282496,1779.819548,1814.947984,1826.684614,1808.166883,1763.396938,1751.864962,1792.574009,1755.44786,1764.755896,1719.050817,,
01-12-2019,1780.8,1791.126961,1900.259927,1932.31085,1890.808905,1928.529324,1942.98155,1888.543233,1858.452462,1869.170551,1864.883409,1872.002336,1802.992751,1795.853693,1773.354682,1808.032413,1818.948296,1800.544052,1757.474404,1746.222503,1787.16455,1749.877255,1758.075565,1714.443334,1760.764406,
01-01-2020,,,1891.221961,1926.355504,1885.143181,1922.152916,1934.58923,1879.129847,1849.253661,1859.858485,1855.206338,1862.52913,1793.959468,1786.648927,1767.012868,1801.288788,1811.420081,1793.106663,1751.643422,1740.651369,1781.860876,1744.384584,1751.507154,1709.82964,1756.063859,1777.828682
01-02-2020,,,,1920.655889,1879.703083,1916.040402,1926.506602,1870.005517,1840.321152,1850.820842,1845.806667,1853.333866,1785.14163,1777.654922,1760.78617,1794.706959,1804.087841,1785.8436,1745.897631,1735.146199,1776.656336,1738.962893,1745.045089,1705.218858,1751.250544,1771.684245
01-03-2020,,,,,1874.476262,1910.178317,1918.718093,1861.154949,1831.640255,1842.042772,1836.669352,1844.401614,1776.526447,1768.859076,1754.667065,1788.277302,1796.940076,1778.744325,1740.231001,1729.701915,1771.544676,1733.606947,1738.681936,1700.608338,1746.503252,1765.72944
01-04-2020,,,,,,1904.553876,1911.208887,1852.563592,1823.197025,1833.510158,1827.780088,1835.718177,1768.101776,1760.249428,1748.648431,1781.990694,1789.965884,1771.798847,1734.63782,1724.313704,1766.519965,1728.311679,1732.41081,1695.996419,1741.804386,1759.88075
01-05-2020,,,,,,,1903.964887,1844.217606,1814.978215,1825.209585,1819.125277,1827.27006,1759.856093,1751.814623,1742.723519,1775.838484,1783.154928,1764.997691,1729.112674,1718.977008,1761.576581,1723.072297,1726.225177,1691.381462,1737.151195,1754.136884
01-06-2020,,,,,,,,1836.103823,1806.971242,1817.128302,1810.691987,1819.044429,1751.77846,1743.543887,1736.885936,1769.812472,1776.497404,1758.331875,1723.650437,1713.687507,1756.7092,1717.884257,1720.118841,1686.761919,1732.540028,1748.490583
01-07-2020,,,,,,,,,1799.164154,1809.254188,1802.467925,1811.029084,1743.858492,1735.42699,1731.129626,1763.904882,1769.98402,1751.792881,1718.246247,1708.441106,1751.912776,1712.743255,1714.085932,1682.136322,1727.967504,1742.935433
01-08-2020,,,,,,,,,,1801.575726,1794.4414,1803.212423,1736.086334,1727.454226,1725.448853,1758.108343,1763.605962,1745.372634,1712.895501,1703.23393,1747.182527,1707.645212,1708.120886,1677.503278,1723.430411,1737.46532
01-09-2020,,,,,,,,,,,1786.601298,1795.583418,1728.45263,1719.616379,1719.838181,1752.415867,1757.354878,1739.063479,1707.593835,1698.062302,1742.513923,1702.58626,1702.218431,1672.861469,1718.925703,1732.074451
01-10-2020,,,,,,,,,,,,1788.13158,1720.948501,1711.904702,1714.292464,1746.820827,1751.222843,1732.858155,1702.337115,1692.922741,1737.902671,1697.562738,1696.373568,1668.209642,1714.450494,1726.757334
01-11-2020,,,,,,,,,,,,,1713.565517,1704.310896,1708.806824,1741.316942,1745.202348,1726.749779,1697.121425,1687.811948,1733.344702,1692.571172,1690.581561,1663.546613,1710.002047,1721.508765
01-12-2020,,,,,,,,,,,,,,1696.82708,1703.376641,1735.898256,1739.286269,1720.731826,1691.943052,1682.726799,1728.836162,1687.608273,1684.837921,1658.871258,1705.577764,1716.323809
01-01-2021,,,,,,,,,,,,,,,1697.99754,1730.559122,1733.467855,1714.798107,1686.798481,1677.664331,1724.373398,1682.670924,1679.138393,1654.182511,1701.175187,1711.197791
01-02-2021,,,,,,,,,,,,,,,,1725.294188,1727.740703,1708.942756,1681.684378,1672.621738,1719.952949,1677.75617,1673.478944,1649.479362,1696.79198,1706.126278
01-03-2021,,,,,,,,,,,,,,,,,1722.098742,1703.160209,1676.597587,1667.596362,1715.571535,1672.86121,1667.855755,1644.760854,1692.425933,1701.10507
01-04-2021,,,,,,,,,,,,,,,,,,1697.445194,1671.535116,1662.585684,1711.226049,1667.983393,1662.265201,1640.026078,1688.074947,1696.130184
01-05-2021,,,,,,,,,,,,,,,,,,,1666.49413,1657.587316,1706.913545,1663.120202,1656.703851,1635.274175,1683.737035,1691.197845
01-06-2021,,,,,,,,,,,,,,,,,,,,1652.598999,1702.631235,1658.269256,1651.168451,1630.504329,1679.41031,1686.304477
01-07-2021,,,,,,,,,,,,,,,,,,,,,1698.376472,1653.428297,1645.655918,1625.715767,1675.092984,1681.446688
01-08-2021,,,,,,,,,,,,,,,,,,,,,,1648.595185,1640.163329,1620.907756,1670.783364,1676.621263
01-09-2021,,,,,,,,,,,,,,,,,,,,,,,1634.687914,1616.0796,1666.479841,1671.825158
01-10-2021,,,,,,,,,,,,,,,,,,,,,,,,1611.230642,1662.180891,1667.055483
01-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,1657.885071,1662.309502
01-12-2021,,,,,,,,,,,,,,,,,,,,,,,,,,1657.584621
