Snap_Month,A,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25
01-12-2017,2087.34,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2018,2221.67,2080.323644,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2018,2173.82,2076.393533,2241.063457,,,,,,,,,,,,,,,,,,,,,,,
01-03-2018,2094.9,2072.756963,2244.467756,2167.807751,,,,,,,,,,,,,,,,,,,,,,
01-04-2018,2245.73,2069.015556,2245.582381,2167.004281,2081.937583,,,,,,,,,,,,,,,,,,,,,
01-05-2018,2288.64,2065.112482,2246.304058,2166.751442,2077.479592,2264.342207,,,,,,,,,,,,,,,,,,,,
01-06-2018,2237.24,2061.039637,2246.895392,2166.456854,2073.990614,2267.454943,2296.808159,,,,,,,,,,,,,,,,,,,
01-07-2018,2076.32,2056.795862,2247.392741,2166.045181,2070.482326,2268.688438,2300.725181,2232.720045,,,,,,,,,,,,,,,,,,
01-08-2018,2070.59,2052.380994,2247.80114,2165.506844,2066.8251,2269.63208,2304.070048,2233.631783,2052.659025,,,,,,,,,,,,,,,,,
01-09-2018,2055.2,2047.795008,2248.121285,2164.840625,2063.001936,2270.47134,2307.286664,2235.095698,2046.29719,2065.692416,,,,,,,,,,,,,,,,
01-10-2018,2044.93,2043.037902,2248.353272,2164.046368,2059.010602,2271.22786,2310.428589,2236.537348,2041.978501,2060.748789,2048.839893,,,,,,,,,,,,,,,
01-11-2018,1950.02,2038.109674,2248.497116,2163.124054,2054.850808,2271.904167,2313.502286,2237.889107,2037.762766,2055.65044,2043.442476,2038.86151,,,,,,,,,,,,,,
01-12-2018,1928.63,2033.010325,2248.552818,2162.07368,2050.522515,2272.500554,2316.508535,2239.143013,2033.403239,2050.383922,2038.010352,2033.156931,1931.004179,,,,,,,,,,,,,
01-01-2019,1861.55,2027.739855,2248.520378,2160.895246,2046.025717,2273.017057,2319.44743,2240.29813,2028.868539,2044.947573,2032.420207,2027.34194,1921.199463,1917.756531,,,,,,,,,,,,
01-02-2019,1885.05,2022.298264,2248.399796,2159.588752,2041.360414,2273.45368,2322.318982,2241.354346,2024.154676,2039.341186,2026.656795,2021.357912,1912.343026,1907.993316,1843.356425,,,,,,,,,,,
01-03-2019,1895.33,2016.685552,2248.191072,2158.154198,2036.526606,2273.810422,2325.123192,2242.311649,2019.261142,2033.564735,2020.71823,2015.197599,1903.411005,1898.174016,1831.038054,1878.427828,,,,,,,,,,
01-04-2019,1868.28,2010.901718,2247.894207,2156.591584,2031.524293,2274.087284,2327.860062,2243.170037,2014.187874,2027.618219,2014.604279,2008.860107,1894.276529,1888.154009,1819.235115,1867.930165,1887.65576,,,,,,,,,
01-05-2019,1805.55,2004.946763,2247.5092,2154.90091,2026.353474,2274.284266,2330.52959,2243.92951,2008.934861,2021.501635,2008.314914,2002.345325,1884.92388,1877.915363,1807.279706,1856.759264,1877.586661,1855.496955,,,,,,,,
01-06-2019,1782.02,1998.820687,2247.036051,2153.082175,2021.01415,2274.401368,2333.131777,2244.590068,2003.502105,2015.214985,2001.850131,1995.653239,1875.351109,1867.455853,1795.088598,1845.305821,1867.030302,1844.253869,1786.806124,,,,,,,
01-07-2019,1816.33,1992.52349,2246.474761,2151.135381,2015.506321,2274.43859,2335.666622,2245.151712,1997.889603,2008.758268,1995.20993,1988.783848,1865.557975,1856.775205,1782.651421,1833.617501,1856.220558,1832.997317,1773.244478,1767.371849,,,,,,
01-08-2019,1771.12,1986.055171,2245.825328,2149.060526,2009.829987,2274.395932,2338.134127,2245.61444,1992.097357,2002.131484,1988.394311,1981.737151,1855.544447,1845.873383,1769.966881,1821.700121,1845.186102,1821.537689,1760.098935,1753.594128,1809.687411,,,,,
01-09-2019,1776.76,1979.415732,2245.087754,2146.857612,2003.985148,2274.273393,2340.53429,2245.978254,1986.125367,1995.334634,1981.403273,1974.513148,1845.310522,1834.750384,1757.034819,1809.55439,1833.93045,1809.851844,1746.78409,1739.701441,1797.824963,1754.053159,,,,
01-10-2019,1727.57,1972.605171,2244.262039,2144.526637,1997.971803,2274.070975,2342.867112,2246.243152,1979.973631,1988.367717,1974.236817,1967.111839,1834.8562,1823.406207,1743.855212,1797.180395,1822.454032,1797.936956,1733.22804,1725.572588,1785.119284,1740.154676,1765.821384,,,
01-11-2019,1766.36,1965.623488,2243.348181,2142.067603,1991.789954,2273.788676,2345.132593,2246.409136,1973.642151,1981.230733,1966.894942,1959.533225,1824.18148,1811.840852,1730.42806,1784.578146,1810.756902,1785.79268,1719.421955,1711.19266,1772.106434,1726.418728,1752.690567,1709.17484,,
01-12-2019,1780.8,1958.470685,2242.346182,2139.480508,1985.439599,2273.426498,2347.330733,2246.476204,1967.130927,1973.923682,1959.377649,1951.777305,1813.286363,1800.05432,1716.753362,1771.747645,1798.839065,1773.418975,1705.364749,1696.559824,1758.852071,1712.483549,1739.087027,1694.207616,1759.100986,
01-01-2020,,,2241.256041,2136.765353,1978.920739,2272.984439,2349.461531,2246.444358,1960.439958,1966.446564,1951.684937,1943.844079,1802.170848,1788.046609,1702.831117,1758.688892,1786.700523,1760.815835,1691.056288,1681.673855,1745.364238,1698.3056,1725.21628,1679.422326,1746.274339,1771.455985
